subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,2.525904782853e+02,-1.082530621223e+02,2.789510226435e+02,3.682206106944e+01,2.761977261995e+02,3.646179595638e+01,2.760837692119e+02,3.645057315412e+01
1,19389,3550231933.593750,3.608435404076e+01,-1.082530621223e+02,8.834123317207e+01,-7.644895804671e+01,8.747594947388e+01,-7.569842806403e+01,8.744104523795e+01,-7.566614306059e+01
2,19390,3550415039.062500,-2.525904782853e+02,1.804217702038e+02,-3.166419211609e+02,2.698168476095e+01,-3.135581097291e+02,2.671533839268e+01,-3.134296743841e+02,2.670010107268e+01
3,19391,3550598144.531250,-1.804217702038e+02,1.082530621223e+02,-2.153949080471e+02,1.211106262118e+00,-2.133108697854e+02,1.196977960413e+00,-2.132232696482e+02,1.193585816043e+00
4,19392,3550781250.000000,2.525904782853e+02,3.608435404076e+01,2.037139674276e+02,1.634752320543e+02,2.017542934060e+02,1.619063916670e+02,2.016692266743e+02,1.618426362724e+02
5,19393,3550964355.468750,-3.608435404076e+01,-2.525904782853e+02,9.978389387619e+01,-2.413714773217e+02,9.883407288664e+01,-2.390662642307e+02,9.879673249333e+01,-2.389667359668e+02
6,19394,3551147460.937500,-1.804217702038e+02,-1.804217702038e+02,-6.510211278088e+01,-2.529361548528e+02,-6.448206223664e+01,-2.505388481694e+02,-6.445217448823e+01,-2.504368353923e+02
7,19395,3551330566.406250,1.804217702038e+02,2.525904782853e+02,2.766773052724e+01,3.165300446331e+02,2.740367991857e+01,3.135500403285e+02,2.738816325260e+01,3.134216553157e+02
8,19396,3551513671.875000,2.525904782853e+02,3.608435404076e+01,2.039773002828e+02,1.631145252832e+02,2.020682423964e+02,1.615916522938e+02,2.019830731360e+02,1.615280481428e+02
9,19397,3551696777.343750,3.608435404076e+01,2.525904782853e+02,-9.937442485393e+01,2.415302528012e+02,-9.845446611568e+01,2.392866025196e+02,-9.841729629302e+01,2.391870172874e+02
10,19398,3551879882.812500,-3.608435404076e+01,1.804217702038e+02,-1.254821677116e+02,1.404423193134e+02,-1.243269128113e+02,1.391461688883e+02,-1.242777629797e+02,1.390873525038e+02
11,19399,3552062988.281250,-1.082530621223e+02,3.608435404076e+01,-1.142519051207e+02,-2.426921061050e+01,-1.132058553350e+02,-2.404834721563e+01,-1.131590564115e+02,-2.404001448840e+01
12,19400,3552246093.750000,-1.082530621223e+02,1.804217702038e+02,-1.889416778376e+02,1.033888678033e+02,-1.872258580275e+02,1.024472224324e+02,-1.871504007459e+02,1.024026252788e+02
13,19401,3552429199.218750,-3.608435404076e+01,3.608435404076e+01,-5.052242619951e+01,1.328243610467e+01,-5.006679774764e+01,1.316204575450e+01,-5.004642797776e+01,1.315596291933e+01
14,19402,3552612304.687500,1.082530621223e+02,1.082530621223e+02,4.005683015315e+01,1.515185770581e+02,3.969642048482e+01,1.501621614780e+02,3.967808794682e+01,1.501010773522e+02
15,19403,3552795410.156250,1.804217702038e+02,-1.082530621223e+02,2.153815456351e+02,-3.198529184125e+00,2.134670993465e+02,-3.167686101130e+00,2.133795491996e+02,-3.163483668775e+00
16,19404,3552978515.625000,-3.608435404076e+01,-3.608435404076e+01,-1.349189917776e+01,-5.047343505084e+01,-1.337230341820e+01,-5.002829101207e+01,-1.336613667278e+01,-5.000794686981e+01
17,19405,3553161621.093750,3.608435404076e+01,1.082530621223e+02,-2.345650221134e+01,1.144381903837e+02,-2.325240296908e+01,1.134359271031e+02,-2.324440643037e+01,1.133890753786e+02
18,19406,3553344726.562500,2.525904782853e+02,-1.082530621223e+02,2.793262698476e+02,3.336877724426e+01,2.768987833691e+02,3.308195910560e+01,2.767847542669e+02,3.307215456608e+01
19,19407,3553527832.031250,1.082530621223e+02,1.804217702038e+02,3.609575925278e+00,2.153379126726e+02,3.576040531123e+00,2.134812228934e+02,3.571671087017e+00,2.133937168823e+02
20,19408,3553710937.500000,-3.608435404076e+01,1.804217702038e+02,-1.243058019529e+02,1.414652248515e+02,-1.232438843390e+02,1.402535219087e+02,-1.231952527522e+02,1.401943322665e+02
21,19409,3553894042.968750,1.082530621223e+02,2.525904782853e+02,-3.325123703272e+01,2.792761744552e+02,-3.297211067974e+01,2.769051488935e+02,-3.296235697574e+01,2.767911664622e+02
22,19410,3554077148.437500,-3.608435404076e+01,3.608435404076e+01,-5.043986931087e+01,1.352610090810e+01,-5.001524187638e+01,1.341162581758e+01,-4.999492055222e+01,1.340544765552e+01
23,19411,3554260253.906250,-1.082530621223e+02,1.804217702038e+02,-1.882333193390e+02,1.044979200765e+02,-1.866619271300e+02,1.036228009385e+02,-1.865868262863e+02,1.035777894104e+02
24,19412,3554443359.375000,-1.082530621223e+02,-1.082530621223e+02,-4.051288802736e+01,-1.513031606810e+02,-4.017545924348e+01,-1.500497540193e+02,-4.015695430646e+01,-1.499888071797e+02
25,19413,3554626464.843750,-2.525904782853e+02,1.804217702038e+02,-3.160832490850e+02,3.052873273452e+01,-3.134854710535e+02,3.027425253389e+01,-3.133574321516e+02,3.025758505173e+01
26,19414,3554809570.312500,3.608435404076e+01,-1.804217702038e+02,1.243216913331e+02,-1.413052818695e+02,1.233097661165e+02,-1.401519242581e+02,1.232611544330e+02,-1.400928302789e+02
27,19415,3554992675.781250,3.608435404076e+01,1.082530621223e+02,-2.348294592465e+01,1.143238917767e+02,-2.329437223286e+01,1.133993422914e+02,-2.328637267062e+01,1.133525765182e+02
28,19416,3555175781.250000,-1.082530621223e+02,1.082530621223e+02,-1.512217763946e+02,4.057879216634e+01,-1.500098525033e+02,4.025176794144e+01,-1.499489662064e+02,4.023324385271e+01
29,19417,3555358886.718750,-3.608435404076e+01,2.525904782853e+02,-1.607996420598e+02,2.054974384896e+02,-1.595236577066e+02,2.038620199373e+02,-1.594611122585e+02,2.037763788698e+02
30,19418,3555541992.187500,-3.608435404076e+01,-3.608435404076e+01,-1.364097484911e+01,-5.036794663380e+01,-1.353289415755e+01,-4.997110717393e+01,-1.352667466687e+01,-4.995083434008e+01
31,19419,3555725097.656250,2.525904782853e+02,-3.608435404076e+01,2.424876383517e+02,9.625142129434e+01,2.405917472542e+02,9.550202579960e+01,2.404919764655e+02,9.546620906294e+01
32,19420,3555908203.125000,1.082530621223e+02,1.082530621223e+02,4.126672822489e+01,1.509851206762e+02,4.094537491393e+01,1.498160217553e+02,4.092658262914e+01,1.497552726487e+02
33,19421,3556091308.593750,-2.525904782853e+02,3.608435404076e+01,-2.426363681797e+02,-9.576650470806e+01,-2.407722611639e+02,-9.503390194040e+01,-2.406724638502e+02,-9.499829543804e+01
34,19422,3556274414.062500,1.082530621223e+02,3.608435404076e+01,7.792983395000e+01,8.679643887995e+01,7.733578915787e+01,8.613676344267e+01,7.730298502251e+01,8.610258223783e+01
35,19423,3556457519.531250,-2.525904782853e+02,-3.608435404076e+01,-2.062120863704e+02,-1.596864234462e+02,-2.046549804755e+02,-1.584843316483e+02,-2.045691333863e+02,-1.584223034850e+02
36,19424,3556640625.000000,3.608435404076e+01,1.804217702038e+02,-5.902058850362e+01,1.785589704554e+02,-5.858145689077e+01,1.772237157358e+02,-5.855991568760e+01,1.771504613303e+02
37,19425,3556823730.468750,2.525904782853e+02,-3.608435404076e+01,2.427150591932e+02,9.535265766697e+01,2.409164108126e+02,9.464918580611e+01,2.408166481276e+02,9.461377337978e+01
38,19426,3557006835.937500,1.082530621223e+02,-1.082530621223e+02,1.508037212084e+02,-4.166804552808e+01,1.496975947729e+02,-4.136059502491e+01,1.496369821402e+02,-4.134165719543e+01
39,19427,3557189941.406250,-1.804217702038e+02,-3.608435404076e+01,-1.423524019341e+02,-1.229395213948e+02,-1.413161521266e+02,-1.220473747840e+02,-1.412567567312e+02,-1.219994328926e+02
40,19428,3557373046.875000,3.608435404076e+01,-3.608435404076e+01,5.027410513178e+01,-1.398423068355e+01,4.991221039204e+01,-1.388295854191e+01,4.989201219750e+01,-1.387660927472e+01
41,19429,3557556152.343750,1.082530621223e+02,-1.804217702038e+02,1.870768548116e+02,-1.064039183372e+02,1.857435746218e+02,-1.056428093311e+02,1.856691621908e+02,-1.055971441412e+02
42,19430,3557739257.812500,1.804217702038e+02,-1.804217702038e+02,2.514006270329e+02,-7.039587651183e+01,2.496252705224e+02,-6.989570882868e+01,2.495243121838e+02,-6.986377983665e+01
43,19431,3557922363.281250,1.082530621223e+02,-1.804217702038e+02,1.870056043239e+02,-1.067897525125e+02,1.856983824012e+02,-1.060404795477e+02,1.856240335655e+02,-1.059946752713e+02
44,19432,3558105468.750000,-3.608435404076e+01,-2.525904782853e+02,9.412373528560e+01,-2.435505991247e+02,9.347434567215e+01,-2.418621383853e+02,9.343949419155e+01,-2.417621806960e+02
45,19433,3558288574.218750,3.608435404076e+01,-1.804217702038e+02,1.222774956029e+02,-1.430517487345e+02,1.214402774727e+02,-1.420690418075e+02,1.213926718052e+02,-1.420094382589e+02
46,19434,3558471679.687500,1.082530621223e+02,-1.082530621223e+02,1.505661725822e+02,-4.270114175571e+01,1.495440623625e+02,-4.240944175576e+01,1.494836547181e+02,-4.239011368836e+01
47,19435,3558654785.156250,-1.082530621223e+02,-1.082530621223e+02,-4.280207143983e+01,-1.504547457052e+02,-4.251261401432e+01,-1.494436819083e+02,-4.249325020120e+01,-1.493833340499e+02
48,19436,3558837890.625000,3.608435404076e+01,-2.525904782853e+02,1.575548246443e+02,-2.075470515245e+02,1.565086498448e+02,-2.061640878428e+02,1.564476655730e+02,-2.060779342532e+02
49,19437,3559020996.093750,-1.804217702038e+02,-3.608435404076e+01,-1.431698819731e+02,-1.215732433729e+02,-1.422255351605e+02,-1.207741135726e+02,-1.421659438685e+02,-1.207268386975e+02
50,19438,3559204101.562500,1.804217702038e+02,-1.082530621223e+02,2.147050410148e+02,-7.434785214511e+00,2.133056649417e+02,-7.383914673763e+00,2.132188813368e+02,-7.378006615119e+00
51,19439,3559387207.031250,-1.804217702038e+02,2.525904782853e+02,-2.860661717674e+02,1.366165724110e+02,-2.842226768721e+02,1.357322309333e+02,-2.841087880967e+02,1.356730965548e+02
52,19440,3559570312.500000,1.804217702038e+02,1.082530621223e+02,1.079452905844e+02,1.858594875269e+02,1.072543768537e+02,1.846746815683e+02,1.072082058373e+02,1.846009646876e+02
53,19441,3559753417.968750,2.525904782853e+02,1.804217702038e+02,1.371379495442e+02,2.859780375366e+02,1.362690043008e+02,2.841742345977e+02,1.362096870646e+02,2.840604459540e+02
54,19442,3559936523.437500,-1.082530621223e+02,1.804217702038e+02,-1.857714365103e+02,1.082928063425e+02,-1.846126040874e+02,1.076144867166e+02,-1.845389656619e+02,1.075681981025e+02
55,19443,3560119628.906250,1.804217702038e+02,3.608435404076e+01,1.438922520617e+02,1.210613499430e+02,1.430021957965e+02,1.203152755133e+02,1.429424046600e+02,1.202682910068e+02
56,19444,3560302734.375000,2.525904782853e+02,1.082530621223e+02,1.731344909975e+02,2.211203713933e+02,1.720745408760e+02,2.197717617825e+02,1.720015978640e+02,2.196847562354e+02
57,19445,3560485839.843750,-3.608435404076e+01,-1.082530621223e+02,2.081231133889e+01,-1.147301224663e+02,2.068790503000e+01,-1.140369822714e+02,2.068104811665e+01,-1.139903564931e+02
58,19446,3560668945.312500,-1.804217702038e+02,2.525904782853e+02,-2.856259165560e+02,1.378911061585e+02,-2.839219534317e+02,1.370645311885e+02,-2.838084715548e+02,1.370049869586e+02
59,19447,3560852050.781250,-1.082530621223e+02,-2.525904782853e+02,2.676349645680e+01,-2.794946230143e+02,2.660865483946e+01,-2.778445059950e+02,2.660162665367e+01,-2.777313071935e+02
60,19448,3561035156.250000,-1.804217702038e+02,-2.525904782853e+02,-3.808667195104e+01,-3.148224610186e+02,-3.786091490983e+01,-3.129860253694e+02,-3.784128863766e+01,-3.128594769730e+02
61,19449,3561218261.718750,-1.082530621223e+02,-3.608435404076e+01,-7.945474792416e+01,-8.528475217589e+01,-7.899562370953e+01,-8.479386065112e+01,-7.896241239897e+01,-8.476052341281e+01
62,19450,3561401367.187500,-3.608435404076e+01,-1.082530621223e+02,2.045685689067e+01,-1.147384402987e+02,2.034157891499e+01,-1.140844090979e+02,2.033487811337e+01,-1.140378513065e+02
63,19451,3561584472.656250,-1.804217702038e+02,3.608435404076e+01,-1.795156816699e+02,-5.552245947159e+01,-1.785043776931e+02,-5.521188287552e+01,-1.784312391547e+02,-5.519192036070e+01
