tap_index,coeff_float
0,-3.471329564789746858e-01
1,-1.271873335383614523e-01
2,-3.592630975721052278e-01
3,6.027489005932864519e-01
4,-2.828528101832533670e-01
5,3.120515822226206382e-01
6,-5.735394646299732946e-01
7,4.180449686623517458e-01
8,-3.477642592211895034e-02
9,-6.590558882121534678e-02
10,8.627784811519913222e-03
11,-1.435754516338727804e-01
12,3.353844374386692473e-01
13,-2.750859683106989251e-01
14,5.246997684871657769e-02
15,5.437032951377115952e-02
16,-4.902825052234648096e-02
17,1.027360300447423547e-01
18,-1.938303500921298994e-01
19,1.747798478104776732e-01
20,-5.340198297022655249e-02
21,-4.320894013758391772e-02
22,8.345499476377056525e-02
23,-1.150259818861497363e-01
24,1.259688103030779383e-01
25,-8.843768771264148842e-02
26,5.197231156706874633e-02
27,-4.136446004049891545e-02
28,-3.816386154040352779e-02
29,2.257996369594744146e-01
30,-3.348497229551391507e-01
31,1.658557225364450938e-01
32,1.658557225364450938e-01
33,-3.348497229551391507e-01
34,2.257996369594744146e-01
35,-3.816386154040352779e-02
36,-4.136446004049891545e-02
37,5.197231156706874633e-02
38,-8.843768771264148842e-02
39,1.259688103030779383e-01
40,-1.150259818861497363e-01
41,8.345499476377056525e-02
42,-4.320894013758391772e-02
43,-5.340198297022655249e-02
44,1.747798478104776732e-01
45,-1.938303500921298994e-01
46,1.027360300447423547e-01
47,-4.902825052234648096e-02
48,5.437032951377115952e-02
49,5.246997684871657769e-02
50,-2.750859683106989251e-01
51,3.353844374386692473e-01
52,-1.435754516338727804e-01
53,8.627784811519913222e-03
54,-6.590558882121534678e-02
55,-3.477642592211895034e-02
56,4.180449686623517458e-01
57,-5.735394646299732946e-01
58,3.120515822226206382e-01
59,-2.828528101832533670e-01
60,6.027489005932864519e-01
61,-3.592630975721052278e-01
62,-1.271873335383614523e-01
63,-3.471329564789746858e-01
