tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,7.247039727512147138e-03,59,7.202148437500000000e-03,-4.489129001214713782e-05,0
1,-1.602379754010380131e-01,-1313,-1.602783203125000000e-01,-4.034491146198693201e-05,0
2,-1.879075716681592040e-02,-154,-1.879882812500000000e-02,-8.070958184079601860e-06,0
3,-3.030562426570249102e-01,-2483,-3.031005859375000000e-01,-4.434328047508984127e-05,0
4,3.417626255500371690e-01,2800,3.417968750000000000e-01,3.424944996283096899e-05,0
5,-2.881988090941363101e-01,-2361,-2.882080078125000000e-01,-9.198718363689906141e-06,0
6,4.260767083059416316e-01,3490,4.260253906250000000e-01,-5.131768094163158267e-05,0
7,-4.826865554523662172e-01,-3954,-4.826660156250000000e-01,2.053982736621717820e-05,0
8,3.086019564600093745e-01,2528,3.085937500000000000e-01,-8.206460009374527687e-06,0
9,-1.265990462767220270e-01,-1037,-1.265869140625000000e-01,1.213221422202703792e-05,0
10,3.276646379020105304e-02,268,3.271484375000000000e-02,-5.162004020105304125e-05,0
11,1.144736186598185324e-01,938,1.145019531250000000e-01,2.833446518146764959e-05,0
12,-3.144711912785824737e-01,-2576,-3.144531250000000000e-01,1.806627858247367158e-05,0
13,3.773497681601412079e-01,3091,3.773193359375000000e-01,-3.043222264120792886e-05,0
14,-2.546172302948079835e-01,-2086,-2.546386718750000000e-01,-2.144158019201647392e-05,0
15,9.601175603135003733e-02,787,9.606933593750000000e-02,5.757990614996266743e-05,0
16,2.169326944786922548e-02,178,2.172851562500000000e-02,3.524617713077451975e-05,0
17,-1.615775517297505515e-01,-1324,-1.616210937500000000e-01,-4.354202024944853200e-05,0
18,3.102221261198748747e-01,2541,3.101806640625000000e-01,-4.146205737487473897e-05,0
19,-3.268671339562033706e-01,-2678,-3.269042968750000000e-01,-3.716291879662936282e-05,0
20,1.645448704490416469e-01,1348,1.645507812500000000e-01,5.910800958353057410e-06,0
21,3.778293285515327976e-02,310,3.784179687500000000e-02,5.886401984672023913e-05,0
22,-1.546994407002334204e-01,-1267,-1.546630859375000000e-01,3.635476273342042042e-05,0
23,2.178993264487158743e-01,1785,2.178955078125000000e-01,-3.818636215874304796e-06,0
24,-2.750110668717634099e-01,-2253,-2.750244140625000000e-01,-1.334719073659007549e-05,0
25,2.408305178331426599e-01,1973,2.408447265625000000e-01,1.420872935734007747e-05,0
26,-2.887836150038090854e-02,-237,-2.893066406250000000e-02,-5.230256211909145581e-05,0
27,-2.404643415067805878e-01,-1970,-2.404785156250000000e-01,-1.417411821941216843e-05,0
28,3.246071175880942961e-01,2659,3.245849609375000000e-01,-2.215665059429605677e-05,0
29,-1.631195458979063373e-01,-1336,-1.630859375000000000e-01,3.360839790633729507e-05,0
30,-3.169598294341402500e-02,-260,-3.173828125000000000e-02,-4.229830658597499848e-05,0
31,4.900118002147810931e-02,401,4.895019531250000000e-02,-5.098470897810930547e-05,0
32,4.900118002147810931e-02,401,4.895019531250000000e-02,-5.098470897810930547e-05,0
33,-3.169598294341402500e-02,-260,-3.173828125000000000e-02,-4.229830658597499848e-05,0
34,-1.631195458979063373e-01,-1336,-1.630859375000000000e-01,3.360839790633729507e-05,0
35,3.246071175880942961e-01,2659,3.245849609375000000e-01,-2.215665059429605677e-05,0
36,-2.404643415067805878e-01,-1970,-2.404785156250000000e-01,-1.417411821941216843e-05,0
