freq_hz,h1_db,h2_target_db,h2_float_db,h2_fixed_db,h2_float_phase_rad,h2_fixed_phase_rad,htotal_float_db,htotal_fixed_db
3500000000.000000,-0.164100602,0.164100602,0.167501087,0.168246715,0.916297857297,0.916297857297,0.003400485,0.004146113
3501000000.000000,-0.175570512,0.175570512,0.167294954,0.168078229,0.891426915456,0.891426915456,-0.008275558,-0.007492283
3502000000.000000,-0.154273784,0.154273784,0.167120271,0.167940166,0.866555973615,0.866555973615,0.012846487,0.013666382
3503000000.000000,-0.165442206,0.165442206,0.166976234,0.167831672,0.841685031774,0.841685031774,0.001534028,0.002389466
3504000000.000000,-0.158579868,0.158579868,0.166862036,0.167751884,0.816814089933,0.816814089933,0.008282168,0.009172016
3505000000.000000,-0.154807545,0.154807545,0.166776860,0.167699934,0.791943148092,0.791943148092,0.011969315,0.012892389
3506000000.000000,-0.169569100,0.169569100,0.166719889,0.167674953,0.767072206252,0.767072206252,-0.002849211,-0.001894147
3507000000.000000,-0.166967694,0.166967694,0.166690301,0.167676070,0.742201264411,0.742201264411,-0.000277393,0.000708376
3508000000.000000,-0.156279824,0.156279824,0.166687276,0.167702411,0.717330322570,0.717330322570,0.010407452,0.011422587
3509000000.000000,-0.165279751,0.165279751,0.166709990,0.167753107,0.692459380729,0.692459380729,0.001430239,0.002473356
3510000000.000000,-0.150140734,0.150140734,0.166757625,0.167827288,0.667588438888,0.667588438888,0.016616891,0.017686554
3511000000.000000,-0.179439056,0.179439056,0.166829363,0.167924089,0.642717497047,0.642717497047,-0.012609693,-0.011514967
3512000000.000000,-0.184513000,0.184513000,0.166924390,0.168042650,0.617846555206,0.617846555206,-0.017588610,-0.016470350
3513000000.000000,-0.173532709,0.173532709,0.167041900,0.168182118,0.592975613365,0.592975613365,-0.006490809,-0.005350591
3514000000.000000,-0.175354634,0.175354634,0.167181090,0.168341646,0.568104671524,0.568104671524,-0.008173544,-0.007012988
3515000000.000000,-0.166006177,0.166006177,0.167341166,0.168520395,0.543233729683,0.543233729683,0.001334989,0.002514218
3516000000.000000,-0.167506758,0.167506758,0.167521342,0.168717536,0.518362787842,0.518362787842,0.000014584,0.001210778
