tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,3550048828.125000,4.419002711967e-02,4.302037124407e-02,4.419267717993e-02,4.420347307489e-02,-0.233002286,0.000520874,0.002642504,-1.466228526834,2.851614147361,2.523150511155,2.523150511155,-1.965342632984,-0.328463636206,-0.328463636206,-2.293806269190,-2.293806269190
1,3567993164.062500,4.419002711967e-02,4.338055999579e-02,4.415182606957e-02,4.416582599440e-02,-0.160582282,-0.007511958,-0.004758220,-2.018989483112,2.414636469367,1.639880297686,1.639880297686,-1.849559354700,-0.774756171681,-0.774756171681,-2.624315526382,-2.624315526382
2,3586120605.468750,4.419002711967e-02,4.378803998333e-02,4.421085245127e-02,4.422707911360e-02,-0.079375242,0.004092415,0.007279803,-0.505481743176,4.044804034511,2.819201321890,2.819201321890,-1.732899529492,-1.225602712621,-1.225602712621,-2.958502242113,-2.958502242113
3,3604064941.406250,4.419002711967e-02,4.407071798240e-02,4.422059922968e-02,4.423774322757e-02,-0.023482843,0.006007106,0.009373908,-3.021963840091,1.638890385286,-0.033004862810,-0.033004862810,-1.622331081802,-1.671895248096,-1.671895248096,-3.294226329898,-3.294226329898
4,3622009277.343750,4.419002711968e-02,4.427782366002e-02,4.423088389840e-02,4.424760957903e-02,0.017239965,0.008027004,0.011310907,-0.730847107533,4.031905326930,1.913717543358,1.913717543358,-1.520432872717,-2.118187783572,-2.118187783572,-3.638620656289,-3.638620656289
5,3639953613.281250,4.419002711967e-02,4.437265043396e-02,4.420169815303e-02,4.421674727195e-02,0.035822047,0.002293728,0.005250464,-3.641193369700,1.226968935300,4.945673923432,4.945673923432,-1.415023002179,-2.564480319047,-2.564480319047,-3.979503321227,-3.979503321227
6,3658081054.687500,4.419002711967e-02,4.440747299258e-02,4.417726208693e-02,4.418958350812e-02,0.042635845,-0.002509428,-0.000087196,-1.874287537636,3.090268742406,6.358127189599,6.358127189599,-1.318629027137,-3.015326859987,-3.015326859987,-4.333955887124,-4.333955887124
7,3676025390.625000,4.419002711967e-02,4.440186822884e-02,4.416554747954e-02,4.417444827186e-02,0.041539511,-0.004812995,-0.003062682,-1.259120606348,3.790807167297,6.612373079014,6.612373079014,-1.233257533534,-3.461619395462,-3.461619395462,-4.694876928997,-4.694876928997
8,3693969726.562500,4.419002711969e-02,4.438629157109e-02,4.417713193288e-02,4.418221731118e-02,0.038491872,-0.002535018,-0.001535214,-1.417135220509,3.692782133327,6.068055509569,6.068055509569,-1.173267953343,-3.907911930938,-3.907911930938,-5.081179884281,-5.081179884281
9,3712097167.968750,4.419002711966e-02,4.433183892693e-02,4.415835460174e-02,4.415947989466e-02,0.027829571,-0.006227709,-0.006006368,-0.007447083739,5.133116560121,7.057543395423,7.057543395423,-1.142621663319,-4.358758471877,-4.358758471877,-5.501380135197,-5.501380135197
10,3730041503.906250,4.419002711967e-02,4.435038984964e-02,4.419046597983e-02,4.418781126539e-02,0.031463473,0.000086261,-0.000435554,-1.738386515516,3.413619475519,4.891753775345,4.891753775345,-1.131179316146,-4.805051007353,-4.805051007353,-5.936230323498,-5.936230323498
