subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,1.766868750846e+02,-1.060121250507e+02,1.713580529474e+02,-1.051578294270e+02,1.768934075279e+02,-1.084575942330e+02,1.769646372919e+02,-1.085046025803e+02
1,19389,3550231933.593750,3.533737501691e+01,1.060121250507e+02,3.550495369986e+01,1.030917553689e+02,3.659683841691e+01,1.064000036628e+02,3.661337112202e+01,1.064433290164e+02
2,19390,3550415039.062500,2.473616251184e+02,3.533737501691e+01,2.416839496748e+02,3.209725916393e+01,2.493676308577e+02,3.321895821750e+01,2.494710099132e+02,3.322925140354e+01
3,19391,3550598144.531250,-3.533737501691e+01,1.766868750846e+02,-3.278829969013e+01,1.727246856331e+02,-3.390028034285e+01,1.781944053556e+02,-3.391185831906e+01,1.782685657704e+02
4,19392,3550781250.000000,-1.060121250507e+02,1.060121250507e+02,-1.024244486879e+02,1.044378513860e+02,-1.057085500090e+02,1.077005178520e+02,-1.057508794586e+02,1.077465975432e+02
5,19393,3550964355.468750,1.060121250507e+02,-2.473616251184e+02,1.010969414964e+02,-2.423370382624e+02,1.043855335439e+02,-2.499393527303e+02,1.044254517175e+02,-2.500445646762e+02
6,19394,3551147460.937500,-1.766868750846e+02,3.533737501691e+01,-1.720712016125e+02,3.614424377390e+01,-1.774961963823e+02,3.720984864621e+01,-1.775695340466e+02,3.722776246429e+01
7,19395,3551330566.406250,-1.766868750846e+02,-2.473616251184e+02,-1.747566599562e+02,-2.397389398555e+02,-1.801348618770e+02,-2.473242391648e+02,-1.802133453778e+02,-2.474248739643e+02
8,19396,3551513671.875000,1.766868750846e+02,-2.473616251184e+02,1.701294419577e+02,-2.430981296851e+02,1.755440772663e+02,-2.506221853783e+02,1.756139669963e+02,-2.507292757617e+02
9,19397,3551696777.343750,-1.766868750846e+02,1.060121250507e+02,-1.714845977436e+02,1.051482835523e+02,-1.768674533121e+02,1.083517847821e+02,-1.769399908333e+02,1.083995561033e+02
10,19398,3551879882.812500,1.060121250507e+02,2.473616251184e+02,1.058259515840e+02,2.405133074346e+02,1.090114646321e+02,2.480214994514e+02,1.090605765284e+02,2.481240104939e+02
11,19399,3552062988.281250,-2.473616251184e+02,-1.766868750846e+02,-2.431453228909e+02,-1.702648219970e+02,-2.505970672768e+02,-1.756320319246e+02,-2.507047643174e+02,-1.757023904116e+02
12,19400,3552246093.750000,3.533737501691e+01,3.533737501691e+01,3.480116543236e+01,3.420824243733e+01,3.586016730835e+01,3.527734467796e+01,3.587574693192e+01,3.529170400276e+01
13,19401,3552429199.218750,-2.473616251184e+02,-1.060121250507e+02,-2.423443750986e+02,-1.016221071054e+02,-2.497506610241e+02,-1.048449683093e+02,-2.498574394717e+02,-1.048857676749e+02
14,19402,3552612304.687500,-3.533737501691e+01,-3.533737501691e+01,-3.474899835683e+01,-3.426065394682e+01,-3.579936271054e+01,-3.532443634133e+01,-3.581497562733e+01,-3.533887379437e+01
15,19403,3552795410.156250,-3.533737501691e+01,-3.533737501691e+01,-3.472288521295e+01,-3.428682987769e+01,-3.576894152164e+01,-3.534794716739e+01,-3.578457091189e+01,-3.536242363803e+01
16,19404,3552978515.625000,1.060121250507e+02,-1.766868750846e+02,1.025551912728e+02,-1.730999953136e+02,1.057472310352e+02,-1.783254660153e+02,1.057896471135e+02,-1.784025644638e+02
