subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,2.550645781574e+02,1.093133906389e+02,2.414601810666e+02,1.245043201301e+02,2.470272559678e+02,1.272616332612e+02,2.470138918516e+02,1.272548097870e+02
1,19389,3550231933.593750,1.093133906389e+02,3.643779687963e+01,1.043758158788e+02,4.294294814040e+01,1.067792192388e+02,4.388655532240e+01,1.067735039814e+02,4.388423083287e+01
2,19390,3550415039.062500,1.821889843981e+02,-2.550645781574e+02,1.946350736626e+02,-2.376583928490e+02,1.990008976918e+02,-2.431688904277e+02,1.989904206954e+02,-2.431559907005e+02
3,19391,3550598144.531250,-3.643779687963e+01,1.093133906389e+02,-4.244146363427e+01,1.047100417793e+02,-4.337425725968e+01,1.071228338658e+02,-4.337200842670e+01,1.071172194111e+02
4,19392,3550781250.000000,2.550645781574e+02,-2.550645781574e+02,2.649583404336e+02,-2.345877331296e+02,2.709394179561e+02,-2.400583545583e+02,2.709254369998e+02,-2.400458721988e+02
5,19393,3550964355.468750,-1.821889843981e+02,-2.550645781574e+02,-1.639918727508e+02,-2.603298428418e+02,-1.678455375207e+02,-2.662334904540e+02,-1.678368883657e+02,-2.662198871481e+02
6,19394,3551147460.937500,-2.550645781574e+02,3.643779687963e+01,-2.519584186530e+02,2.126262812919e+01,-2.577254947588e+02,2.184332559743e+01,-2.577124420865e+02,2.184216838233e+01
7,19395,3551330566.406250,-1.093133906389e+02,-1.821889843981e+02,-9.672276182268e+01,-1.846242582192e+02,-9.900898097603e+01,-1.888217812501e+02,-9.900398306156e+01,-1.888123397471e+02
8,19396,3551513671.875000,-2.550645781574e+02,1.821889843981e+02,-2.600461843441e+02,1.638593854216e+02,-2.659506596654e+02,1.677144990459e+02,-2.659375153578e+02,1.677061369934e+02
9,19397,3551696777.343750,-1.821889843981e+02,1.821889843981e+02,-1.886530345653e+02,1.679079552015e+02,-1.929200953710e+02,1.718310628985e+02,-1.929106779698e+02,1.718226070577e+02
10,19398,3551879882.812500,-1.093133906389e+02,-2.550645781574e+02,-9.237521024024e+01,-2.557271862033e+02,-9.459068928440e+01,-2.615638797209e+02,-9.458605675454e+01,-2.615512302860e+02
11,19399,3552062988.281250,-1.821889843981e+02,-1.821889843981e+02,-1.676884528033e+02,-1.886247653530e+02,-1.716096746922e+02,-1.928948128134e+02,-1.716014212982e+02,-1.928856119675e+02
12,19400,3552246093.750000,-2.550645781574e+02,3.643779687963e+01,-2.515314945936e+02,2.071995876979e+01,-2.573031684631e+02,2.128923334329e+01,-2.572909984180e+02,2.128817554965e+01
13,19401,3552429199.218750,3.643779687963e+01,1.821889843981e+02,2.479607260188e+01,1.802973283019e+02,2.543284436846e+01,1.844324804996e+02,2.543161903928e+01,1.844238622149e+02
14,19402,3552612304.687500,-2.550645781574e+02,1.093133906389e+02,-2.559724056963e+02,9.145536456970e+01,-2.618247727185e+02,9.365328759542e+01,-2.618126957174e+02,9.364890975614e+01
15,19403,3552795410.156250,-2.550645781574e+02,1.821889843981e+02,-2.605394879718e+02,1.624362201773e+02,-2.664730636202e+02,1.662696385014e+02,-2.664609352402e+02,1.662619981656e+02
16,19404,3552978515.625000,-3.643779687963e+01,2.550645781574e+02,-5.154075122720e+01,2.470540855458e+02,-5.263540643464e+01,2.527590784352e+02,-5.263308339105e+01,2.527476744573e+02
17,19405,3553161621.093750,-1.821889843981e+02,2.550645781574e+02,-1.941967581064e+02,2.378120862623e+02,-1.985798976133e+02,2.433595201733e+02,-1.985711051960e+02,2.433486475638e+02
18,19406,3553344726.562500,3.643779687963e+01,1.093133906389e+02,2.863414481251e+01,1.091755088162e+02,2.933415864069e+01,1.116796477031e+02,2.933284729149e+01,1.116747444015e+02
19,19407,3553527832.031250,3.643779687963e+01,-1.093133906389e+02,4.267408058378e+01,-1.044918904816e+02,4.361872792125e+01,-1.069155789970e+02,4.361685602897e+01,-1.069109307327e+02
20,19408,3553710937.500000,1.821889843981e+02,-1.821889843981e+02,1.899631357315e+02,-1.661755112148e+02,1.942808436138e+02,-1.700768039026e+02,1.942725549698e+02,-1.700694805279e+02
21,19409,3553894042.968750,-1.093133906389e+02,1.821889843981e+02,-1.188606537968e+02,1.708502098115e+02,-1.215386331241e+02,1.748345818406e+02,-1.215335295354e+02,1.748271670600e+02
22,19410,3554077148.437500,-3.643779687963e+01,1.093133906389e+02,-4.286184161467e+01,1.044360864737e+02,-4.381208375387e+01,1.068616012102e+02,-4.381027722172e+01,1.068571351614e+02
23,19411,3554260253.906250,1.821889843981e+02,-3.643779687963e+01,1.805480378123e+02,-2.360663360125e+01,1.847067997705e+02,-2.421843992041e+01,1.846992037207e+02,-2.421740706423e+01
24,19412,3554443359.375000,-3.643779687963e+01,1.821889843981e+02,-4.760986036620e+01,1.758082883519e+02,-4.864413458608e+01,1.798857569994e+02,-4.864219549165e+01,1.798784461307e+02
25,19413,3554626464.843750,3.643779687963e+01,-3.643779687963e+01,3.803548737694e+01,-3.326879731497e+01,3.890186104042e+01,-3.405147354646e+01,3.890031062139e+01,-3.405010295271e+01
26,19414,3554809570.312500,-1.821889843981e+02,-2.550645781574e+02,-1.617096501249e+02,-2.615109170509e+02,-1.655439958488e+02,-2.674950355988e+02,-1.655374103316e+02,-2.674845116844e+02
27,19415,3554992675.781250,-3.643779687963e+01,1.821889843981e+02,-4.748676496810e+01,1.760154983267e+02,-4.851952097515e+01,1.801029072893e+02,-4.851766885639e+01,1.800958915490e+02
28,19416,3555175781.250000,1.821889843981e+02,1.821889843981e+02,1.665109895453e+02,1.900282999264e+02,1.704331092214e+02,1.943622896010e+02,1.704265369749e+02,1.943548715502e+02
29,19417,3555358886.718750,-2.550645781574e+02,3.643779687963e+01,-2.517576602011e+02,1.924229343195e+01,-2.575766367697e+02,1.978089155067e+01,-2.575669107007e+02,1.978009377395e+01
30,19418,3555541992.187500,3.643779687963e+01,1.821889843981e+02,2.395418008730e+01,1.803702680261e+02,2.457560340405e+01,1.845372672913e+02,2.457465269005e+01,1.845304052048e+02
31,19419,3555725097.656250,-2.550645781574e+02,2.550645781574e+02,-2.653361012588e+02,2.328523297961e+02,-2.713954369778e+02,2.383439127241e+02,-2.713855377109e+02,2.383351246774e+02
32,19420,3555908203.125000,-3.643779687963e+01,1.821889843981e+02,-4.711089609293e+01,1.754995355640e+02,-4.813749565621e+01,1.795836166493e+02,-4.813579391601e+01,1.795771271310e+02
33,19421,3556091308.593750,3.643779687963e+01,2.550645781574e+02,1.912795073569e+01,2.512341667615e+02,1.966447776953e+01,2.570511234508e+02,1.966372884237e+01,2.570419969337e+02
34,19422,3556274414.062500,1.093133906389e+02,2.550645781574e+02,8.967557754051e+01,2.562511077623e+02,9.185028505638e+01,2.621608019862e+02,9.184702294886e+01,2.621516561058e+02
35,19423,3556457519.531250,2.550645781574e+02,-1.821889843981e+02,2.616056659773e+02,-1.602614081983e+02,2.676160249585e+02,-1.640767337412e+02,2.676068536671e+02,-1.640710385077e+02
36,19424,3556640625.000000,1.821889843981e+02,-1.093133906389e+02,1.857252871216e+02,-9.374839173457e+01,1.900016073495e+02,-9.599331620807e+01,1.899951992287e+02,-9.599003186353e+01
37,19425,3556823730.468750,-3.643779687963e+01,-1.821889843981e+02,-2.216447403560e+01,-1.806546605435e+02,-2.274613567520e+01,-1.848416463888e+02,-2.274534284275e+01,-1.848355028790e+02
38,19426,3557006835.937500,1.821889843981e+02,1.093133906389e+02,1.697197625417e+02,1.206304235705e+02,1.737074676708e+02,1.233700560251e+02,1.737017640074e+02,1.233660564747e+02
39,19427,3557189941.406250,2.550645781574e+02,1.821889843981e+02,2.358353869618e+02,1.967980630865e+02,2.413897561819e+02,2.012847585522e+02,2.413819608246e+02,2.012783386515e+02
40,19428,3557373046.875000,1.093133906389e+02,2.550645781574e+02,8.864151530814e+01,2.570567308245e+02,9.079795647869e+01,2.630011823873e+02,9.079503888635e+01,2.629928987616e+02
41,19429,3557556152.343750,3.643779687963e+01,-3.643779687963e+01,3.812651275696e+01,-3.309723583152e+01,3.900118815789e+01,-3.388131222260e+01,3.899998583382e+01,-3.388025430183e+01
42,19430,3557739257.812500,-1.093133906389e+02,-1.093133906389e+02,-9.954961771152e+01,-1.141377401558e+02,-1.019087832524e+02,-1.167572214900e+02,-1.019056590202e+02,-1.167536883033e+02
43,19431,3557922363.281250,-1.093133906389e+02,2.550645781574e+02,-1.232876419307e+02,2.422751411367e+02,-1.260684469165e+02,2.479619158215e+02,-1.260647304275e+02,2.479544854553e+02
44,19432,3558105468.750000,3.643779687963e+01,-2.550645781574e+02,5.222869896011e+01,-2.468913402360e+02,5.335381294231e+01,-2.526618187685e+02,5.335229929409e+01,-2.526544054413e+02
45,19433,3558288574.218750,1.821889843981e+02,-2.550645781574e+02,1.953356809799e+02,-2.367542638744e+02,1.998001345269e+02,-2.423441104048e+02,1.997944412819e+02,-2.423371079744e+02
46,19434,3558471679.687500,3.643779687963e+01,1.093133906389e+02,2.781642670278e+01,1.093224585184e+02,2.850548559413e+01,1.118609957174e+02,2.850466075737e+01,1.118578506498e+02
47,19435,3558654785.156250,3.643779687963e+01,1.093133906389e+02,2.748108890227e+01,1.093810079613e+02,2.816263869511e+01,1.119221774258e+02,2.816183947334e+01,1.119190940363e+02
48,19436,3558837890.625000,2.550645781574e+02,2.550645781574e+02,2.292217630524e+02,2.684239712837e+02,2.346703470753e+02,2.746029170146e+02,2.346639496806e+02,2.745955401364e+02
49,19437,3559020996.093750,-3.643779687963e+01,3.643779687963e+01,-3.842503605953e+01,3.264070154578e+01,-3.931002307549e+01,3.341698658925e+01,-3.930898933046e+01,3.341609452390e+01
50,19438,3559204101.562500,3.643779687963e+01,-2.550645781574e+02,5.566140500776e+01,-2.459436310185e+02,5.687032137298e+01,-2.517087490402e+02,5.686889803581e+01,-2.517022195123e+02
51,19439,3559387207.031250,-1.093133906389e+02,-3.643779687963e+01,-1.038181153868e+02,-4.412359912566e+01,-1.062604393738e+02,-4.511617471081e+01,-1.062577390839e+02,-4.511505283419e+01
52,19440,3559570312.500000,3.643779687963e+01,1.821889843981e+02,2.138624496649e+01,1.806880148672e+02,2.195319059689e+01,1.849042276158e+02,2.195261072946e+01,1.848996535679e+02
