stage,evm_lin_percent,magnitude_only_evm_percent,phase_only_evm_percent,fitted_delay_s,fitted_delay_samples,gain_real,gain_imag,gain_abs_db,gain_phase_rad
after_h1,22.440832844,2.665465560,22.004620561,2.129930072094411e-09,51.118321730,5.643611645003e-01,-7.960534707288e-01,-0.212697010,-0.954089661826
after_l1_08_fixed_fir,22.412528413,2.486868090,22.004516530,3.775763405427745e-09,90.618321730,5.647514620884e-01,-7.957094692706e-01,-0.213184505,-0.953559453146
after_l1_08_fixed_fir_plus_l1_09_allpass,8.266957052,0.381730131,8.244131590,1.400146197935031e-08,336.035087504,4.466882380756e-01,-8.908456392886e-01,-0.029911286,-1.106012988554
