tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,-5.361631069365573043e-02,-878,-5.358886718750000000e-02,2.744350615573043495e-05,0
1,-1.044472490303654799e-01,-1711,-1.044311523437500000e-01,1.609668661547991597e-05,0
2,-7.904271756245150049e-02,-1295,-7.904052734375000000e-02,2.190218701500490361e-06,0
3,-3.921872436614676216e-02,-643,-3.924560546875000000e-02,-2.688110260323783862e-05,0
4,1.141461793677418096e-01,1870,1.141357421875000000e-01,-1.043718024180961823e-05,0
5,-5.477275762479726778e-02,-897,-5.474853515625000000e-02,2.422246854726778365e-05,0
6,6.415893355317213442e-02,1051,6.414794921875000000e-02,-1.098433442213442301e-05,0
7,-1.312843167470547634e-01,-2151,-1.312866210937500000e-01,-2.304346695236603182e-06,0
8,1.095639403852109450e-01,1795,1.095581054687500000e-01,-5.834916460945027694e-06,0
9,-2.598697314789414139e-02,-426,-2.600097656250000000e-02,-1.400341460585860509e-05,0
10,-8.369588840978742228e-03,-137,-8.361816406250000000e-03,7.772434728742227961e-06,0
11,1.464117746502259683e-02,240,1.464843750000000000e-02,7.260034977403170831e-06,0
12,-6.344708266390622353e-02,-1040,-6.347656250000000000e-02,-2.947983609377646808e-05,0
13,1.111255877188365576e-01,1821,1.111450195312500000e-01,1.943181241344238419e-05,0
14,-8.140768645014041793e-02,-1334,-8.142089843750000000e-02,-1.321198735958206694e-05,0
15,1.020455222621689979e-02,167,1.019287109375000000e-02,-1.168113246689979345e-05,0
16,2.499441926760317956e-02,410,2.502441406250000000e-02,2.999479489682044253e-05,0
17,-3.817721037417536045e-02,-625,-3.814697265625000000e-02,3.023771792536045222e-05,0
18,7.604633727147795674e-02,1246,7.604980468750000000e-02,3.467416022043257051e-06,0
19,-9.811557042586142863e-02,-1608,-9.814453125000000000e-02,-2.896082413857137272e-05,0
20,4.157655170968924813e-02,681,4.156494140625000000e-02,-1.161030343924812636e-05,0
21,4.646687318019179086e-02,761,4.644775390625000000e-02,-1.911927394179085971e-05,0
22,-7.061356078908795353e-02,-1157,-7.061767578125000000e-02,-4.114992162046471336e-06,0
23,4.516874144637346433e-02,740,4.516601562500000000e-02,-2.725821373464332176e-06,0
24,-5.383684029282728017e-02,-882,-5.383300781250000000e-02,3.832480327280174404e-06,0
25,7.210320156445110262e-02,1181,7.208251953125000000e-02,-2.068203320110262311e-05,0
26,7.852009043807454264e-03,129,7.873535156250000000e-03,2.152611244254573619e-05,0
27,-1.521362854771538542e-01,-2493,-1.521606445312500000e-01,-2.435905409614580464e-05,0
28,1.621763345500654707e-01,2657,1.621704101562500000e-01,-5.924393815470718749e-06,0
29,3.152241421025499257e-02,516,3.149414062500000000e-02,-2.827358525499257258e-05,0
30,-2.047913244120573850e-01,-3355,-2.047729492187500000e-01,1.837519330738501822e-05,0
31,1.209428345746106637e-01,1982,1.209716796875000000e-01,2.884511288933633288e-05,0
32,1.209428345746106637e-01,1982,1.209716796875000000e-01,2.884511288933633288e-05,0
33,-2.047913244120573850e-01,-3355,-2.047729492187500000e-01,1.837519330738501822e-05,0
34,3.152241421025499257e-02,516,3.149414062500000000e-02,-2.827358525499257258e-05,0
35,1.621763345500654707e-01,2657,1.621704101562500000e-01,-5.924393815470718749e-06,0
36,-1.521362854771538542e-01,-2493,-1.521606445312500000e-01,-2.435905409614580464e-05,0
37,7.852009043807454264e-03,129,7.873535156250000000e-03,2.152611244254573619e-05,0
38,7.210320156445110262e-02,1181,7.208251953125000000e-02,-2.068203320110262311e-05,0
39,-5.383684029282728017e-02,-882,-5.383300781250000000e-02,3.832480327280174404e-06,0
40,4.516874144637346433e-02,740,4.516601562500000000e-02,-2.725821373464332176e-06,0
41,-7.061356078908795353e-02,-1157,-7.061767578125000000e-02,-4.114992162046471336e-06,0
42,4.646687318019179086e-02,761,4.644775390625000000e-02,-1.911927394179085971e-05,0
43,4.157655170968924813e-02,681,4.156494140625000000e-02,-1.161030343924812636e-05,0
44,-9.811557042586142863e-02,-1608,-9.814453125000000000e-02,-2.896082413857137272e-05,0
45,7.604633727147795674e-02,1246,7.604980468750000000e-02,3.467416022043257051e-06,0
46,-3.817721037417536045e-02,-625,-3.814697265625000000e-02,3.023771792536045222e-05,0
47,2.499441926760317956e-02,410,2.502441406250000000e-02,2.999479489682044253e-05,0
48,1.020455222621689979e-02,167,1.019287109375000000e-02,-1.168113246689979345e-05,0
49,-8.140768645014041793e-02,-1334,-8.142089843750000000e-02,-1.321198735958206694e-05,0
50,1.111255877188365576e-01,1821,1.111450195312500000e-01,1.943181241344238419e-05,0
51,-6.344708266390622353e-02,-1040,-6.347656250000000000e-02,-2.947983609377646808e-05,0
52,1.464117746502259683e-02,240,1.464843750000000000e-02,7.260034977403170831e-06,0
53,-8.369588840978742228e-03,-137,-8.361816406250000000e-03,7.772434728742227961e-06,0
54,-2.598697314789414139e-02,-426,-2.600097656250000000e-02,-1.400341460585860509e-05,0
55,1.095639403852109450e-01,1795,1.095581054687500000e-01,-5.834916460945027694e-06,0
56,-1.312843167470547634e-01,-2151,-1.312866210937500000e-01,-2.304346695236603182e-06,0
57,6.415893355317213442e-02,1051,6.414794921875000000e-02,-1.098433442213442301e-05,0
58,-5.477275762479726778e-02,-897,-5.474853515625000000e-02,2.422246854726778365e-05,0
