freq_hz,h_db,phase_rad
5500000000.000000,-0.277289155,0.000000000000
5501000000.000000,-0.288613798,0.000000000000
5502000000.000000,-0.270425438,0.000000000000
5503000000.000000,-0.282910591,0.000000000000
5504000000.000000,-0.264355900,0.000000000000
5505000000.000000,-0.268307730,0.000000000000
5506000000.000000,-0.270349037,0.000000000000
5507000000.000000,-0.266387857,0.000000000000
5508000000.000000,-0.270837720,0.000000000000
5509000000.000000,-0.282109232,0.000000000000
5510000000.000000,-0.279347177,0.000000000000
5511000000.000000,-0.282183467,0.000000000000
5512000000.000000,-0.274238040,0.000000000000
5513000000.000000,-0.268435584,0.000000000000
5514000000.000000,-0.264625948,0.000000000000
5515000000.000000,-0.269087352,0.000000000000
5516000000.000000,-0.275882906,0.000000000000
5517000000.000000,-0.290128678,0.000000000000
5518000000.000000,-0.275855476,0.000000000000
5519000000.000000,-0.279627019,0.000000000000
5520000000.000000,-0.283820076,0.000000000000
5521000000.000000,-0.268122826,0.000000000000
5522000000.000000,-0.265623792,0.000000000000
5523000000.000000,-0.262693003,0.000000000000
5524000000.000000,-0.267363811,0.000000000000
5525000000.000000,-0.279729636,0.000000000000
5526000000.000000,-0.265078886,0.000000000000
5527000000.000000,-0.282855263,0.000000000000
5528000000.000000,-0.259129128,0.000000000000
5529000000.000000,-0.260809121,0.000000000000
5530000000.000000,-0.262090203,0.000000000000
5531000000.000000,-0.263385511,0.000000000000
5532000000.000000,-0.275370289,0.000000000000
5533000000.000000,-0.263885652,0.000000000000
5534000000.000000,-0.273167100,0.000000000000
5535000000.000000,-0.269097326,0.000000000000
5536000000.000000,-0.264600840,0.000000000000
5537000000.000000,-0.251291871,0.000000000000
5538000000.000000,-0.255989539,0.000000000000
5539000000.000000,-0.250698649,0.000000000000
5540000000.000000,-0.251868440,0.000000000000
5541000000.000000,-0.239465019,0.000000000000
5542000000.000000,-0.248895056,0.000000000000
5543000000.000000,-0.249784363,0.000000000000
5544000000.000000,-0.240984917,0.000000000000
5545000000.000000,-0.256745560,0.000000000000
5546000000.000000,-0.255041654,0.000000000000
5547000000.000000,-0.239353093,0.000000000000
5548000000.000000,-0.238364614,0.000000000000
5549000000.000000,-0.248435995,0.000000000000
5550000000.000000,-0.240710116,0.000000000000
5551000000.000000,-0.231130632,0.000000000000
5552000000.000000,-0.236559294,0.000000000000
5553000000.000000,-0.249102554,0.000000000000
5554000000.000000,-0.244042373,0.000000000000
5555000000.000000,-0.232906488,0.000000000000
5556000000.000000,-0.230767356,0.000000000000
5557000000.000000,-0.239881544,0.000000000000
5558000000.000000,-0.244221551,0.000000000000
5559000000.000000,-0.222810799,0.000000000000
5560000000.000000,-0.239395342,0.000000000000
5561000000.000000,-0.219010050,0.000000000000
5562000000.000000,-0.240714146,0.000000000000
5563000000.000000,-0.233071555,0.000000000000
5564000000.000000,-0.211857664,0.000000000000
5565000000.000000,-0.214273513,0.000000000000
5566000000.000000,-0.215442781,0.000000000000
5567000000.000000,-0.203829881,0.000000000000
5568000000.000000,-0.198170340,0.000000000000
5569000000.000000,-0.207461398,0.000000000000
5570000000.000000,-0.192239035,0.000000000000
5571000000.000000,-0.209084453,0.000000000000
5572000000.000000,-0.202134485,0.000000000000
5573000000.000000,-0.199370253,0.000000000000
5574000000.000000,-0.195415129,0.000000000000
5575000000.000000,-0.198725194,0.000000000000
5576000000.000000,-0.184728924,0.000000000000
5577000000.000000,-0.199798407,0.000000000000
5578000000.000000,-0.186785922,0.000000000000
5579000000.000000,-0.175182368,0.000000000000
5580000000.000000,-0.177359530,0.000000000000
5581000000.000000,-0.186707483,0.000000000000
5582000000.000000,-0.171068819,0.000000000000
