freq_hz,h1_db,h2_target_db,h2_target_linear,htotal_target_db
3500000000.000000,-0.164100602,0.164100602,1.019072377815,0.000000000
3501000000.000000,-0.175570512,0.175570512,1.020418974412,0.000000000
3502000000.000000,-0.154273784,0.154273784,1.017920097909,0.000000000
3503000000.000000,-0.165442206,0.165442206,1.019229793719,0.000000000
3504000000.000000,-0.158579868,0.158579868,1.018424863261,0.000000000
3505000000.000000,-0.154807545,0.154807545,1.017982652554,0.000000000
3506000000.000000,-0.169569100,0.169569100,1.019714171590,0.000000000
3507000000.000000,-0.166967694,0.166967694,1.019408815032,0.000000000
3508000000.000000,-0.156279824,0.156279824,1.018155217665,0.000000000
3509000000.000000,-0.165279751,0.165279751,1.019210730913,0.000000000
3510000000.000000,-0.150140734,0.150140734,1.017435851154,0.000000000
3511000000.000000,-0.179439056,0.179439056,1.020873552478,0.000000000
3512000000.000000,-0.184513000,0.184513000,1.021470079567,0.000000000
3513000000.000000,-0.173532709,0.173532709,1.020179601242,0.000000000
3514000000.000000,-0.175354634,0.175354634,1.020393613363,0.000000000
3515000000.000000,-0.166006177,0.166006177,1.019295974010,0.000000000
3516000000.000000,-0.167506758,0.167506758,1.019472083582,0.000000000
3517000000.000000,-0.166766882,0.166766882,1.019385247249,0.000000000
3518000000.000000,-0.169317024,0.169317024,1.019684578566,0.000000000
3519000000.000000,-0.154331056,0.154331056,1.017926809773,0.000000000
3520000000.000000,-0.158923011,0.158923011,1.018465097742,0.000000000
3521000000.000000,-0.188349100,0.188349100,1.021921308739,0.000000000
3522000000.000000,-0.166749621,0.166749621,1.019383221482,0.000000000
3523000000.000000,-0.172576611,0.172576611,1.020067311305,0.000000000
3524000000.000000,-0.171560323,0.171560323,1.019947965842,0.000000000
3525000000.000000,-0.180408279,0.180408279,1.020987473950,0.000000000
3526000000.000000,-0.181852262,0.181852262,1.021157221802,0.000000000
3527000000.000000,-0.180027166,0.180027166,1.020942676804,0.000000000
3528000000.000000,-0.184836156,0.184836156,1.021508083771,0.000000000
3529000000.000000,-0.178079687,0.178079687,1.020713795063,0.000000000
3530000000.000000,-0.167119296,0.167119296,1.019426607770,0.000000000
3531000000.000000,-0.185674803,0.185674803,1.021606718003,0.000000000
3532000000.000000,-0.173063811,0.173063811,1.020124529478,0.000000000
3533000000.000000,-0.175453857,0.175453857,1.020405269866,0.000000000
3534000000.000000,-0.161585661,0.161585661,1.018777354966,0.000000000
3535000000.000000,-0.159632396,0.159632396,1.018548280168,0.000000000
3536000000.000000,-0.162110699,0.162110699,1.018838939100,0.000000000
3537000000.000000,-0.174415910,0.174415910,1.020283340696,0.000000000
3538000000.000000,-0.178910286,0.178910286,1.020811406756,0.000000000
3539000000.000000,-0.181914189,0.181914189,1.021164502280,0.000000000
3540000000.000000,-0.192061341,0.192061341,1.022358158518,0.000000000
3541000000.000000,-0.155376310,0.155376310,1.018049313758,0.000000000
3542000000.000000,-0.187501950,0.187501950,1.021821643828,0.000000000
3543000000.000000,-0.179059809,0.179059809,1.020828979637,0.000000000
3544000000.000000,-0.191539437,0.191539437,1.022296730523,0.000000000
3545000000.000000,-0.181025948,0.181025948,1.021060080760,0.000000000
3546000000.000000,-0.166179361,0.166179361,1.019316297492,0.000000000
3547000000.000000,-0.179275305,0.179275305,1.020854306609,0.000000000
3548000000.000000,-0.192013087,0.192013087,1.022352478877,0.000000000
3549000000.000000,-0.163522735,0.163522735,1.019004581799,0.000000000
3550000000.000000,-0.192807641,0.192807641,1.022446004289,0.000000000
3551000000.000000,-0.167645626,0.167645626,1.019488382797,0.000000000
3552000000.000000,-0.186479002,0.186479002,1.021701309711,0.000000000
3553000000.000000,-0.186966738,0.186966738,1.021758682590,0.000000000
3554000000.000000,-0.186172953,0.186172953,1.021665310502,0.000000000
