tap_index,coeff_float
0,2.951443498501241658e-01
1,3.511436981303044935e-01
2,3.294086777653106313e-01
3,2.308892379585395782e-01
4,-2.841053271917021172e-01
5,-3.394547847441369282e-01
6,2.702780632072517703e-02
7,1.955262175437460503e-01
8,1.914360472066857499e-01
9,2.175463413183998870e-02
10,-2.728512959439353680e-01
11,-1.940951159069681242e-01
12,2.172064446911839142e-01
13,2.654332049616491274e-01
14,-7.636572513050357558e-02
15,-2.313701759959729820e-01
16,-8.241624071964741283e-02
17,1.221570136879050333e-01
18,2.015355202860429629e-01
19,1.596501869053650047e-02
20,-2.467985553783958175e-01
21,-1.373378798009279589e-01
22,2.113229291599227067e-01
23,2.089112767123496583e-01
24,-1.118868896974263560e-01
25,-2.165587746174680861e-01
26,-1.949655485924789086e-02
27,1.657159566839223053e-01
28,1.459498073463531831e-01
29,-7.732821545629346704e-02
30,-2.355243721516831479e-01
31,-1.926045357110309567e-02
32,2.684916391638354494e-01
33,9.455293718712660944e-02
34,-2.409767352033581334e-01
35,-1.264044967755819926e-01
36,1.646147571505300056e-01
37,1.052617907132114006e-01
38,-6.268772859436932965e-02
39,-3.617554200096730760e-02
40,-3.617554200096730760e-02
41,-6.268772859436932965e-02
42,1.052617907132114006e-01
43,1.646147571505300056e-01
44,-1.264044967755819926e-01
45,-2.409767352033581334e-01
46,9.455293718712660944e-02
47,2.684916391638354494e-01
48,-1.926045357110309567e-02
49,-2.355243721516831479e-01
50,-7.732821545629346704e-02
51,1.459498073463531831e-01
52,1.657159566839223053e-01
53,-1.949655485924789086e-02
54,-2.165587746174680861e-01
55,-1.118868896974263560e-01
56,2.089112767123496583e-01
57,2.113229291599227067e-01
58,-1.373378798009279589e-01
59,-2.467985553783958175e-01
60,1.596501869053650047e-02
61,2.015355202860429629e-01
62,1.221570136879050333e-01
63,-8.241624071964741283e-02
64,-2.313701759959729820e-01
65,-7.636572513050357558e-02
66,2.654332049616491274e-01
67,2.172064446911839142e-01
68,-1.940951159069681242e-01
69,-2.728512959439353680e-01
70,2.175463413183998870e-02
71,1.914360472066857499e-01
72,1.955262175437460503e-01
73,2.702780632072517703e-02
74,-3.394547847441369282e-01
75,-2.841053271917021172e-01
76,2.308892379585395782e-01
77,3.294086777653106313e-01
78,3.511436981303044935e-01
79,2.951443498501241658e-01
