tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,1.845007535815771371e-01,1511,1.844482421875000000e-01,-5.251139407713711904e-05,0
1,2.929114884970939192e-01,2400,2.929687500000000000e-01,5.726150290608078564e-05,0
2,2.494396133547686911e-01,2043,2.493896484375000000e-01,-4.996491726869112249e-05,0
3,-5.535858823473860379e-02,-453,-5.529785156250000000e-02,6.073667223860379494e-05,0
4,-2.315079641030013125e-01,-1897,-2.315673828125000000e-01,-5.941870949868754970e-05,0
5,6.635085724063613521e-02,544,6.640625000000000000e-02,5.539275936386478527e-05,0
6,6.069492997342713914e-02,497,6.066894531250000000e-02,-2.598466092713913600e-05,0
7,1.255478263940857375e-01,1028,1.254882812500000000e-01,-5.954514408573752249e-05,0
8,-2.308942781576333869e-01,-1891,-2.308349609375000000e-01,5.931722013338691646e-05,0
9,5.087701544606342691e-02,417,5.090332031250000000e-02,2.630486643657309331e-05,0
10,9.959045587904248598e-02,816,9.960937500000000000e-02,1.891912095751402401e-05,0
11,-2.749935546440639839e-02,-225,-2.746582031250000000e-02,3.353515190639838606e-05,0
12,-3.522535123691033360e-02,-289,-3.527832031250000000e-02,-5.296907558966640339e-05,0
13,-7.871337035507464108e-02,-645,-7.873535156250000000e-02,-2.198120742535891736e-05,0
14,1.712642666846061479e-01,1403,1.712646484375000000e-01,3.817528938521164150e-07,0
15,-6.125310154123579653e-02,-502,-6.127929687500000000e-02,-2.619533376420346560e-05,0
16,-9.575624505233289174e-02,-784,-9.570312500000000000e-02,5.312005233289174289e-05,0
17,9.143200828222765308e-02,749,9.143066406250000000e-02,-1.344219727653084284e-06,0
18,-5.361178144310727728e-03,-44,-5.371093750000000000e-03,-9.915605689272272150e-06,0
19,2.324557147064373192e-02,190,2.319335937500000000e-02,-5.221209564373191503e-05,0
20,-9.866685267186926789e-02,-808,-9.863281250000000000e-02,3.404017186926788785e-05,0
21,5.247120130565970098e-02,430,5.249023437500000000e-02,1.903306934029902475e-05,0
22,9.362683000723308335e-02,767,9.362792968750000000e-02,1.099680266916647220e-06,0
23,-1.404509318498670112e-01,-1151,-1.405029296875000000e-01,-5.199783763298881922e-05,0
24,4.056340341365837626e-02,332,4.052734375000000000e-02,-3.605966365837626197e-05,0
25,3.624040558186667621e-02,297,3.625488281250000000e-02,1.447723063332378990e-05,0
26,1.367580033994206072e-03,11,1.342773437500000000e-03,-2.480659649420607210e-05,0
27,-2.613327888429842205e-02,-214,-2.612304687500000000e-02,1.023200929842205120e-05,0
28,-6.171089838704554159e-02,-506,-6.176757812500000000e-02,-5.667973795445840901e-05,0
29,1.400469680858142107e-01,1147,1.400146484375000000e-01,-3.231964831421074713e-05,0
30,-6.526904588884270553e-02,-535,-6.530761718750000000e-02,-3.857129865729447271e-05,0
31,-7.394361909427236978e-02,-606,-7.397460937500000000e-02,-3.099028072763021502e-05,0
32,9.245396772690053777e-02,757,9.240722656250000000e-02,-4.674116440053777133e-05,0
33,-1.476293441679734850e-02,-121,-1.477050781250000000e-02,-7.573395702651503081e-06,0
34,2.552903351165273019e-02,209,2.551269531250000000e-02,-1.633819915273018730e-05,0
35,-1.288692177084024837e-01,-1056,-1.289062500000000000e-01,-3.703229159751630917e-05,0
36,9.874012916239717497e-02,809,9.875488281250000000e-02,1.475365010282503331e-05,0
37,1.458477112688604527e-01,1195,1.458740234375000000e-01,2.631216863954732865e-05,0
38,-3.315231373006322646e-01,-2716,-3.315429687500000000e-01,-1.983144936773539868e-05,0
39,1.779025220327445089e-01,1457,1.778564453125000000e-01,-4.607672024450892856e-05,0
40,1.779025220327445089e-01,1457,1.778564453125000000e-01,-4.607672024450892856e-05,0
41,-3.315231373006322646e-01,-2716,-3.315429687500000000e-01,-1.983144936773539868e-05,0
42,1.458477112688604527e-01,1195,1.458740234375000000e-01,2.631216863954732865e-05,0
43,9.874012916239717497e-02,809,9.875488281250000000e-02,1.475365010282503331e-05,0
44,-1.288692177084024837e-01,-1056,-1.289062500000000000e-01,-3.703229159751630917e-05,0
45,2.552903351165273019e-02,209,2.551269531250000000e-02,-1.633819915273018730e-05,0
46,-1.476293441679734850e-02,-121,-1.477050781250000000e-02,-7.573395702651503081e-06,0
47,9.245396772690053777e-02,757,9.240722656250000000e-02,-4.674116440053777133e-05,0
48,-7.394361909427236978e-02,-606,-7.397460937500000000e-02,-3.099028072763021502e-05,0
49,-6.526904588884270553e-02,-535,-6.530761718750000000e-02,-3.857129865729447271e-05,0
50,1.400469680858142107e-01,1147,1.400146484375000000e-01,-3.231964831421074713e-05,0
51,-6.171089838704554159e-02,-506,-6.176757812500000000e-02,-5.667973795445840901e-05,0
52,-2.613327888429842205e-02,-214,-2.612304687500000000e-02,1.023200929842205120e-05,0
53,1.367580033994206072e-03,11,1.342773437500000000e-03,-2.480659649420607210e-05,0
54,3.624040558186667621e-02,297,3.625488281250000000e-02,1.447723063332378990e-05,0
55,4.056340341365837626e-02,332,4.052734375000000000e-02,-3.605966365837626197e-05,0
56,-1.404509318498670112e-01,-1151,-1.405029296875000000e-01,-5.199783763298881922e-05,0
57,9.362683000723308335e-02,767,9.362792968750000000e-02,1.099680266916647220e-06,0
58,5.247120130565970098e-02,430,5.249023437500000000e-02,1.903306934029902475e-05,0
59,-9.866685267186926789e-02,-808,-9.863281250000000000e-02,3.404017186926788785e-05,0
60,2.324557147064373192e-02,190,2.319335937500000000e-02,-5.221209564373191503e-05,0
61,-5.361178144310727728e-03,-44,-5.371093750000000000e-03,-9.915605689272272150e-06,0
62,9.143200828222765308e-02,749,9.143066406250000000e-02,-1.344219727653084284e-06,0
63,-9.575624505233289174e-02,-784,-9.570312500000000000e-02,5.312005233289174289e-05,0
64,-6.125310154123579653e-02,-502,-6.127929687500000000e-02,-2.619533376420346560e-05,0
65,1.712642666846061479e-01,1403,1.712646484375000000e-01,3.817528938521164150e-07,0
66,-7.871337035507464108e-02,-645,-7.873535156250000000e-02,-2.198120742535891736e-05,0
67,-3.522535123691033360e-02,-289,-3.527832031250000000e-02,-5.296907558966640339e-05,0
68,-2.749935546440639839e-02,-225,-2.746582031250000000e-02,3.353515190639838606e-05,0
69,9.959045587904248598e-02,816,9.960937500000000000e-02,1.891912095751402401e-05,0
70,5.087701544606342691e-02,417,5.090332031250000000e-02,2.630486643657309331e-05,0
71,-2.308942781576333869e-01,-1891,-2.308349609375000000e-01,5.931722013338691646e-05,0
72,1.255478263940857375e-01,1028,1.254882812500000000e-01,-5.954514408573752249e-05,0
73,6.069492997342713914e-02,497,6.066894531250000000e-02,-2.598466092713913600e-05,0
74,6.635085724063613521e-02,544,6.640625000000000000e-02,5.539275936386478527e-05,0
75,-2.315079641030013125e-01,-1897,-2.315673828125000000e-01,-5.941870949868754970e-05,0
76,-5.535858823473860379e-02,-453,-5.529785156250000000e-02,6.073667223860379494e-05,0
77,2.494396133547686911e-01,2043,2.493896484375000000e-01,-4.996491726869112249e-05,0
78,2.929114884970939192e-01,2400,2.929687500000000000e-01,5.726150290608078564e-05,0
79,1.845007535815771371e-01,1511,1.844482421875000000e-01,-5.251139407713711904e-05,0
