stage,evm_percent,magnitude_only_evm_percent,fitted_delay_samples,gain_real,gain_imag,gain_abs_db,gain_phase_rad
after_h1,7.742609558,2.214327379,11.414244486,9.802202450999e-01,-1.937540681778e-01,-0.007074476,-0.195148217330
after_float_fir,7.402766659,0.128660012,50.914244486,9.784141259299e-01,-1.930241842656e-01,-0.023722702,-0.194781415019
after_fixed_fir,7.401850667,0.147861119,50.914244486,9.786811816936e-01,-1.930393449563e-01,-0.021415468,-0.194744508939
