subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,2.525904782853e+02,-1.082530621223e+02,2.789510226435e+02,3.682206106944e+01,2.774417290249e+02,3.656381053570e+01,2.773574625117e+02,3.654920342252e+01
1,19389,3550231933.593750,3.608435404076e+01,-1.082530621223e+02,8.834123317207e+01,-7.644895804671e+01,8.784861728008e+01,-7.605478750454e+01,8.782084947518e+01,-7.603265427800e+01
2,19390,3550415039.062500,-2.525904782853e+02,1.804217702038e+02,-3.166419211609e+02,2.698168476095e+01,-3.149407963477e+02,2.690306050028e+01,-3.148443027138e+02,2.689875340474e+01
3,19391,3550598144.531250,-1.804217702038e+02,1.082530621223e+02,-2.153949080471e+02,1.211106262118e+00,-2.142502357483e+02,1.249470249489e+00,-2.141848090908e+02,1.251746754621e+00
4,19392,3550781250.000000,2.525904782853e+02,3.608435404076e+01,2.037139674276e+02,1.634752320543e+02,2.026740538577e+02,1.625710715502e+02,2.026141995990e+02,1.625189284835e+02
5,19393,3550964355.468750,-3.608435404076e+01,-2.525904782853e+02,9.978389387619e+01,-2.413714773217e+02,9.921178471943e+01,-2.401297780664e+02,9.917852220743e+01,-2.400577114841e+02
6,19394,3551147460.937500,-1.804217702038e+02,-1.804217702038e+02,-6.510211278088e+01,-2.529361548528e+02,-6.481690496070e+01,-2.516101029489e+02,-6.480024409343e+01,-2.515325066422e+02
7,19395,3551330566.406250,1.804217702038e+02,2.525904782853e+02,2.766773052724e+01,3.165300446331e+02,2.759114245094e+01,3.148948063415e+02,2.758662926956e+01,3.147983704152e+02
8,19396,3551513671.875000,2.525904782853e+02,3.608435404076e+01,2.039773002828e+02,1.631145252832e+02,2.029695367493e+02,1.622390795400e+02,2.029096205210e+02,1.621870600155e+02
9,19397,3551696777.343750,3.608435404076e+01,2.525904782853e+02,-9.937442485393e+01,2.415302528012e+02,-9.882074818638e+01,2.403273367573e+02,-9.878762009595e+01,2.402552476112e+02
