subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
10,15166,5553955078.125000,-2.741094685682e+02,1.644656811409e+02,-3.147945962509e+02,4.827389793105e+01,-3.239062483571e+02,4.988765090665e+01,-3.238092486768e+02,4.985659243927e+01
11,15167,5554321289.062500,5.482189371364e+01,3.837532559955e+02,-9.432480643510e+01,3.746858923126e+02,-9.680440093678e+01,3.855988476403e+02,-9.679336862421e+01,3.854755343188e+02
12,15168,5554687500.000000,5.482189371364e+01,1.644656811409e+02,-1.152430121013e+01,1.724893542383e+02,-1.174107480721e+01,1.774759345352e+02,-1.174608300190e+01,1.774206602954e+02
13,15169,5555053710.937500,2.741094685682e+02,-1.644656811409e+02,3.152206676438e+02,-4.827372788054e+01,3.242578290633e+02,-4.987440105345e+01,3.241601009501e+02,-4.984323425091e+01
14,15170,5555419921.875000,5.482189371364e+01,-3.837532559955e+02,1.957249564469e+02,-3.335705953252e+02,2.011141527617e+02,-3.432685875403e+02,2.010685937890e+02,-3.431525688611e+02
15,15171,5555786132.812500,-2.741094685682e+02,5.482189371364e+01,-2.738123198210e+02,-5.311493814861e+01,-2.816750960120e+02,-5.444937819369e+01,-2.815850912968e+02,-5.444618369222e+01
16,15172,5556152343.750000,5.482189371364e+01,-1.644656811409e+02,1.128818666736e+02,-1.310427076963e+02,1.160100523646e+02,-1.348521230358e+02,1.159805549816e+02,-1.348045756368e+02
17,15173,5556518554.687500,-3.837532559955e+02,-3.837532559955e+02,-2.085946325954e+02,-4.994249371440e+02,-2.148534262101e+02,-5.134670271271e+02,-2.147615602997e+02,-5.133175754802e+02
18,15174,5556884765.625000,-5.482189371364e+01,3.837532559955e+02,-1.960527913261e+02,3.330256841620e+02,-2.013778512814e+02,3.425825433493e+02,-2.013316670814e+02,3.424658562244e+02
19,15175,5557250976.562500,-3.837532559955e+02,2.741094685682e+02,-4.578346562960e+02,1.063292145545e+02,-4.706770247768e+02,1.096357084381e+02,-4.705351888327e+02,1.095785492967e+02
20,15176,5557617187.500000,2.741094685682e+02,-1.644656811409e+02,3.151565120349e+02,-4.628517438697e+01,3.239844775303e+02,-4.779780179636e+01,3.238852973934e+02,-4.776707796338e+01
21,15177,5557983398.437500,-1.644656811409e+02,-3.837532559955e+02,-3.222537415796e+00,-4.159510033677e+02,-3.591997924106e+00,-4.276009807672e+02,-3.570084619292e+00,-4.274669198278e+02
22,15178,5558349609.375000,-5.482189371364e+01,-5.482189371364e+01,-2.928814388349e+01,-7.154583763997e+01,-3.015377010947e+01,-7.352345804494e+01,-3.014071109855e+01,-7.350179659965e+01
23,15179,5558715820.312500,-3.837532559955e+02,-1.644656811409e+02,-2.899232728433e+02,-2.992977397748e+02,-2.981893069163e+02,-3.074291451414e+02,-2.980803785337e+02,-3.073467435863e+02
24,15180,5559082031.250000,-3.837532559955e+02,3.837532559955e+02,-5.014702378158e+02,2.054976624232e+02,-5.152331695891e+02,2.115305767540e+02,-5.150807363244e+02,2.114387278683e+02
25,15181,5559448242.187500,-5.482189371364e+01,-1.644656811409e+02,1.322471565445e+01,-1.724900105878e+02,1.347427006492e+01,-1.772633070800e+02,1.347862307143e+01,-1.772065596680e+02
