section,fs_hz,r,theta_rad,center_freq_hz,b0,b1,b2,a0,a1,a2
1,24000000000.000000,0.959501036176,1.387536755335,5299999999.999999,0.920642238424,-0.349710351076,1.000000000000,1.000000000000,-0.349710351076,0.920642238424
2,24000000000.000000,0.365417244400,1.411580288140,5391839530.286957,0.133529762505,-0.115869576453,1.000000000000,1.000000000000,-0.115869576453,0.133529762505
3,24000000000.000000,0.978040945225,1.451563800691,5544565298.237123,0.956564090536,-0.232676366113,1.000000000000,1.000000000000,-0.232676366113,0.956564090536
4,24000000000.000000,0.300003194930,1.497210234640,5718921832.579367,0.090001916968,-0.044112289632,1.000000000000,1.000000000000,-0.044112289632,0.090001916968
5,24000000000.000000,0.309792160488,1.500385478527,5731050370.819191,0.095971182700,-0.043589419650,1.000000000000,1.000000000000,-0.043589419650,0.095971182700
6,24000000000.000000,0.302659755565,1.502403746959,5738759588.360844,0.091602927639,-0.041367095975,1.000000000000,1.000000000000,-0.041367095975,0.091602927639
7,24000000000.000000,0.300000024899,1.504239081112,5745770048.423052,0.090000014939,-0.039904873277,1.000000000000,1.000000000000,-0.039904873277,0.090000014939
8,24000000000.000000,0.300004198986,1.506014994606,5752553538.290781,0.090002519409,-0.038842162399,1.000000000000,1.000000000000,-0.038842162399,0.090002519409
9,24000000000.000000,0.300030348803,1.507682914409,5758924522.643171,0.090018210203,-0.037846740745,1.000000000000,1.000000000000,-0.037846740745,0.090018210203
10,24000000000.000000,0.300012980347,1.509218418086,5764789714.649742,0.090007788377,-0.036924997896,1.000000000000,1.000000000000,-0.036924997896,0.090007788377
11,24000000000.000000,0.974728574477,1.510718398185,5770519216.585537,0.950095793901,-0.117048905870,1.000000000000,1.000000000000,-0.117048905870,0.950095793901
12,24000000000.000000,0.302066300010,1.512294021562,5776537654.559503,0.091244049602,-0.035322992779,1.000000000000,1.000000000000,-0.035322992779,0.091244049602
13,24000000000.000000,0.302718522890,1.513846110613,5782466198.027372,0.091638504101,-0.034461135468,1.000000000000,1.000000000000,-0.034461135468,0.091638504101
14,24000000000.000000,0.303073960913,1.515463913020,5788645748.027822,0.091853825783,-0.033522515660,1.000000000000,1.000000000000,-0.033522515660,0.091853825783
15,24000000000.000000,0.302540746995,1.517072280973,5794789261.068596,0.091530903592,-0.032491790614,1.000000000000,1.000000000000,-0.032491790614,0.091530903592
16,24000000000.000000,0.302186471943,1.518608295557,5800656404.597120,0.091316663825,-0.031526718547,1.000000000000,1.000000000000,-0.031526718547,0.091316663825
17,24000000000.000000,0.301777476110,1.520123908632,5806445620.101766,0.091069645088,-0.030570502388,1.000000000000,1.000000000000,-0.030570502388,0.091069645088
18,24000000000.000000,0.301310116163,1.521727752989,5812571854.279136,0.090787786102,-0.029557850818,1.000000000000,1.000000000000,-0.029557850818,0.090787786102
19,24000000000.000000,0.300872394930,1.523381533476,5818888830.421748,0.090524198031,-0.028520915429,1.000000000000,1.000000000000,-0.028520915429,0.090524198031
20,24000000000.000000,0.300339685929,1.524940847999,5824844973.163685,0.090203926944,-0.027534788151,1.000000000000,1.000000000000,-0.027534788151,0.090203926944
21,24000000000.000000,0.300031348706,1.526466160327,5830671237.086042,0.090018810206,-0.026592167610,1.000000000000,1.000000000000,-0.026592167610,0.090018810206
22,24000000000.000000,0.300000137835,1.528015850928,5836590619.150578,0.090000082701,-0.025660468476,1.000000000000,1.000000000000,-0.025660468476,0.090000082701
23,24000000000.000000,0.303596344932,1.529524661504,5842353851.024166,0.092170740656,-0.025052739784,1.000000000000,1.000000000000,-0.025052739784,0.092170740656
24,24000000000.000000,0.303500973666,1.531080425772,5848296432.787545,0.092112841016,-0.024101292055,1.000000000000,1.000000000000,-0.024101292055,0.092112841016
25,24000000000.000000,0.303746352316,1.532599561788,5854099104.937953,0.092261846545,-0.023198614020,1.000000000000,1.000000000000,-0.023198614020,0.092261846545
26,24000000000.000000,0.303604085563,1.534104756067,5859848523.573382,0.092175440771,-0.022274422869,1.000000000000,1.000000000000,-0.022274422869,0.092175440771
27,24000000000.000000,0.303478122277,1.535605775502,5865581995.477511,0.092098970701,-0.021354716696,1.000000000000,1.000000000000,-0.021354716696,0.092098970701
28,24000000000.000000,0.303478583304,1.537151230554,5871485198.938854,0.092099250524,-0.020417279741,1.000000000000,1.000000000000,-0.020417279741,0.092099250524
29,24000000000.000000,0.303353388916,1.538667006455,5877275036.394891,0.092023278567,-0.019489722828,1.000000000000,1.000000000000,-0.019489722828,0.092023278567
30,24000000000.000000,0.303148644685,1.540172714538,5883026417.614725,0.091899100774,-0.018564111197,1.000000000000,1.000000000000,-0.018564111197,0.091899100774
31,24000000000.000000,0.303026204193,1.541689813378,5888821308.324467,0.091824880428,-0.017637581915,1.000000000000,1.000000000000,-0.017637581915,0.091824880428
32,24000000000.000000,0.302754237275,1.543162958513,5894448308.246832,0.091660128188,-0.016730109292,1.000000000000,1.000000000000,-0.016730109292,0.091660128188
33,24000000000.000000,0.302492210872,1.544632190187,5900060359.849935,0.091501537638,-0.015827089141,1.000000000000,1.000000000000,-0.015827089141,0.091501537638
34,24000000000.000000,0.302738717789,1.546129262644,5905778755.410016,0.091650731249,-0.014933836188,1.000000000000,1.000000000000,-0.014933836188,0.091650731249
35,24000000000.000000,0.305207305388,1.547608334886,5911428395.216090,0.093151499262,-0.014153020670,1.000000000000,1.000000000000,-0.014153020670,0.093151499262
36,24000000000.000000,0.304688530072,1.549090224400,5917088796.206684,0.092835100357,-0.013226162212,1.000000000000,1.000000000000,-0.013226162212,0.092835100357
37,24000000000.000000,0.304394314117,1.550564131699,5922718707.381388,0.092655898467,-0.012316289997,1.000000000000,1.000000000000,-0.012316289997,0.092655898467
38,24000000000.000000,0.303983990640,1.552036963217,5928344509.376663,0.092406266565,-0.011404423481,1.000000000000,1.000000000000,-0.011404423481,0.092406266565
39,24000000000.000000,0.303747980191,1.553509425897,5933968902.511113,0.092262835470,-0.010501199421,1.000000000000,1.000000000000,-0.010501199421,0.092262835470
40,24000000000.000000,0.303585464519,1.555001003744,5939666310.207756,0.092164134267,-0.009590062186,1.000000000000,1.000000000000,-0.009590062186,0.092164134267
41,24000000000.000000,0.303306046018,1.556469728927,5945276427.157748,0.091994557551,-0.008690390212,1.000000000000,1.000000000000,-0.008690390212,0.091994557551
42,24000000000.000000,0.303124403185,1.557949835914,5950930019.398116,0.091884403806,-0.007787955548,1.000000000000,1.000000000000,-0.007787955548,0.091884403806
43,24000000000.000000,0.302600374648,1.559428726446,5956578965.121668,0.091566986737,-0.006879532082,1.000000000000,1.000000000000,-0.006879532082,0.091566986737
44,24000000000.000000,0.302555135330,1.560906260704,5962222730.259581,0.091539609915,-0.005984483007,1.000000000000,1.000000000000,-0.005984483007,0.091539609915
