tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,3550048828.125000,4.345475146293e-02,4.389432897969e-02,4.344142275636e-02,4.338031750408e-02,0.087422879,-0.002664598,-0.014890880,2.317264130766,-2.923442304772,3.031279366202,3.031279366202,1.042478871642,-0.328463636206,-0.328463636206,0.714015235436,0.714015235436
1,3567993164.062500,4.345475146293e-02,4.373904781722e-02,4.345559136471e-02,4.340121620319e-02,0.056641081,0.000167881,-0.010707414,4.804997241251,-0.299581326978,5.208847808520,5.208847808520,1.178606738950,-0.774756171682,-0.774756171682,0.403850567269,0.403850567269
2,3586120605.468750,4.345475146293e-02,4.352909687316e-02,4.344280802229e-02,4.339978284600e-02,0.014847726,-0.002387625,-0.010994277,2.643880855760,-2.371470910999,2.686111683559,2.686111683559,1.267833540420,-1.225602712621,-1.225602712621,0.042230827799,0.042230827799
3,3604064941.406250,4.345475146293e-02,4.336738990285e-02,4.343953747928e-02,4.341073117965e-02,-0.017479715,-0.003041557,-0.008803390,3.495091993387,-1.457456062949,3.153833996134,3.153833996134,1.330637250844,-1.671895248096,-1.671895248096,-0.341257997253,-0.341257997253
4,3622009277.343750,4.345475146293e-02,4.330398796874e-02,4.344752036214e-02,4.343438070942e-02,-0.030187538,-0.001445498,-0.004072733,3.808979966006,-1.083676756683,3.081320766924,3.081320766924,1.390528584491,-2.118187783572,-2.118187783572,-0.727659199081,-0.727659199081
5,3639953613.281250,4.345475146293e-02,4.336888714008e-02,4.347403184415e-02,4.347661712435e-02,-0.017179844,0.003852976,0.004369487,1.217165662328,-3.586540770163,0.132164217970,0.132164217970,1.479478874689,-2.564480319047,-2.564480319047,-1.085001444359,-1.085001444359
6,3658081054.687500,4.345475146292e-02,4.352032403899e-02,4.348576212688e-02,4.350307492860e-02,0.013097000,0.006196311,0.009653699,0.213627176805,-4.455319087710,-1.187460640518,-1.187460640518,1.614239042665,-3.015326859987,-3.015326859987,-1.401087817322,-1.401087817322
7,3676025390.625000,4.345475146293e-02,4.366139585393e-02,4.342903639851e-02,4.345874800401e-02,0.041206913,-0.005141540,0.000798806,2.107831305114,-2.377775506862,0.443790404855,0.443790404855,1.797578495204,-3.461619395462,-3.461619395462,-1.664040900259,-1.664040900259
8,3693969726.562500,4.345475146293e-02,4.387671874617e-02,4.344409912887e-02,4.348338643766e-02,0.083937434,-0.002129487,0.005721775,5.116050848495,-5.428915409796,3.229543273625,3.229543273625,2.021404356069,-3.907911930938,-3.907911930938,-1.886507574869,-1.886507574869
9,3712097167.968750,4.345475146294e-02,4.403135487089e-02,4.345245229987e-02,4.349803530140e-02,0.114495576,-0.000459577,0.008647421,3.827506873713,-6.466086641234,1.741525501248,1.741525501248,2.272777099412,-4.358758471877,-4.358758471877,-2.085981372465,-2.085981372465
