freq_hz,h1_db,h2_target_db,h2_float_db,h2_fixed_db,h2_float_phase_rad,h2_fixed_phase_rad,htotal_float_db,htotal_fixed_db
3500000000.000000,-0.407128952,0.407128952,0.376008490,0.376090827,-1.178097245096,-1.178097245096,-0.031120462,-0.031038125
3501000000.000000,-0.412766460,0.412766460,0.378350441,0.378445474,-1.194590606528,-1.194590606528,-0.034416019,-0.034320986
3502000000.000000,-0.409315728,0.409315728,0.380389013,0.380496642,-1.211083967959,-1.211083967959,-0.028926715,-0.028819086
3503000000.000000,-0.409359868,0.409359868,0.382131533,0.382251657,-1.227577329390,-1.227577329390,-0.027228335,-0.027108211
3504000000.000000,-0.410931508,0.410931508,0.383585257,0.383717776,-1.244070690822,-1.244070690822,-0.027346251,-0.027213732
3505000000.000000,-0.408881759,0.408881759,0.384757366,0.384902180,-1.260564052253,-1.260564052253,-0.024124393,-0.023979579
3506000000.000000,-0.402047752,0.402047752,0.385654968,0.385811976,-1.277057413684,-1.277057413684,-0.016392784,-0.016235776
3507000000.000000,-0.402462963,0.402462963,0.386285100,0.386454203,-1.293550775116,-1.293550775116,-0.016177863,-0.016008760
3508000000.000000,-0.399758762,0.399758762,0.386654729,0.386835826,-1.310044136547,-1.310044136547,-0.013104033,-0.012922936
3509000000.000000,-0.389699980,0.389699980,0.386770750,0.386963740,-1.326537497978,-1.326537497978,-0.002929230,-0.002736240
3510000000.000000,-0.386979509,0.386979509,0.386639988,0.386844770,-1.343030859410,-1.343030859410,-0.000339521,-0.000134739
3511000000.000000,-0.392633760,0.392633760,0.386269198,0.386485672,-1.359524220841,-1.359524220841,-0.006364562,-0.006148088
3512000000.000000,-0.389179370,0.389179370,0.385665068,0.385893133,-1.376017582272,-1.376017582272,-0.003514302,-0.003286237
3513000000.000000,-0.385087018,0.385087018,0.384834216,0.385073770,-1.392510943704,-1.392510943704,-0.000252802,-0.000013248
3514000000.000000,-0.390020900,0.390020900,0.383783192,0.384034134,-1.409004305135,-1.409004305135,-0.006237708,-0.005986766
3515000000.000000,-0.375634428,0.375634428,0.382518476,0.382780705,-1.425497666566,-1.425497666566,0.006884048,0.007146277
3516000000.000000,-0.370816114,0.370816114,0.381046485,0.381319897,-1.441991027998,-1.441991027998,0.010230371,0.010503783
3517000000.000000,-0.373837024,0.373837024,0.379373564,0.379658057,-1.458484389429,-1.458484389429,0.005536540,0.005821033
3518000000.000000,-0.373475185,0.373475185,0.377505992,0.377801464,-1.474977750860,-1.474977750860,0.004030807,0.004326279
3519000000.000000,-0.367002628,0.367002628,0.375449983,0.375756330,-1.491471112292,-1.491471112292,0.008447355,0.008753702
3520000000.000000,-0.361821828,0.361821828,0.373211680,0.373528800,-1.507964473723,-1.507964473723,0.011389852,0.011706972
3521000000.000000,-0.361364876,0.361364876,0.370797164,0.371124951,-1.524457835154,-1.524457835154,0.009432288,0.009760075
3522000000.000000,-0.360571541,0.360571541,0.368212445,0.368550794,-1.540951196586,-1.540951196586,0.007640904,0.007979253
3523000000.000000,-0.348229667,0.348229667,0.365463467,0.365812275,-1.557444558017,-1.557444558017,0.017233800,0.017582608
3524000000.000000,-0.351834961,0.351834961,0.362556110,0.362915270,-1.573937919448,-1.573937919448,0.010721149,0.011080309
3525000000.000000,-0.342752842,0.342752842,0.359496183,0.359865589,-1.590431280880,-1.590431280880,0.016743341,0.017112747
3526000000.000000,-0.344761286,0.344761286,0.356289431,0.356668976,-1.606924642311,-1.606924642311,0.011528145,0.011907690
3527000000.000000,-0.332711851,0.332711851,0.352941530,0.353331108,-1.623418003743,-1.623418003743,0.020229679,0.020619257
3528000000.000000,-0.325296146,0.325296146,0.349458091,0.349857593,-1.639911365174,-1.639911365174,0.024161945,0.024561447
3529000000.000000,-0.328002446,0.328002446,0.345844657,0.346253974,-1.656404726605,-1.656404726605,0.017842211,0.018251528
3530000000.000000,-0.320945609,0.320945609,0.342106701,0.342525726,-1.672898088037,-1.672898088037,0.021161092,0.021580117
3531000000.000000,-0.318416408,0.318416408,0.338249633,0.338678255,-1.689391449468,-1.689391449468,0.019833225,0.020261847
3532000000.000000,-0.318691952,0.318691952,0.334278792,0.334716901,-1.705884810899,-1.705884810899,0.015586840,0.016024949
3533000000.000000,-0.314232367,0.314232367,0.330199450,0.330646935,-1.722378172331,-1.722378172331,0.015967083,0.016414568
3534000000.000000,-0.303614311,0.303614311,0.326016810,0.326473560,-1.738871533762,-1.738871533762,0.022402499,0.022859249
3535000000.000000,-0.298481454,0.298481454,0.321736008,0.322201910,-1.755364895193,-1.755364895193,0.023254554,0.023720456
3536000000.000000,-0.301357107,0.301357107,0.317362111,0.317837052,-1.771858256625,-1.771858256625,0.016005004,0.016479945
3537000000.000000,-0.299098438,0.299098438,0.312900115,0.313383983,-1.788351618056,-1.788351618056,0.013801677,0.014285545
3538000000.000000,-0.292376935,0.292376935,0.308354951,0.308847630,-1.804844979487,-1.804844979487,0.015978016,0.016470695
3539000000.000000,-0.285924443,0.285924443,0.303731476,0.304232852,-1.821338340919,-1.821338340919,0.017807033,0.018308409
3540000000.000000,-0.280234121,0.280234121,0.299034479,0.299544437,-1.837831702350,-1.837831702350,0.018800358,0.019310316
3541000000.000000,-0.276534792,0.276534792,0.294268681,0.294787104,-1.854325063781,-1.854325063781,0.017733889,0.018252312
3542000000.000000,-0.280989391,0.280989391,0.289438730,0.289965501,-1.870818425213,-1.870818425213,0.008449339,0.008976110
3543000000.000000,-0.271064478,0.271064478,0.284549204,0.285084206,-1.887311786644,-1.887311786644,0.013484726,0.014019728
3544000000.000000,-0.268658365,0.268658365,0.279604611,0.280147724,-1.903805148075,-1.903805148075,0.010946246,0.011489359
3545000000.000000,-0.253347943,0.253347943,0.274609386,0.275160493,-1.920298509507,-1.920298509507,0.021261443,0.021812550
3546000000.000000,-0.251339200,0.251339200,0.269567895,0.270126875,-1.936791870938,-1.936791870938,0.018228695,0.018787675
3547000000.000000,-0.244756619,0.244756619,0.264484429,0.265051162,-1.953285232369,-1.953285232369,0.019727810,0.020294543
3548000000.000000,-0.240397947,0.240397947,0.259363210,0.259937575,-1.969778593801,-1.969778593801,0.018965263,0.019539628
3549000000.000000,-0.245532119,0.245532119,0.254208385,0.254790260,-1.986271955232,-1.986271955232,0.008676266,0.009258141
3550000000.000000,-0.232979038,0.232979038,0.249024030,0.249613293,-2.002765316663,-2.002765316663,0.016044992,0.016634255
3551000000.000000,-0.233455162,0.233455162,0.243814147,0.244410675,-2.019258678095,-2.019258678095,0.010358985,0.010955513
3552000000.000000,-0.226429069,0.226429069,0.238582666,0.239186335,-2.035752039526,-2.035752039526,0.012153597,0.012757266
3553000000.000000,-0.226626632,0.226626632,0.233333441,0.233944127,-2.052245400958,-2.052245400958,0.006706809,0.007317495
3554000000.000000,-0.220463705,0.220463705,0.228070256,0.228687832,-2.068738762389,-2.068738762389,0.007606551,0.008224127
3555000000.000000,-0.221730862,0.221730862,0.222796816,0.223421159,-2.085232123820,-2.085232123820,0.001065954,0.001690297
3556000000.000000,-0.208472565,0.208472565,0.217516755,0.218147738,-2.101725485252,-2.101725485252,0.009044190,0.009675173
3557000000.000000,-0.200855142,0.200855142,0.212233633,0.212871129,-2.118218846683,-2.118218846683,0.011378491,0.012015987
3558000000.000000,-0.203911609,0.203911609,0.206950934,0.207594814,-2.134712208114,-2.134712208114,0.003039325,0.003683205
3559000000.000000,-0.196081293,0.196081293,0.201672065,0.202322203,-2.151205569546,-2.151205569546,0.005590772,0.006240910
3560000000.000000,-0.189347302,0.189347302,0.196400362,0.197056628,-2.167698930977,-2.167698930977,0.007053060,0.007709326
3561000000.000000,-0.181637740,0.181637740,0.191139082,0.191801348,-2.184192292408,-2.184192292408,0.009501342,0.010163608
3562000000.000000,-0.190422509,0.190422509,0.185891409,0.186559545,-2.200685653840,-2.200685653840,-0.004531100,-0.003862964
3563000000.000000,-0.182471477,0.182471477,0.180660450,0.181334326,-2.217179015271,-2.217179015271,-0.001811027,-0.001137151
3564000000.000000,-0.169759042,0.169759042,0.175449237,0.176128722,-2.233672376702,-2.233672376702,0.005690195,0.006369680
3565000000.000000,-0.177402228,0.177402228,0.170260726,0.170945688,-2.250165738134,-2.250165738134,-0.007141502,-0.006456540
3566000000.000000,-0.160458330,0.160458330,0.165097796,0.165788104,-2.266659099565,-2.266659099565,0.004639466,0.005329774
3567000000.000000,-0.163398112,0.163398112,0.159963252,0.160658773,-2.283152460996,-2.283152460996,-0.003434860,-0.002739339
3568000000.000000,-0.160562904,0.160562904,0.154859821,0.155560422,-2.299645822428,-2.299645822428,-0.005703083,-0.005002482
