tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,-2.587510263931584453e-01,-4239,-2.587280273437500000e-01,2.299904940844532675e-05,0
1,4.716273039646934340e-01,7727,4.716186523437500000e-01,-8.651620943433968591e-06,0
2,7.108741523762454606e-02,1165,7.110595703125000000e-02,1.854179362545393950e-05,0
3,1.256756834230184028e+00,20591,1.256774902343750000e+00,1.806811356597215479e-05,0
4,-1.117265250288829170e+00,-18305,-1.117248535156250000e+00,1.671513257917034423e-05,0
5,5.170493181174394826e-01,8471,5.170288085937500000e-01,-2.050952368948255611e-05,0
6,-1.055349525372358821e+00,-17291,-1.055358886718750000e+00,-9.361346391179026227e-06,0
7,1.360334940002657866e+00,22288,1.360351562500000000e+00,1.662249734213361307e-05,0
8,-4.626347156284573714e-01,-7580,-4.626464843750000000e-01,-1.176874654262860531e-05,0
9,-3.166365995305246983e-01,-5188,-3.166503906250000000e-01,-1.379109447530169064e-05,0
10,1.827814838234659567e-01,2995,1.828002929687500000e-01,1.880914528404331598e-05,0
11,-1.653187454350412144e-01,-2709,-1.653442382812500000e-01,-2.549284620878555785e-05,0
12,7.842537505955844424e-01,12849,7.842407226562500000e-01,-1.302793933444235108e-05,0
13,-1.009980804655300268e+00,-16548,-1.010009765625000000e+00,-2.896096969973172008e-05,0
14,2.909775677158334406e-01,4767,2.909545898437500000e-01,-2.297787208344059806e-05,0
15,4.120900166904294948e-01,6752,4.121093750000000000e-01,1.935830957050521661e-05,0
16,-3.663429713760260054e-01,-6002,-3.663330078125000000e-01,9.963563526005358995e-06,0
17,2.010022345098038954e-01,3293,2.009887695312500000e-01,-1.346497855389539033e-05,0
18,-5.115729214122700652e-01,-8382,-5.115966796875000000e-01,-2.375827522993478880e-05,0
19,7.010122062913385355e-01,11485,7.009887695312500000e-01,-2.343676008853545767e-05,0
20,-1.366587225701117181e-01,-2239,-1.366577148437500000e-01,1.007726361718086494e-06,0
21,-6.040777201877789437e-01,-9897,-6.040649414062500000e-01,1.277878152894373898e-05,0
22,6.519311741030724416e-01,10681,6.519165039062500000e-01,-1.467019682244163903e-05,0
23,-2.349378302432850174e-01,-3849,-2.349243164062500000e-01,1.351383703501740641e-05,0
24,1.255196133620392063e-01,2057,1.255493164062500000e-01,2.970304421079372759e-05,0
25,-2.568867846603430927e-01,-4209,-2.568969726562500000e-01,-1.018799590690733226e-05,0
26,-2.592759302646011066e-02,-425,-2.593994140625000000e-02,-1.234837978988934104e-05,0
27,6.337317874458463507e-01,10383,6.337280273437500000e-01,-3.760102096350692591e-06,0
28,-7.536713691721071973e-01,-12348,-7.536621093750000000e-01,9.259797107197265120e-06,0
29,1.937178564777539413e-01,3174,1.937255859375000000e-01,7.729459746058653380e-06,0
30,2.987757409391416097e-01,4895,2.987670898437500000e-01,-8.651095391609686658e-06,0
31,-2.614678624121457018e-01,-4284,-2.614746093750000000e-01,-6.746962854298210743e-06,0
32,1.536685111577961449e-01,2518,1.536865234375000000e-01,1.801227970385510524e-05,0
33,-3.910270758343627473e-01,-6407,-3.910522460937500000e-01,-2.517025938725270251e-05,0
34,5.504623594637034767e-01,9019,5.504760742187500000e-01,1.371475504652330812e-05,0
35,-1.249573468009188698e-01,-2047,-1.249389648437500000e-01,1.838195716886981135e-05,0
36,-5.315513757704668496e-01,-8709,-5.315551757812500000e-01,-3.800010783150398197e-06,0
37,7.069677751578984370e-01,11583,7.069702148437500000e-01,2.439685851562956032e-06,0
38,-3.834053658321110447e-01,-6282,-3.834228515625000000e-01,-1.748573038895528953e-05,0
39,8.039805494083639148e-02,1317,8.038330078125000000e-02,-1.475415958639147984e-05,0
40,8.039805494083639148e-02,1317,8.038330078125000000e-02,-1.475415958639147984e-05,0
41,-3.834053658321110447e-01,-6282,-3.834228515625000000e-01,-1.748573038895528953e-05,0
42,7.069677751578984370e-01,11583,7.069702148437500000e-01,2.439685851562956032e-06,0
43,-5.315513757704668496e-01,-8709,-5.315551757812500000e-01,-3.800010783150398197e-06,0
44,-1.249573468009188698e-01,-2047,-1.249389648437500000e-01,1.838195716886981135e-05,0
45,5.504623594637034767e-01,9019,5.504760742187500000e-01,1.371475504652330812e-05,0
46,-3.910270758343627473e-01,-6407,-3.910522460937500000e-01,-2.517025938725270251e-05,0
47,1.536685111577961449e-01,2518,1.536865234375000000e-01,1.801227970385510524e-05,0
48,-2.614678624121457018e-01,-4284,-2.614746093750000000e-01,-6.746962854298210743e-06,0
49,2.987757409391416097e-01,4895,2.987670898437500000e-01,-8.651095391609686658e-06,0
50,1.937178564777539413e-01,3174,1.937255859375000000e-01,7.729459746058653380e-06,0
51,-7.536713691721071973e-01,-12348,-7.536621093750000000e-01,9.259797107197265120e-06,0
52,6.337317874458463507e-01,10383,6.337280273437500000e-01,-3.760102096350692591e-06,0
53,-2.592759302646011066e-02,-425,-2.593994140625000000e-02,-1.234837978988934104e-05,0
54,-2.568867846603430927e-01,-4209,-2.568969726562500000e-01,-1.018799590690733226e-05,0
55,1.255196133620392063e-01,2057,1.255493164062500000e-01,2.970304421079372759e-05,0
56,-2.349378302432850174e-01,-3849,-2.349243164062500000e-01,1.351383703501740641e-05,0
57,6.519311741030724416e-01,10681,6.519165039062500000e-01,-1.467019682244163903e-05,0
58,-6.040777201877789437e-01,-9897,-6.040649414062500000e-01,1.277878152894373898e-05,0
59,-1.366587225701117181e-01,-2239,-1.366577148437500000e-01,1.007726361718086494e-06,0
60,7.010122062913385355e-01,11485,7.009887695312500000e-01,-2.343676008853545767e-05,0
61,-5.115729214122700652e-01,-8382,-5.115966796875000000e-01,-2.375827522993478880e-05,0
62,2.010022345098038954e-01,3293,2.009887695312500000e-01,-1.346497855389539033e-05,0
63,-3.663429713760260054e-01,-6002,-3.663330078125000000e-01,9.963563526005358995e-06,0
64,4.120900166904294948e-01,6752,4.121093750000000000e-01,1.935830957050521661e-05,0
65,2.909775677158334406e-01,4767,2.909545898437500000e-01,-2.297787208344059806e-05,0
66,-1.009980804655300268e+00,-16548,-1.010009765625000000e+00,-2.896096969973172008e-05,0
67,7.842537505955844424e-01,12849,7.842407226562500000e-01,-1.302793933444235108e-05,0
68,-1.653187454350412144e-01,-2709,-1.653442382812500000e-01,-2.549284620878555785e-05,0
69,1.827814838234659567e-01,2995,1.828002929687500000e-01,1.880914528404331598e-05,0
70,-3.166365995305246983e-01,-5188,-3.166503906250000000e-01,-1.379109447530169064e-05,0
71,-4.626347156284573714e-01,-7580,-4.626464843750000000e-01,-1.176874654262860531e-05,0
72,1.360334940002657866e+00,22288,1.360351562500000000e+00,1.662249734213361307e-05,0
73,-1.055349525372358821e+00,-17291,-1.055358886718750000e+00,-9.361346391179026227e-06,0
74,5.170493181174394826e-01,8471,5.170288085937500000e-01,-2.050952368948255611e-05,0
75,-1.117265250288829170e+00,-18305,-1.117248535156250000e+00,1.671513257917034423e-05,0
76,1.256756834230184028e+00,20591,1.256774902343750000e+00,1.806811356597215479e-05,0
77,7.108741523762454606e-02,1165,7.110595703125000000e-02,1.854179362545393950e-05,0
