subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
0,15156,5550292968.750000,1.344342184910e+02,-2.240570308183e+02,1.672043957705e+02,-2.081251220421e+02,1.260794498882e+02,-2.200517430756e+02,1.000000000000e+00,1.207699137003
1,15157,5550659179.687500,2.240570308183e+02,-2.240570308183e+02,2.587307891209e+02,-1.950296752236e+02,2.166937363152e+02,-2.230152665567e+02,1.000000000000e+00,1.183777975332
2,15158,5551025390.625000,3.136798431456e+02,4.481140616365e+01,3.112110199541e+02,9.093192466546e+01,3.162772440130e+02,4.486556763223e+01,1.000000000000e+00,1.159877367932
3,15159,5551391601.562500,2.240570308183e+02,2.240570308183e+02,1.941741481512e+02,2.593593557711e+02,2.317285914796e+02,2.279937996633e+02,1.000000000000e+00,1.135997407231
4,15160,5551757812.500000,1.344342184910e+02,2.240570308183e+02,1.033017657707e+02,2.461850111989e+02,1.413779166977e+02,2.308537589754e+02,1.000000000000e+00,1.112138181112
5,15161,5552124023.437500,4.481140616365e+01,-1.344342184910e+02,6.506032635371e+01,-1.292814542658e+02,3.951715350956e+01,-1.260502517150e+02,1.000000000000e+00,1.088299772939
6,15162,5552490234.375000,1.344342184910e+02,4.481140616365e+01,1.290847927361e+02,6.549759208494e+01,1.349147037468e+02,5.149288594877e+01,1.000000000000e+00,1.064482261594
7,15163,5552856445.312500,-2.240570308183e+02,-3.136798431456e+02,-1.780558509820e+02,-3.512741234543e+02,-2.346576570872e+02,-2.988333493214e+02,1.000000000000e+00,1.040685721506
8,15164,5553222656.250000,2.240570308183e+02,-4.481140616365e+01,2.332310634241e+02,-1.020269884293e+01,2.222750681686e+02,-3.980627352914e+01,1.000000000000e+00,1.016910222690
9,15165,5553588867.187500,-2.240570308183e+02,2.240570308183e+02,-2.616671061282e+02,1.906356481684e+02,-2.221357402096e+02,2.404018620183e+02,1.000000000000e+00,0.993155830777
10,15166,5553955078.125000,-4.481140616365e+01,2.240570308183e+02,-8.120531085539e+01,2.188812388372e+02,-4.269900439491e+01,2.364923746212e+02,1.000000000000e+00,0.969422607056
11,15167,5554321289.062500,2.240570308183e+02,1.344342184910e+02,2.045243162350e+02,1.717247842547e+02,2.255131498139e+02,1.412330722313e+02,1.000000000000e+00,0.945710608507
12,15168,5554687500.000000,-2.240570308183e+02,-4.481140616365e+01,-2.190284715660e+02,-8.127140603482e+01,-2.286044721573e+02,-2.996674452415e+01,1.000000000000e+00,0.922019887840
13,15169,5555053710.937500,3.136798431456e+02,1.344342184910e+02,2.951779704479e+02,1.862491668565e+02,3.154350054772e+02,1.394907034366e+02,1.000000000000e+00,0.898350493534
14,15170,5555419921.875000,1.344342184910e+02,2.240570308183e+02,9.939995797435e+01,2.479774000839e+02,1.365319064688e+02,2.333189002961e+02,1.000000000000e+00,0.874702469878
15,15171,5555786132.812500,3.136798431456e+02,-1.344342184910e+02,3.384646981908e+02,-8.444730874989e+01,3.097821668080e+02,-1.300668084800e+02,1.000000000000e+00,0.851075857009
16,15172,5556152343.750000,-2.240570308183e+02,1.344342184910e+02,-2.482050395776e+02,9.857237653122e+01,-2.262826503883e+02,1.493460123538e+02,1.000000000000e+00,0.827470690954
17,15173,5556518554.687500,3.136798431456e+02,4.481140616365e+01,3.087257710199e+02,9.800908405687e+01,3.124096716578e+02,5.167669132654e+01,1.000000000000e+00,0.803887003670
18,15174,5556884765.625000,-2.240570308183e+02,3.136798431456e+02,-2.796470451925e+02,2.777090024618e+02,-2.258469529239e+02,3.282296978024e+02,1.000000000000e+00,0.780324823089
19,15175,5557250976.562500,-2.240570308183e+02,-4.481140616365e+01,-2.179559472505e+02,-8.405156810770e+01,-2.294633558124e+02,-3.262857504776e+01,1.000000000000e+00,0.756784173158
20,15176,5557617187.500000,2.240570308183e+02,-4.481140616365e+01,2.334980011611e+02,-5.881848130710e+00,2.208724905276e+02,-3.574953140567e+01,1.000000000000e+00,0.733265073886
21,15177,5557983398.437500,3.136798431456e+02,-1.344342184910e+02,3.395382813635e+02,-7.990796255417e+01,3.103768736866e+02,-1.258882812076e+02,1.000000000000e+00,0.709767541381
22,15178,5558349609.375000,-3.136798431456e+02,-3.136798431456e+02,-2.602510034461e+02,-3.715125860151e+02,-3.211425490801e+02,-3.034904130748e+02,1.000000000000e+00,0.686291587901
23,15179,5558715820.312500,3.136798431456e+02,3.136798431456e+02,2.601699274361e+02,3.718113445452e+02,3.119129421144e+02,3.251311192313e+02,1.000000000000e+00,0.662837221897
24,15180,5559082031.250000,4.481140616365e+01,1.344342184910e+02,2.108052040745e+01,1.434483594101e+02,4.049179342069e+01,1.457884396732e+02,1.000000000000e+00,0.639404448053
25,15181,5559448242.187500,-3.136798431456e+02,-4.481140616365e+01,-3.075192316816e+02,-1.020253988453e+02,-3.205060270278e+02,-3.458817034656e+01,1.000000000000e+00,0.615993267340
26,15182,5559814453.125000,4.481140616365e+01,-2.240570308183e+02,8.627090898873e+01,-2.169724686858e+02,4.041906735132e+01,-2.144278121902e+02,1.000000000000e+00,0.592603677053
