stage,evm_percent,magnitude_only_evm_percent,fitted_delay_samples,gain_real,gain_imag,gain_abs_db,gain_phase_rad
after_h1,22.338296385,0.950765422,51.136711715,5.861632932133e-01,-7.804259258114e-01,-0.210657019,-0.926603566160
after_l1_08_fixed_fir,22.311323954,0.163166385,90.636711715,5.865258206865e-01,-7.800551350430e-01,-0.211356759,-0.926078390034
after_l1_08_fixed_fir_plus_l1_09_iir_allpass,10.472254828,4.495373571,336.023062633,4.291969273274e-01,-8.948640367004e-01,-0.065674526,-1.123583206808
