stage,evm_lin_percent,magnitude_only_evm_percent,phase_only_evm_percent,fitted_delay_s,fitted_delay_samples,gain_real,gain_imag,gain_abs_db,gain_phase_rad
after_h1,22.440832844,2.665465560,22.004620561,2.129930072094411e-09,51.118321730,5.643611645003e-01,-7.960534707288e-01,-0.212697010,-0.954089661826
after_l1_08_fixed_fir,22.412528413,2.486868090,22.004516530,3.775763405427745e-09,90.618321730,5.647514620884e-01,-7.957094692706e-01,-0.213184505,-0.953559453146
after_l1_08_fixed_fir_plus_l1_09_allpass,8.271954175,0.382098362,8.249098754,1.400149096292702e-08,336.035783110,4.476736768929e-01,-8.903462595546e-01,-0.029946936,-1.104904434137
