tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,-7.199420698837388777e-02,-590,-7.202148437500000000e-02,-2.727738662611223219e-05,0
1,-1.081404952811045178e-01,-886,-1.081542968750000000e-01,-1.380159389548218929e-05,0
2,-9.845662700861194938e-02,-807,-9.851074218750000000e-02,-5.411517888805061904e-05,0
3,1.549081029546377566e-02,127,1.550292968750000000e-02,1.211939203622433570e-05,0
4,9.542147615008553241e-02,782,9.545898437500000000e-02,3.750822491446759166e-05,0
5,-4.127446482902447783e-02,-338,-4.125976562500000000e-02,1.469920402447782992e-05,0
6,2.055911386431109444e-03,17,2.075195312500000000e-03,1.928392606889055630e-05,0
7,-7.001637715225776659e-02,-574,-7.006835937500000000e-02,-5.198222274223340822e-05,0
8,1.052789365487617618e-01,862,1.052246093750000000e-01,-5.432717376176177115e-05,0
9,-3.427778981197048686e-02,-281,-3.430175781250000000e-02,-2.396800052951314486e-05,0
10,-3.782773315650546364e-02,-310,-3.784179687500000000e-02,-1.406371849453635914e-05,0
11,3.456165309555216114e-02,283,3.454589843750000000e-02,-1.575465805216114124e-05,0
12,-1.769009071148011647e-02,-145,-1.770019531250000000e-02,-1.010460101988353010e-05,0
13,4.616129205308548700e-02,378,4.614257812500000000e-02,-1.871392808548699715e-05,0
14,-6.997501878597714442e-02,-573,-6.994628906250000000e-02,2.872972347714441987e-05,0
15,2.728337768755733847e-02,224,2.734375000000000000e-02,6.037231244266152985e-05,0
16,4.542449281557717905e-02,372,4.541015625000000000e-02,-1.433656557717905011e-05,0
17,-6.976139835854480720e-02,-571,-6.970214843750000000e-02,5.924992104480719668e-05,0
18,3.957000331862580572e-02,324,3.955078125000000000e-02,-1.922206862580572162e-05,0
19,-1.207371424120419479e-02,-99,-1.208496093750000000e-02,-1.124669629580521413e-05,0
20,9.997946278571936962e-03,82,1.000976562500000000e-02,1.181934642806303781e-05,0
21,2.831539597319161685e-03,23,2.807617187500000000e-03,-2.392240981916168505e-05,0
22,-4.536276108801555462e-02,-372,-4.541015625000000000e-02,-4.739516198444537753e-05,0
23,7.387643984501846006e-02,605,7.385253906250000000e-02,-2.390078251846006197e-05,0
24,-4.151255721562337186e-02,-340,-4.150390625000000000e-02,8.650965623371864588e-06,0
25,-2.798453530192825459e-02,-229,-2.795410156250000000e-02,3.043373942825458589e-05,0
26,6.480026250312294345e-02,531,6.481933593750000000e-02,1.907343437705655287e-05,0
27,-4.325128699736189436e-02,-354,-4.321289062500000000e-02,3.839637236189435976e-05,0
28,8.875951719533250669e-03,73,8.911132812500000000e-03,3.518109296674933051e-05,0
29,-4.552200145254797076e-03,-37,-4.516601562500000000e-03,3.559858275479707568e-05,0
30,5.962386140001535613e-03,49,5.981445312500000000e-03,1.905917249846438705e-05,0
31,3.281105934476441499e-02,269,3.283691406250000000e-02,2.585471773558500885e-05,0
32,-8.665861225238198629e-02,-710,-8.666992187500000000e-02,-1.130962261801371493e-05,0
33,6.865344911583448617e-02,562,6.860351562500000000e-02,-4.993349083448617165e-05,0
34,4.512304153870874690e-02,370,4.516601562500000000e-02,4.297408629125309965e-05,0
35,-1.452236638307567440e-01,-1190,-1.452636718750000000e-01,-4.000804424325599129e-05,0
36,1.008795225218033498e-01,826,1.008300781250000000e-01,-4.944439680334977716e-05,0
37,6.448866455873607240e-02,528,6.445312500000000000e-02,-3.553955873607239635e-05,0
38,-1.718382597957648084e-01,-1408,-1.718750000000000000e-01,-3.674020423519164247e-05,0
39,9.162181749707146161e-02,751,9.167480468750000000e-02,5.298719042853838879e-05,0
40,9.162181749707146161e-02,751,9.167480468750000000e-02,5.298719042853838879e-05,0
41,-1.718382597957648084e-01,-1408,-1.718750000000000000e-01,-3.674020423519164247e-05,0
42,6.448866455873607240e-02,528,6.445312500000000000e-02,-3.553955873607239635e-05,0
43,1.008795225218033498e-01,826,1.008300781250000000e-01,-4.944439680334977716e-05,0
44,-1.452236638307567440e-01,-1190,-1.452636718750000000e-01,-4.000804424325599129e-05,0
45,4.512304153870874690e-02,370,4.516601562500000000e-02,4.297408629125309965e-05,0
46,6.865344911583448617e-02,562,6.860351562500000000e-02,-4.993349083448617165e-05,0
47,-8.665861225238198629e-02,-710,-8.666992187500000000e-02,-1.130962261801371493e-05,0
48,3.281105934476441499e-02,269,3.283691406250000000e-02,2.585471773558500885e-05,0
49,5.962386140001535613e-03,49,5.981445312500000000e-03,1.905917249846438705e-05,0
50,-4.552200145254797076e-03,-37,-4.516601562500000000e-03,3.559858275479707568e-05,0
51,8.875951719533250669e-03,73,8.911132812500000000e-03,3.518109296674933051e-05,0
52,-4.325128699736189436e-02,-354,-4.321289062500000000e-02,3.839637236189435976e-05,0
53,6.480026250312294345e-02,531,6.481933593750000000e-02,1.907343437705655287e-05,0
