group_type,group_value,combo_count,fixed_dense_pass_count,behavior_fixed_pass_count,saturated_combo_count,best_fixed_dense_ripple_db,best_behavior_fixed_ripple_db,best_qam_fixed_magnitude_only_evm_percent,mean_fixed_dense_ripple_db,mean_behavior_fixed_ripple_db,mean_qam_fixed_magnitude_only_evm_percent
tap_num,64,9,0,0,0,0.190804575,0.178577321,0.370280450,0.196642527,0.183817825,0.384237120
tap_num,80,9,0,0,0,0.155661916,0.148057623,0.298455556,0.157853710,0.150577159,0.304819513
tap_num,96,9,0,0,0,0.141576630,0.137203314,0.263561586,0.145435301,0.141167136,0.268052611
regularization,0.0001,9,0,0,0,0.143632214,0.139786255,0.263561586,0.164205246,0.156494842,0.312392547
regularization,0.0003,9,0,0,0,0.141576630,0.137203314,0.265875820,0.165691279,0.157658742,0.320254336
regularization,0.001,9,0,0,0,0.148087928,0.143491247,0.269352029,0.170035013,0.161408535,0.324462361
fixed_format,Q2.14,9,0,0,0,0.144506725,0.140658464,0.263561586,0.166738255,0.158734069,0.316643818
fixed_format,Q3.13,9,0,0,0,0.143176902,0.139188078,0.265227122,0.166888197,0.158723000,0.317671995
fixed_format,Q4.12,9,0,0,0,0.141576630,0.137203314,0.264973221,0.166305086,0.158105051,0.322793430
