freq_hz,h_db,phase_rad
3500000000.000000,0.103964771,38.127820267048
3501000000.000000,0.100674489,38.144945567707
3502000000.000000,0.111903841,38.158671105619
3503000000.000000,0.109530580,38.172113294958
3504000000.000000,0.108729700,38.185356471956
3505000000.000000,0.108159292,38.201837770938
3506000000.000000,0.110152797,38.214080622487
3507000000.000000,0.115975720,38.228994589038
3508000000.000000,0.108172066,38.242787332798
3509000000.000000,0.114010028,38.255513788837
3510000000.000000,0.112655188,38.268742519378
3511000000.000000,0.116979841,38.284314648298
3512000000.000000,0.112960163,38.296478899320
3513000000.000000,0.114301419,38.312135238571
3514000000.000000,0.116667960,38.324807654522
3515000000.000000,0.110457549,38.337566053759
3516000000.000000,0.116752322,38.350996227202
3517000000.000000,0.116273340,38.364364749581
3518000000.000000,0.117651833,38.378433910497
3519000000.000000,0.121641687,38.392810982281
3520000000.000000,0.116272327,38.404155388656
3521000000.000000,0.112165773,38.415566883905
3522000000.000000,0.117957445,38.430518308409
3523000000.000000,0.114149390,38.444131619055
3524000000.000000,0.115226732,38.457491260659
3525000000.000000,0.121006466,38.468151985429
3526000000.000000,0.118543830,38.483171005941
3527000000.000000,0.114411386,38.493360635629
3528000000.000000,0.111955574,38.506791940385
3529000000.000000,0.111236500,38.517597298123
3530000000.000000,0.117139683,38.532561147601
3531000000.000000,0.111922927,38.542110017733
3532000000.000000,0.112325738,38.555116520444
3533000000.000000,0.114339565,38.566348693833
3534000000.000000,0.107365930,38.576859729556
3535000000.000000,0.102090804,38.588250754307
3536000000.000000,0.115848254,38.598389304024
3537000000.000000,0.111118279,38.612628050313
3538000000.000000,0.103468162,38.622406722531
3539000000.000000,0.104207135,38.632975876256
3540000000.000000,0.100381591,38.643254097157
3541000000.000000,0.102527407,38.654734980631
3542000000.000000,0.104535104,38.663688056219
3543000000.000000,0.104449819,38.674949537551
3544000000.000000,0.099977515,38.683274412703
3545000000.000000,0.098358846,38.693483285900
3546000000.000000,0.093023879,38.705670399345
3547000000.000000,0.098291526,38.713613175786
3548000000.000000,0.091283784,38.722856678994
3549000000.000000,0.089912895,38.732926801106
3550000000.000000,0.087533479,38.741154236339
3551000000.000000,0.085268103,38.750093313571
3552000000.000000,0.084938455,38.759180156040
3553000000.000000,0.086851375,38.763062380889
3554000000.000000,0.083272775,38.773720360787
3555000000.000000,0.078303119,38.786122535726
3556000000.000000,0.074621982,38.791166697798
3557000000.000000,0.071056561,38.800374913823
3558000000.000000,0.085289787,38.807050490998
3559000000.000000,0.061158263,38.813973885318
3560000000.000000,0.072047466,38.820971120202
3561000000.000000,0.068413808,38.830041335781
3562000000.000000,0.062907830,38.836860298898
3563000000.000000,0.064077422,38.844641306014
3564000000.000000,0.058400792,38.850165487159
3565000000.000000,0.052879325,38.859716220121
3566000000.000000,0.057394455,38.863860116811
3567000000.000000,0.055996082,38.869174157549
3568000000.000000,0.056645520,38.877777393209
3569000000.000000,0.045919595,38.882587222836
3570000000.000000,0.050554469,38.889612870423
3571000000.000000,0.050420062,38.895734245607
3572000000.000000,0.041177475,38.899512659591
3573000000.000000,0.045400008,38.906373644021
3574000000.000000,0.039727024,38.910679833472
3575000000.000000,0.034504129,38.916376258816
3576000000.000000,0.039561414,38.921448162685
3577000000.000000,0.039402694,38.926986315703
3578000000.000000,0.030805528,38.932370544508
3579000000.000000,0.027494101,38.936950369798
3580000000.000000,0.029588926,38.938414420724
3581000000.000000,0.028614501,38.945958059139
3582000000.000000,0.022920354,38.950969677456
3583000000.000000,0.028606185,38.952545629794
3584000000.000000,0.018006047,38.957589054978
3585000000.000000,0.020178759,38.962798336273
3586000000.000000,0.014955483,38.966300837304
3587000000.000000,0.014061978,38.971645090767
3588000000.000000,0.013032103,38.971718094830
3589000000.000000,0.011025253,38.978437634670
3590000000.000000,0.012355188,38.982827512795
3591000000.000000,0.009899270,38.987386135508
3592000000.000000,0.005529120,38.989884900903
3593000000.000000,0.003297971,38.991859769544
3594000000.000000,0.002985694,38.997315134065
3595000000.000000,-0.000895656,38.998142333495
3596000000.000000,0.000558918,39.003823553665
3597000000.000000,-0.002970468,39.005280529654
3598000000.000000,-0.009839777,39.009237197319
3599000000.000000,-0.002983830,39.011556401212
3600000000.000000,-0.009568068,39.015153637184
3601000000.000000,-0.006365081,39.018724471803
3602000000.000000,-0.013680916,39.023208584379
3603000000.000000,-0.012163989,39.027030694784
3604000000.000000,-0.017453470,39.029741778563
3605000000.000000,-0.017857606,39.029854424081
3606000000.000000,-0.014936812,39.035300851215
3607000000.000000,-0.020856763,39.038527776910
3608000000.000000,-0.019253840,39.041616261362
3609000000.000000,-0.025228719,39.044363876383
3610000000.000000,-0.019495783,39.047875777492
3611000000.000000,-0.024826824,39.052302258929
3612000000.000000,-0.019657589,39.055511224529
