freq_hz,h1_db,h2_target_db,h2_float_db,h2_fixed_db,h2_float_phase_rad,h2_fixed_phase_rad,htotal_float_db,htotal_fixed_db
3500000000.000000,0.103964771,-0.103964771,-0.142307330,-0.143260514,-1.178097245096,-1.178097245096,-0.038342559,-0.039295743
3501000000.000000,0.100674489,-0.100674489,-0.142250019,-0.143190572,-1.194590606528,-1.194590606528,-0.041575530,-0.042516083
3502000000.000000,0.111903841,-0.111903841,-0.142055873,-0.142983774,-1.211083967959,-1.211083967959,-0.030152032,-0.031079933
3503000000.000000,0.109530580,-0.109530580,-0.141730410,-0.142645635,-1.227577329390,-1.227577329390,-0.032199830,-0.033115055
3504000000.000000,0.108729700,-0.108729700,-0.141279053,-0.142181575,-1.244070690822,-1.244070690822,-0.032549353,-0.033451875
3505000000.000000,0.108159292,-0.108159292,-0.140707128,-0.141596919,-1.260564052253,-1.260564052253,-0.032547836,-0.033437627
3506000000.000000,0.110152797,-0.110152797,-0.140019865,-0.140896893,-1.277057413684,-1.277057413684,-0.029867068,-0.030744096
3507000000.000000,0.115975720,-0.115975720,-0.139222397,-0.140086628,-1.293550775116,-1.293550775116,-0.023246677,-0.024110908
3508000000.000000,0.108172066,-0.108172066,-0.138319759,-0.139171158,-1.310044136547,-1.310044136547,-0.030147693,-0.030999092
3509000000.000000,0.114010028,-0.114010028,-0.137316891,-0.138155417,-1.326537497978,-1.326537497978,-0.023306863,-0.024145389
3510000000.000000,0.112655188,-0.112655188,-0.136218633,-0.137044246,-1.343030859410,-1.343030859410,-0.023563445,-0.024389058
3511000000.000000,0.116979841,-0.116979841,-0.135029730,-0.135842385,-1.359524220841,-1.359524220841,-0.018049889,-0.018862544
3512000000.000000,0.112960163,-0.112960163,-0.133754830,-0.134554479,-1.376017582272,-1.376017582272,-0.020794667,-0.021594316
3513000000.000000,0.114301419,-0.114301419,-0.132398483,-0.133185077,-1.392510943704,-1.392510943704,-0.018097064,-0.018883658
3514000000.000000,0.116667960,-0.116667960,-0.130965143,-0.131738628,-1.409004305135,-1.409004305135,-0.014297183,-0.015070668
