subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,2.525904782853e+02,-1.082530621223e+02,2.789510226435e+02,3.682206106944e+01,2.774417290249e+02,3.656381053570e+01,2.773512094550e+02,3.655872091211e+01
1,19389,3550231933.593750,3.608435404076e+01,-1.082530621223e+02,8.834123317207e+01,-7.644895804671e+01,8.784861728008e+01,-7.605478750454e+01,8.782211092488e+01,-7.602811530994e+01
2,19390,3550415039.062500,-2.525904782853e+02,1.804217702038e+02,-3.166419211609e+02,2.698168476095e+01,-3.149407963477e+02,2.690306050028e+01,-3.148399297910e+02,2.688675672183e+01
3,19391,3550598144.531250,-1.804217702038e+02,1.082530621223e+02,-2.153949080471e+02,1.211106262118e+00,-2.142502357483e+02,1.249470249489e+00,-2.141812827173e+02,1.243876128002e+00
4,19392,3550781250.000000,2.525904782853e+02,3.608435404076e+01,2.037139674276e+02,1.634752320543e+02,2.026740538577e+02,1.625710715502e+02,2.026049326200e+02,1.625236985912e+02
5,19393,3550964355.468750,-3.608435404076e+01,-2.525904782853e+02,9.978389387619e+01,-2.413714773217e+02,9.921178471943e+01,-2.401297780664e+02,9.918573276000e+01,-2.400502343347e+02
6,19394,3551147460.937500,-1.804217702038e+02,-1.804217702038e+02,-6.510211278088e+01,-2.529361548528e+02,-6.481690496070e+01,-2.516101029489e+02,-6.479000980913e+01,-2.515309387248e+02
7,19395,3551330566.406250,1.804217702038e+02,2.525904782853e+02,2.766773052724e+01,3.165300446331e+02,2.759114245094e+01,3.148948063415e+02,2.757466866807e+01,3.147945498327e+02
8,19396,3551513671.875000,2.525904782853e+02,3.608435404076e+01,2.039773002828e+02,1.631145252832e+02,2.029695367493e+02,1.622390795400e+02,2.029006276938e+02,1.621920596570e+02
9,19397,3551696777.343750,3.608435404076e+01,2.525904782853e+02,-9.937442485393e+01,2.415302528012e+02,-9.882074818638e+01,2.403273367573e+02,-9.879497257506e+01,2.402480939411e+02
10,19398,3551879882.812500,-3.608435404076e+01,1.804217702038e+02,-1.254821677116e+02,1.404423193134e+02,-1.248223812400e+02,1.397626797726e+02,-1.247859005940e+02,1.397150157135e+02
11,19399,3552062988.281250,-1.082530621223e+02,3.608435404076e+01,-1.142519051207e+02,-2.426921061050e+01,-1.136874724472e+02,-2.412447169737e+01,-1.136506190613e+02,-2.411953040576e+01
12,19400,3552246093.750000,-1.082530621223e+02,1.804217702038e+02,-1.889416778376e+02,1.033888678033e+02,-1.879860713866e+02,1.029170424769e+02,-1.879286636677e+02,1.028796926224e+02
13,19401,3552429199.218750,-3.608435404076e+01,3.608435404076e+01,-5.052242619951e+01,1.328243610467e+01,-5.027193475989e+01,1.322782023101e+01,-5.025625493259e+01,1.322239190753e+01
14,19402,3552612304.687500,1.082530621223e+02,1.082530621223e+02,4.005683015315e+01,1.515185770581e+02,3.989356449164e+01,1.507734184648e+02,3.987722858710e+01,1.507264539204e+02
15,19403,3552795410.156250,1.804217702038e+02,-1.082530621223e+02,2.153815456351e+02,-3.198529184125e+00,2.143421726526e+02,-3.227921891287e+00,2.142741911971e+02,-3.221702861423e+00
16,19404,3552978515.625000,-3.608435404076e+01,-3.608435404076e+01,-1.349189917776e+01,-5.047343505084e+01,-1.343787796124e+01,-5.022924016092e+01,-1.343239891164e+01,-5.021363544404e+01
17,19405,3553161621.093750,3.608435404076e+01,1.082530621223e+02,-2.345650221134e+01,1.144381903837e+02,-2.332144717696e+01,1.139003604797e+02,-2.331681958506e+01,1.138637143212e+02
18,19406,3553344726.562500,2.525904782853e+02,-1.082530621223e+02,2.793262698476e+02,3.336877724426e+01,2.780196983694e+02,3.315373133255e+01,2.779309294265e+02,3.314997863417e+01
19,19407,3553527832.031250,1.082530621223e+02,1.804217702038e+02,3.609575925278e+00,2.153379126726e+02,3.637562091466e+00,2.143331263131e+02,3.631218675763e+00,2.142654802597e+02
20,19408,3553710937.500000,-3.608435404076e+01,1.804217702038e+02,-1.243058019529e+02,1.414652248515e+02,-1.237017086986e+02,1.408371202600e+02,-1.236660757422e+02,1.407896681153e+02
21,19409,3553894042.968750,1.082530621223e+02,2.525904782853e+02,-3.325123703272e+01,2.792761744552e+02,-3.304071018057e+01,2.780030989236e+02,-3.303703032521e+01,2.779146533063e+02
22,19410,3554077148.437500,-3.608435404076e+01,3.608435404076e+01,-5.043986931087e+01,1.352610090810e+01,-5.020786692021e+01,1.347514027372e+01,-5.019238367738e+01,1.346968046167e+01
23,19411,3554260253.906250,-1.082530621223e+02,1.804217702038e+02,-1.882333193390e+02,1.044979200765e+02,-1.873636922443e+02,1.040664025193e+02,-1.873072870003e+02,1.040291326564e+02
24,19412,3554443359.375000,-1.082530621223e+02,-1.082530621223e+02,-4.051288802736e+01,-1.513031606810e+02,-4.036348854606e+01,-1.506191403981e+02,-4.034715944588e+01,-1.505728052415e+02
25,19413,3554626464.843750,-2.525904782853e+02,1.804217702038e+02,-3.160832490850e+02,3.052873273452e+01,-3.146779171773e+02,3.045941227860e+01,-3.145799271470e+02,3.044223033540e+01
26,19414,3554809570.312500,3.608435404076e+01,-1.804217702038e+02,1.243216913331e+02,-1.413052818695e+02,1.237468819337e+02,-1.407112640140e+02,1.237115143070e+02,-1.406641718697e+02
27,19415,3554992675.781250,3.608435404076e+01,1.082530621223e+02,-2.348294592465e+01,1.143238917767e+02,-2.335704052032e+01,1.138316958543e+02,-2.335248874001e+01,1.137955030622e+02
28,19416,3555175781.250000,-1.082530621223e+02,1.082530621223e+02,-1.512217763946e+02,4.057879216634e+01,-1.505616756459e+02,4.043541148502e+01,-1.505155908668e+02,4.041912310494e+01
29,19417,3555358886.718750,-3.608435404076e+01,2.525904782853e+02,-1.607996420598e+02,2.054974384896e+02,-1.600701489454e+02,2.046533236345e+02,-1.600251329135e+02,2.045855500784e+02
30,19418,3555541992.187500,-3.608435404076e+01,-3.608435404076e+01,-1.364097484911e+01,-5.036794663380e+01,-1.359373288436e+01,-5.015194750330e+01,-1.358827871797e+01,-5.013663835868e+01
31,19419,3555725097.656250,2.525904782853e+02,-3.608435404076e+01,2.424876383517e+02,9.625142129434e+01,2.414907808388e+02,9.579728990466e+01,2.414132501627e+02,9.577330704474e+01
32,19420,3555908203.125000,1.082530621223e+02,1.082530621223e+02,4.126672822489e+01,1.509851206762e+02,4.112669128443e+01,1.503491379785e+02,4.111025543506e+01,1.503033684423e+02
33,19421,3556091308.593750,-2.525904782853e+02,3.608435404076e+01,-2.426363681797e+02,-9.576650470806e+01,-2.416573442886e+02,-9.532169622184e+01,-2.415799604782e+02,-9.529793936796e+01
34,19422,3556274414.062500,1.082530621223e+02,3.608435404076e+01,7.792983395000e+01,8.679643887995e+01,7.763002681460e+01,8.642616120172e+01,7.760384587928e+01,8.640122659478e+01
35,19423,3556457519.531250,-2.525904782853e+02,-3.608435404076e+01,-2.062120863704e+02,-1.596864234462e+02,-2.054120074275e+02,-1.589981631759e+02,-2.053445003854e+02,-1.589538697640e+02
36,19424,3556640625.000000,3.608435404076e+01,1.804217702038e+02,-5.902058850362e+01,1.785589704554e+02,-5.874712234784e+01,1.778564287417e+02,-5.873325037986e+01,1.777999594870e+02
37,19425,3556823730.468750,2.525904782853e+02,-3.608435404076e+01,2.427150591932e+02,9.535265766697e+01,2.417723904277e+02,9.492397133576e+01,2.416953573250e+02,9.490048878069e+01
38,19426,3557006835.937500,1.082530621223e+02,-1.082530621223e+02,1.508037212084e+02,-4.166804552808e+01,1.502026679138e+02,-4.153577696688e+01,1.501573050015e+02,-4.151931451584e+01
39,19427,3557189941.406250,-1.804217702038e+02,-3.608435404076e+01,-1.423524019341e+02,-1.229395213948e+02,-1.418241579622e+02,-1.224315516078e+02,-1.417774638455e+02,-1.223972402920e+02
40,19428,3557373046.875000,3.608435404076e+01,-3.608435404076e+01,5.027410513178e+01,-1.398423068355e+01,5.007746597700e+01,-1.394081537403e+01,5.006238359380e+01,-1.393530909897e+01
41,19429,3557556152.343750,1.082530621223e+02,-1.804217702038e+02,1.870768548116e+02,-1.064039183372e+02,1.863407613136e+02,-1.060368232232e+02,1.862860249115e+02,-1.059996978040e+02
42,19430,3557739257.812500,1.804217702038e+02,-1.804217702038e+02,2.514006270329e+02,-7.039587651183e+01,2.504358691544e+02,-7.018220419047e+01,2.503606513474e+02,-7.015457974422e+01
43,19431,3557922363.281250,1.082530621223e+02,-1.804217702038e+02,1.870056043239e+02,-1.067897525125e+02,1.862835278653e+02,-1.064290690222e+02,1.862289657450e+02,-1.063919084420e+02
44,19432,3558105468.750000,-3.608435404076e+01,-2.525904782853e+02,9.412373528560e+01,-2.435505991247e+02,9.372422090021e+01,-2.426677242485e+02,9.370138930845e+01,-2.425911125101e+02
45,19433,3558288574.218750,3.608435404076e+01,-1.804217702038e+02,1.222774956029e+02,-1.430517487345e+02,1.217990721447e+02,-1.425523825069e+02,1.217652621744e+02,-1.425058170566e+02
46,19434,3558471679.687500,1.082530621223e+02,-1.082530621223e+02,1.505661725822e+02,-4.270114175571e+01,1.500103639878e+02,-4.257740361020e+01,1.499655597562e+02,-4.256075879954e+01
47,19435,3558654785.156250,-1.082530621223e+02,-1.082530621223e+02,-4.280207143983e+01,-1.504547457052e+02,-4.267950163116e+01,-1.499047936289e+02,-4.266284519081e+01,-1.498600838732e+02
48,19436,3558837890.625000,3.608435404076e+01,-2.525904782853e+02,1.575548246443e+02,-2.075470515245e+02,1.569507260228e+02,-2.068410622959e+02,1.569079069676e+02,-2.067742231990e+02
49,19437,3559020996.093750,-1.804217702038e+02,-3.608435404076e+01,-1.431698819731e+02,-1.215732433729e+02,-1.426907334289e+02,-1.211150321833e+02,-1.426443699230e+02,-1.210816281246e+02
