freq_hz,h_db,phase_rad
5590000000.000000,0.065814988,-75.593177597703
5591000000.000000,0.080562647,-75.604938562408
5592000000.000000,0.077206189,-75.623987511350
5593000000.000000,0.082422258,-75.639818812206
5594000000.000000,0.074853829,-75.661457861068
5595000000.000000,0.078556560,-75.675281836469
5596000000.000000,0.082905667,-75.696386997201
5597000000.000000,0.097265016,-75.714468039708
5598000000.000000,0.095015371,-75.730026790544
5599000000.000000,0.102958743,-75.755159907875
5600000000.000000,0.095863284,-75.766775646167
5601000000.000000,0.103378899,-75.789604311382
5602000000.000000,0.111716618,-75.811813284767
5603000000.000000,0.108208272,-75.826016038126
5604000000.000000,0.118605676,-75.846353704009
5605000000.000000,0.113644173,-75.867960426618
5606000000.000000,0.107851979,-75.887633637227
5607000000.000000,0.123544849,-75.909647540909
5608000000.000000,0.117679221,-75.926990205974
5609000000.000000,0.118027796,-75.949329901916
5610000000.000000,0.119198941,-75.968217297239
5611000000.000000,0.125260466,-75.984588720418
5612000000.000000,0.120039026,-76.007166779997
5613000000.000000,0.131427652,-76.031433878350
5614000000.000000,0.124119422,-76.048047463793
5615000000.000000,0.128223911,-76.073402474432
5616000000.000000,0.137337122,-76.093778497463
5617000000.000000,0.140131868,-76.116499173843
5618000000.000000,0.154863310,-76.133960088969
5619000000.000000,0.155710331,-76.162025126158
5620000000.000000,0.138942326,-76.182186415208
5621000000.000000,0.146322990,-76.200946324001
5622000000.000000,0.151748281,-76.227311128382
5623000000.000000,0.149397875,-76.247397065020
5624000000.000000,0.160799541,-76.266464690604
5625000000.000000,0.151136845,-76.288735114876
5626000000.000000,0.146248404,-76.309698075432
5627000000.000000,0.147540002,-76.327575814876
5628000000.000000,0.152369922,-76.350698002228
5629000000.000000,0.148925241,-76.373414382418
5630000000.000000,0.154272641,-76.393299245577
5631000000.000000,0.159034383,-76.416411491837
5632000000.000000,0.156515581,-76.435740490415
5633000000.000000,0.157828318,-76.460296143799
5634000000.000000,0.158670544,-76.482255803882
5635000000.000000,0.156767679,-76.497562323023
5636000000.000000,0.150242428,-76.524706248130
5637000000.000000,0.163385809,-76.546459949530
5638000000.000000,0.164250621,-76.565823789128
5639000000.000000,0.159091114,-76.584119676901
5640000000.000000,0.168993025,-76.610626844464
5641000000.000000,0.153144889,-76.627697532325
5642000000.000000,0.161935228,-76.648749789995
5643000000.000000,0.157832773,-76.671466888505
5644000000.000000,0.162603290,-76.688860912526
5645000000.000000,0.168823798,-76.710052310283
5646000000.000000,0.160191657,-76.727602105846
5647000000.000000,0.172418414,-76.746411097981
5648000000.000000,0.158588712,-76.768404736519
5649000000.000000,0.169471644,-76.790203154536
5650000000.000000,0.170631963,-76.807687664104
5651000000.000000,0.172328799,-76.828183965646
5652000000.000000,0.162349328,-76.844689748787
5653000000.000000,0.171617393,-76.868507956509
5654000000.000000,0.172185676,-76.884439765437
5655000000.000000,0.170948388,-76.904099094556
5656000000.000000,0.155205629,-76.924312245759
5657000000.000000,0.155164475,-76.940139186572
5658000000.000000,0.164876221,-76.955139926297
5659000000.000000,0.163876472,-76.974754603260
5660000000.000000,0.156664153,-76.996536860734
5661000000.000000,0.162038915,-77.009163285337
5662000000.000000,0.157492277,-77.029785185181
5663000000.000000,0.154408317,-77.047363933109
