stage,evm_percent,magnitude_only_evm_percent,fitted_delay_samples,gain_real,gain_imag,gain_abs_db,gain_phase_rad
after_h1,23.049850684,1.447691508,74.956474110,3.361000794235e-01,-9.161973976334e-01,-0.211893071,-1.219196608468
after_l1_08_fixed_fir,23.024286782,0.205852544,114.456474110,3.362268490426e-01,-9.148328208245e-01,-0.222912140,-1.218592322912
after_l1_08_fixed_fir_plus_l1_09_iir_allpass,5.629156879,3.745257236,363.707234174,1.569749080393e-02,9.967891787918e-01,-0.026856786,1.555049573454
