subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
0,15156,5550292968.750000,-2.741094685682e+02,5.482189371364e+01,-2.823474963983e+02,-5.122663246075e+01,-2.462106834476e+02,6.306126659045e+01,1.000000000000e+00,-1.657141987181
1,15157,5550659179.687500,3.837532559955e+02,-3.837532559955e+02,5.116442384753e+02,-2.208930605431e+02,4.058948625377e+02,-3.888243406323e+02,1.000000000000e+00,-1.682365786646
2,15158,5551025390.625000,-3.837532559955e+02,-5.482189371364e+01,-3.453950182960e+02,-1.981050770275e+02,-3.584089202446e+02,-4.355431932494e+01,1.000000000000e+00,-1.707586300446
3,15159,5551391601.562500,5.482189371364e+01,3.837532559955e+02,-9.409552838255e+01,3.867686554415e+02,9.018296379185e+01,3.889104461942e+02,1.000000000000e+00,-1.732803239724
4,15160,5551757812.500000,5.482189371364e+01,-5.482189371364e+01,7.320439807815e+01,-3.122328484465e+01,8.199982844033e+01,-5.067919549621e+01,1.000000000000e+00,-1.758016316908
5,15161,5552124023.437500,1.644656811409e+02,-1.644656811409e+02,2.196002166769e+02,-9.344679145235e+01,1.898680136451e+02,-1.621256788774e+02,1.000000000000e+00,-1.783225245770
6,15162,5552490234.375000,1.644656811409e+02,-1.644656811409e+02,2.193877129751e+02,-9.357112803255e+01,1.894002387554e+02,-1.617757573536e+02,1.000000000000e+00,-1.808429741496
7,15163,5552856445.312500,-5.482189371364e+01,-3.837532559955e+02,9.424820559530e+01,-3.859285259825e+02,-3.579123824299e+01,-3.760240611278e+02,1.000000000000e+00,-1.833629520752
8,15164,5553222656.250000,-5.482189371364e+01,5.482189371364e+01,-7.308379095886e+01,3.113863019198e+01,-2.570602705254e+01,6.387878497023e+01,1.000000000000e+00,-1.858824301741
9,15165,5553588867.187500,3.837532559955e+02,-3.837532559955e+02,5.121968195491e+02,-2.167110962010e+02,4.038597267992e+02,-3.845026236377e+02,1.000000000000e+00,-1.884013804272
10,15166,5553955078.125000,-2.741094685682e+02,1.644656811409e+02,-3.238092486768e+02,4.985659243927e+01,-2.433903243816e+02,1.793347945081e+02,1.000000000000e+00,-1.909197749822
11,15167,5554321289.062500,5.482189371364e+01,3.837532559955e+02,-9.679336862421e+01,3.854755343188e+02,9.100961991413e+01,3.928800545102e+02,1.000000000000e+00,-1.934375861594
12,15168,5554687500.000000,5.482189371364e+01,1.644656811409e+02,-1.174608300190e+01,1.774206602954e+02,8.639160126143e+01,1.737032994892e+02,1.000000000000e+00,-1.959547864579
13,15169,5555053710.937500,2.741094685682e+02,-1.644656811409e+02,3.241601009501e+02,-4.984323425091e+01,2.984008334226e+02,-1.609105808940e+02,1.000000000000e+00,-1.984713485615
