tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,1.134675613683538004e-01,1859,1.134643554687500000e-01,-3.205899603800355102e-06,0
1,5.112106709226391099e-02,838,5.114746093750000000e-02,2.639384523608900857e-05,0
2,8.083161627188673037e-02,1324,8.081054687500000000e-02,-2.106939688673037381e-05,0
3,-1.336856266222833656e-01,-2190,-1.336669921875000000e-01,1.863443478336557213e-05,0
4,4.021305771901072940e-02,659,4.022216796875000000e-02,9.110249739270603886e-06,0
5,-5.558109027750847073e-03,-91,-5.554199218750000000e-03,3.909809000847072613e-06,0
6,5.286400750076187399e-02,866,5.285644531250000000e-02,-7.562188261873992179e-06,0
7,-4.156305537590576638e-02,-681,-4.156494140625000000e-02,-1.886030344233624589e-06,0
8,-4.071276807778448359e-02,-667,-4.071044921875000000e-02,2.318859034483589099e-06,0
9,7.575247239576189673e-02,1241,7.574462890625000000e-02,-7.843489511896728494e-06,0
10,-3.212561933816866777e-02,-526,-3.210449218750000000e-02,2.112715066866777125e-05,0
11,-2.791437049427735254e-03,-46,-2.807617187500000000e-03,-1.618013807226474643e-05,0
12,-1.273636727352666850e-02,-209,-1.275634765625000000e-02,-1.998038272333149679e-05,0
13,1.921791417514313177e-02,315,1.922607421875000000e-02,8.160043606868228050e-06,0
14,2.234422372897139700e-02,366,2.233886718750000000e-02,-5.356541471396997212e-06,0
15,-5.985231653931605972e-02,-981,-5.987548828125000000e-02,-2.317174193394028192e-05,0
16,3.900941638348589396e-02,639,3.900146484375000000e-02,-7.951539735893964345e-06,0
17,1.059378628608423183e-02,174,1.062011718750000000e-02,2.633090141576817367e-05,0
18,-2.770583806884316033e-02,-454,-2.770996093750000000e-02,-4.122868656839667745e-06,0
19,1.166221013843985257e-02,191,1.165771484375000000e-02,-4.495294689852574743e-06,0
20,-8.349492514697218898e-03,-137,-8.361816406250000000e-03,-1.232389155278110215e-05,0
21,2.713823362494437869e-02,445,2.716064453125000000e-02,2.241090630562131425e-05,0
22,-2.759477713203409635e-02,-452,-2.758789062500000000e-02,6.886507034096350788e-06,0
23,-9.504630313168355854e-03,-156,-9.521484375000000000e-03,-1.685406183164414595e-05,0
24,4.538762463528815683e-02,744,4.541015625000000000e-02,2.253161471184317310e-05,0
25,-3.798444391791450797e-02,-622,-3.796386718750000000e-02,2.057673041450797102e-05,0
26,1.626544617666558041e-03,27,1.647949218750000000e-03,2.140460108344195873e-05,0
27,1.760142351463210922e-02,288,1.757812500000000000e-02,-2.329851463210921847e-05,0
28,-9.182127467106679722e-03,-150,-9.155273437500000000e-03,2.685402960667972183e-05,0
29,5.835011590116474106e-03,96,5.859375000000000000e-03,2.436340988352589387e-05,0
30,-2.431202314839140885e-02,-398,-2.429199218750000000e-02,2.003096089140884994e-05,0
31,3.385551329776991664e-02,555,3.387451171875000000e-02,1.899842098008336366e-05,0
32,-3.343967775315249275e-03,-55,-3.356933593750000000e-03,-1.296581843475072549e-05,0
33,-4.345277427584018359e-02,-712,-4.345703125000000000e-02,-4.256974159816406811e-06,0
34,5.216947504657785256e-02,855,5.218505859375000000e-02,1.558354717214743834e-05,0
35,-1.270639758677944917e-02,-208,-1.269531250000000000e-02,1.108508677944916587e-05,0
36,-2.465936567702699256e-02,-404,-2.465820312500000000e-02,1.162552026992558218e-06,0
37,2.077543746455732046e-02,340,2.075195312500000000e-02,-2.348433955732046052e-05,0
38,-3.915794827344363377e-03,-64,-3.906250000000000000e-03,9.544827344363376875e-06,0
39,2.188738492560922400e-02,359,2.191162109375000000e-02,2.423616814077600434e-05,0
40,-5.501293974629927613e-02,-901,-5.499267578125000000e-02,2.026396504927613362e-05,0
41,2.834245093378811448e-02,464,2.832031250000000000e-02,-2.213843378811447549e-05,0
42,7.229039035141315850e-02,1184,7.226562500000000000e-02,-2.476535141315849842e-05,0
43,-1.426218309365669124e-01,-2337,-1.426391601562500000e-01,-1.732921968308764882e-05,0
44,7.097413896419084434e-02,1163,7.098388671875000000e-02,9.747754559155663578e-06,0
45,1.031255200638840769e-01,1690,1.031494140625000000e-01,2.389399861592311769e-05,0
46,-2.005022716358329515e-01,-3285,-2.005004882812500000e-01,1.783354582951535150e-06,0
47,1.016800247580134237e-01,1666,1.016845703125000000e-01,4.545554486576341979e-06,0
48,1.016800247580134237e-01,1666,1.016845703125000000e-01,4.545554486576341979e-06,0
49,-2.005022716358329515e-01,-3285,-2.005004882812500000e-01,1.783354582951535150e-06,0
50,1.031255200638840769e-01,1690,1.031494140625000000e-01,2.389399861592311769e-05,0
51,7.097413896419084434e-02,1163,7.098388671875000000e-02,9.747754559155663578e-06,0
52,-1.426218309365669124e-01,-2337,-1.426391601562500000e-01,-1.732921968308764882e-05,0
53,7.229039035141315850e-02,1184,7.226562500000000000e-02,-2.476535141315849842e-05,0
54,2.834245093378811448e-02,464,2.832031250000000000e-02,-2.213843378811447549e-05,0
55,-5.501293974629927613e-02,-901,-5.499267578125000000e-02,2.026396504927613362e-05,0
56,2.188738492560922400e-02,359,2.191162109375000000e-02,2.423616814077600434e-05,0
57,-3.915794827344363377e-03,-64,-3.906250000000000000e-03,9.544827344363376875e-06,0
58,2.077543746455732046e-02,340,2.075195312500000000e-02,-2.348433955732046052e-05,0
59,-2.465936567702699256e-02,-404,-2.465820312500000000e-02,1.162552026992558218e-06,0
60,-1.270639758677944917e-02,-208,-1.269531250000000000e-02,1.108508677944916587e-05,0
61,5.216947504657785256e-02,855,5.218505859375000000e-02,1.558354717214743834e-05,0
62,-4.345277427584018359e-02,-712,-4.345703125000000000e-02,-4.256974159816406811e-06,0
63,-3.343967775315249275e-03,-55,-3.356933593750000000e-03,-1.296581843475072549e-05,0
64,3.385551329776991664e-02,555,3.387451171875000000e-02,1.899842098008336366e-05,0
65,-2.431202314839140885e-02,-398,-2.429199218750000000e-02,2.003096089140884994e-05,0
66,5.835011590116474106e-03,96,5.859375000000000000e-03,2.436340988352589387e-05,0
67,-9.182127467106679722e-03,-150,-9.155273437500000000e-03,2.685402960667972183e-05,0
68,1.760142351463210922e-02,288,1.757812500000000000e-02,-2.329851463210921847e-05,0
69,1.626544617666558041e-03,27,1.647949218750000000e-03,2.140460108344195873e-05,0
70,-3.798444391791450797e-02,-622,-3.796386718750000000e-02,2.057673041450797102e-05,0
71,4.538762463528815683e-02,744,4.541015625000000000e-02,2.253161471184317310e-05,0
72,-9.504630313168355854e-03,-156,-9.521484375000000000e-03,-1.685406183164414595e-05,0
73,-2.759477713203409635e-02,-452,-2.758789062500000000e-02,6.886507034096350788e-06,0
74,2.713823362494437869e-02,445,2.716064453125000000e-02,2.241090630562131425e-05,0
75,-8.349492514697218898e-03,-137,-8.361816406250000000e-03,-1.232389155278110215e-05,0
76,1.166221013843985257e-02,191,1.165771484375000000e-02,-4.495294689852574743e-06,0
77,-2.770583806884316033e-02,-454,-2.770996093750000000e-02,-4.122868656839667745e-06,0
78,1.059378628608423183e-02,174,1.062011718750000000e-02,2.633090141576817367e-05,0
79,3.900941638348589396e-02,639,3.900146484375000000e-02,-7.951539735893964345e-06,0
80,-5.985231653931605972e-02,-981,-5.987548828125000000e-02,-2.317174193394028192e-05,0
81,2.234422372897139700e-02,366,2.233886718750000000e-02,-5.356541471396997212e-06,0
82,1.921791417514313177e-02,315,1.922607421875000000e-02,8.160043606868228050e-06,0
83,-1.273636727352666850e-02,-209,-1.275634765625000000e-02,-1.998038272333149679e-05,0
84,-2.791437049427735254e-03,-46,-2.807617187500000000e-03,-1.618013807226474643e-05,0
85,-3.212561933816866777e-02,-526,-3.210449218750000000e-02,2.112715066866777125e-05,0
86,7.575247239576189673e-02,1241,7.574462890625000000e-02,-7.843489511896728494e-06,0
87,-4.071276807778448359e-02,-667,-4.071044921875000000e-02,2.318859034483589099e-06,0
88,-4.156305537590576638e-02,-681,-4.156494140625000000e-02,-1.886030344233624589e-06,0
89,5.286400750076187399e-02,866,5.285644531250000000e-02,-7.562188261873992179e-06,0
90,-5.558109027750847073e-03,-91,-5.554199218750000000e-03,3.909809000847072613e-06,0
91,4.021305771901072940e-02,659,4.022216796875000000e-02,9.110249739270603886e-06,0
92,-1.336856266222833656e-01,-2190,-1.336669921875000000e-01,1.863443478336557213e-05,0
93,8.083161627188673037e-02,1324,8.081054687500000000e-02,-2.106939688673037381e-05,0
94,5.112106709226391099e-02,838,5.114746093750000000e-02,2.639384523608900857e-05,0
95,1.134675613683538004e-01,1859,1.134643554687500000e-01,-3.205899603800355102e-06,0
