subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,1.766868750846e+02,-1.060121250507e+02,1.713580529474e+02,-1.051578294270e+02,1.772073713606e+02,-1.086681280243e+02,1.771456211369e+02,-1.086282691365e+02
1,19389,3550231933.593750,3.533737501691e+01,1.060121250507e+02,3.550495369986e+01,1.030917553689e+02,3.667093063738e+01,1.065897826147e+02,3.665706748389e+01,1.065523177977e+02
2,19390,3550415039.062500,2.473616251184e+02,3.533737501691e+01,2.416839496748e+02,3.209725916393e+01,2.498184059571e+02,3.326020188348e+01,2.497294188518e+02,3.325043138730e+01
3,19391,3550598144.531250,-3.533737501691e+01,1.766868750846e+02,-3.278829969013e+01,1.727246856331e+02,-3.394763441529e+01,1.785152341168e+02,-3.393700939136e+01,1.784514157975e+02
4,19392,3550781250.000000,-1.060121250507e+02,1.060121250507e+02,-1.024244486879e+02,1.044378513860e+02,-1.058881767756e+02,1.078994925312e+02,-1.058512812916e+02,1.078601329843e+02
5,19393,3550964355.468750,1.060121250507e+02,-2.473616251184e+02,1.010969414964e+02,-2.423370382624e+02,1.045510495716e+02,-2.503877386027e+02,1.045157094017e+02,-2.502973501207e+02
6,19394,3551147460.937500,-1.766868750846e+02,3.533737501691e+01,-1.720712016125e+02,3.614424377390e+01,-1.778042671047e+02,3.728816114200e+01,-1.777408462858e+02,3.727334444554e+01
7,19395,3551330566.406250,-1.766868750846e+02,-2.473616251184e+02,-1.747566599562e+02,-2.397389398555e+02,-1.804664766626e+02,-2.477410377622e+02,-1.803996255237e+02,-2.476535183754e+02
8,19396,3551513671.875000,1.766868750846e+02,-2.473616251184e+02,1.701294419577e+02,-2.430981296851e+02,1.758286874390e+02,-2.510680372163e+02,1.757674334804e+02,-2.509762067874e+02
9,19397,3551696777.343750,-1.766868750846e+02,1.060121250507e+02,-1.714845977436e+02,1.051482835523e+02,-1.771627254269e+02,1.085506954462e+02,-1.770996822413e+02,1.085100771451e+02
10,19398,3551879882.812500,1.060121250507e+02,2.473616251184e+02,1.058259515840e+02,2.405133074346e+02,1.092154301667e+02,2.484356738253e+02,1.091739006717e+02,2.483467142863e+02
11,19399,3552062988.281250,-2.473616251184e+02,-1.766868750846e+02,-2.431453228909e+02,-1.702648219970e+02,-2.510335854767e+02,-1.759102812049e+02,-2.509411525773e+02,-1.758485671781e+02
12,19400,3552246093.750000,3.533737501691e+01,3.533737501691e+01,3.480116543236e+01,3.420824243733e+01,3.592293181095e+01,3.533386111137e+01,3.590959241468e+01,3.532131783951e+01
13,19401,3552429199.218750,-2.473616251184e+02,-1.060121250507e+02,-2.423443750986e+02,-1.016221071054e+02,-2.501741727088e+02,-1.050009936705e+02,-2.500822237160e+02,-1.049648053739e+02
14,19402,3552612304.687500,-3.533737501691e+01,-3.533737501691e+01,-3.474899835683e+01,-3.426065394682e+01,-3.586111240415e+01,-3.538013225372e+01,-3.584773683077e+01,-3.536751418905e+01
15,19403,3552795410.156250,-3.533737501691e+01,-3.533737501691e+01,-3.472288521295e+01,-3.428682987769e+01,-3.583017850454e+01,-3.540322549626e+01,-3.581678497826e+01,-3.539057004460e+01
16,19404,3552978515.625000,1.060121250507e+02,-1.766868750846e+02,1.025551912728e+02,-1.730999953136e+02,1.059059338822e+02,-1.786232051791e+02,1.058685739428e+02,-1.785568667922e+02
17,19405,3553161621.093750,-2.473616251184e+02,-1.060121250507e+02,-2.420747830956e+02,-1.023313229042e+02,-2.497849108898e+02,-1.056863012188e+02,-2.496922883610e+02,-1.056495176265e+02
18,19406,3553344726.562500,-2.473616251184e+02,-2.473616251184e+02,-2.426468625043e+02,-2.405421545122e+02,-2.503011761918e+02,-2.482914283747e+02,-2.502069968017e+02,-2.482020620124e+02
19,19407,3553527832.031250,3.533737501691e+01,1.766868750846e+02,3.516751778231e+01,1.724604540107e+02,3.622671268009e+01,1.779501225028e+02,3.621189248109e+01,1.778847606100e+02
20,19408,3553710937.500000,-3.533737501691e+01,-1.766868750846e+02,-3.506981399180e+01,-1.725036830202e+02,-3.612188180379e+01,-1.779749381587e+02,-3.610707096698e+01,-1.779094227994e+02
21,19409,3553894042.968750,-3.533737501691e+01,-2.473616251184e+02,-3.515003281730e+01,-2.416011918093e+02,-3.617745352904e+01,-2.492316381792e+02,-3.616201090851e+01,-2.491395737757e+02
22,19410,3554077148.437500,2.473616251184e+02,1.060121250507e+02,2.419339054544e+02,1.030560488429e+02,2.495007936015e+02,1.063751200259e+02,2.494072642950e+02,1.063376523574e+02
23,19411,3554260253.906250,1.060121250507e+02,-1.766868750846e+02,1.032185981518e+02,-1.728625616987e+02,1.065077869537e+02,-1.782394050931e+02,1.064696023289e+02,-1.781721968147e+02
24,19412,3554443359.375000,-1.060121250507e+02,2.473616251184e+02,-1.030876524117e+02,2.419051702302e+02,-1.063840601672e+02,2.494157054867e+02,-1.063464177114e+02,2.493218073443e+02
25,19413,3554626464.843750,2.473616251184e+02,2.473616251184e+02,2.421630935829e+02,2.412100699527e+02,2.496076282526e+02,2.487869776971e+02,2.495122952442e+02,2.486960229163e+02
26,19414,3554809570.312500,1.060121250507e+02,2.473616251184e+02,1.040351744578e+02,2.414838917744e+02,1.071752865420e+02,2.489953271453e+02,1.071331057424e+02,2.489029317008e+02
27,19415,3554992675.781250,-1.766868750846e+02,-2.473616251184e+02,-1.730635137452e+02,-2.413598724146e+02,-1.783210146160e+02,-2.488629141845e+02,-1.782520419713e+02,-2.487709506672e+02
28,19416,3555175781.250000,3.533737501691e+01,-3.533737501691e+01,3.447883569939e+01,-3.458929745699e+01,3.555001342370e+01,-3.564073133481e+01,3.553693114236e+01,-3.562703335773e+01
29,19417,3555358886.718750,3.533737501691e+01,1.766868750846e+02,3.478113599820e+01,1.726711948921e+02,3.578818664658e+01,1.779695034286e+02,3.577324122405e+01,1.779027041933e+02
30,19418,3555541992.187500,-2.473616251184e+02,-2.473616251184e+02,-2.421518882018e+02,-2.415957358372e+02,-2.494571343518e+02,-2.490460423277e+02,-2.493608599966e+02,-2.489539956226e+02
31,19419,3555725097.656250,3.533737501691e+01,3.533737501691e+01,3.459503247257e+01,3.453110087748e+01,3.563472413982e+01,3.559200003703e+01,3.562094297214e+01,3.557881690506e+01
32,19420,3555908203.125000,2.473616251184e+02,-1.060121250507e+02,2.419365029829e+02,-1.038876042472e+02,2.492953789364e+02,-1.069515547147e+02,2.492016777071e+02,-1.069089440850e+02
33,19421,3556091308.593750,1.060121250507e+02,-2.473616251184e+02,1.036598566948e+02,-2.420972290050e+02,1.068670959870e+02,-2.493637022698e+02,1.068285062588e+02,-2.492680306445e+02
34,19422,3556274414.062500,-1.766868750846e+02,2.473616251184e+02,-1.729706316562e+02,2.420719647337e+02,-1.782482891421e+02,2.492867063468e+02,-1.781824211823e+02,2.491902834247e+02
35,19423,3556457519.531250,2.473616251184e+02,3.533737501691e+01,2.421168128244e+02,3.475489902616e+01,2.493514024848e+02,3.587611380086e+01,2.492559207310e+02,3.586445525126e+01
36,19424,3556640625.000000,-1.060121250507e+02,-3.533737501691e+01,-1.037501396567e+02,-3.471948613962e+01,-1.068317173745e+02,-3.578933663314e+01,-1.067905581263e+02,-3.577651867618e+01
37,19425,3556823730.468750,-3.533737501691e+01,-1.766868750846e+02,-3.431092167115e+01,-1.730709217934e+02,-3.527200719685e+01,-1.782224778125e+02,-3.525703066992e+01,-1.781544489914e+02
38,19426,3557006835.937500,1.060121250507e+02,-1.766868750846e+02,1.041999730603e+02,-1.728127288952e+02,1.073405116753e+02,-1.778904461025e+02,1.073007341052e+02,-1.778212393784e+02
39,19427,3557189941.406250,1.060121250507e+02,-3.533737501691e+01,1.038967913031e+02,-3.436473937505e+01,1.069701157215e+02,-3.534270026873e+01,1.069292317659e+02,-3.532822305558e+01
40,19428,3557373046.875000,3.533737501691e+01,3.533737501691e+01,3.451809957545e+01,3.468844059840e+01,3.551978086192e+01,3.571827620640e+01,3.550578964134e+01,3.570479037907e+01
