metric,value
float_coefficients_csv,C:\Users\bjwb0005\Documents\Rigol_work\L1-08+L1-09\data\base_plan_pipeline_data_20260615_150846\l1_09_fix_allpass_iir_fs\allpass_coefficients.csv
float_response_csv,C:\Users\bjwb0005\Documents\Rigol_work\L1-08+L1-09\data\base_plan_pipeline_data_20260615_150846\l1_09_fix_allpass_iir_fs\allpass_response.csv
section_count,64
total_bits,18
frac_bits,15
coeff_lsb,3.051757812500000e-05
coeff_range,-4.000000000000e+00 to 3.999969482422e+00
saturation_count,0
max_abs_coeff_error,1.515936999999e-05
rms_coeff_error,7.356585948162e-06
max_pole_radius,0.978045748586
stable,True
fixed_allpass_magnitude_ripple_db,4.474479444807e-13
fixed_allpass_max_abs_magnitude_error_db,2.372245567721e-13
fixed_vs_float_phase_error_rms_rad,5.247390065447e-04
fixed_vs_float_phase_error_max_abs_rad,8.061651292938e-04
float_compensated_group_delay_ripple_pp_ns,1.515481509
fixed_compensated_group_delay_ripple_pp_ns,1.515528332
compensated_group_delay_ripple_pp_max_ns,0.200000000
meets_compensated_ripple_target,False
fixed_vs_float_compensated_group_delay_rms_ns,5.801012373670e-04
fixed_vs_float_compensated_group_delay_max_abs_ns,1.260663988642e-03
