freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
5500000000.000000,1.000000000000e+00,1.000000000000e+00,1.928654933107e-15,1.719432219255,1.720216103397,7.838841416716e-04,5.366460933,10.148941420,10.148597616,15.515402353,15.515058549
5501000000.000000,1.000000000000e+00,1.000000000000e+00,-5.882397545975e-14,1.655664539642,1.656450583967,7.860443246990e-04,5.091426382,10.162715361,10.162378509,15.254141743,15.253804891
5502000000.000000,1.000000000000e+00,1.000000000000e+00,3.278713386281e-14,1.591723771577,1.592511888724,7.881171467328e-04,4.435169442,10.190234959,10.189912331,14.625404401,14.625081773
5503000000.000000,1.000000000000e+00,1.000000000000e+00,-7.425321492460e-14,1.527610270505,1.528400369083,7.900985780975e-04,4.311575322,10.217686752,10.217378991,14.529262074,14.528954313
5504000000.000000,1.000000000000e+00,1.000000000000e+00,1.542923946485e-14,1.463324533034,1.464116517613,7.919845792022e-04,4.928859399,10.245047940,10.244755689,15.173907339,15.173615088
5505000000.000000,1.000000000000e+00,1.000000000000e+00,-2.314385919728e-14,1.398867201129,1.399660972238,7.937711091306e-04,5.312538106,10.272295067,10.272018968,15.584833173,15.584557074
5506000000.000000,1.000000000000e+00,1.000000000000e+00,-6.171695785941e-14,1.334239066165,1.335034520299,7.954541347199e-04,4.652374759,10.299404042,10.299144736,14.951778801,14.951519495
5507000000.000000,1.000000000000e+00,1.000000000000e+00,3.857309866213e-14,1.269441072829,1.270238102469,7.970296402104e-04,4.386769065,10.326350169,10.326108293,14.713119234,14.712877358
5508000000.000000,1.000000000000e+00,1.000000000000e+00,1.735789439796e-13,1.204474322842,1.205272816480,7.984936372765e-04,4.810233633,10.353108176,10.352884362,15.163341809,15.163117995
5509000000.000000,1.000000000000e+00,1.000000000000e+00,3.471578879592e-14,1.139340078474,1.140139920650,7.998421755824e-04,4.908565848,10.379652249,10.379447120,15.288218097,15.288012968
