section,fs_hz,total_bits,frac_bits,r_float,theta_rad_float,b0,b1,b2,a0,a1,a2,b0_int,b1_int,b2_int,a0_int,a1_int,a2_int
1,24000000000.000000,18,15,0.959501036176,1.387536755335,0.920654296875,-0.349700927734,1.000000000000,1.000000000000,-0.349700927734,0.920654296875,30168,-11459,32768,32768,-11459,30168
2,24000000000.000000,18,15,0.365417244400,1.411580288140,0.133544921875,-0.115875244141,1.000000000000,1.000000000000,-0.115875244141,0.133544921875,4376,-3797,32768,32768,-3797,4376
3,24000000000.000000,18,15,0.978040945225,1.451563800691,0.956573486328,-0.232666015625,1.000000000000,1.000000000000,-0.232666015625,0.956573486328,31345,-7624,32768,32768,-7624,31345
4,24000000000.000000,18,15,0.300003194930,1.497210234640,0.089996337891,-0.044097900391,1.000000000000,1.000000000000,-0.044097900391,0.089996337891,2949,-1445,32768,32768,-1445,2949
5,24000000000.000000,18,15,0.309792160488,1.500385478527,0.095977783203,-0.043579101562,1.000000000000,1.000000000000,-0.043579101562,0.095977783203,3145,-1428,32768,32768,-1428,3145
6,24000000000.000000,18,15,0.302659755565,1.502403746959,0.091613769531,-0.041381835938,1.000000000000,1.000000000000,-0.041381835938,0.091613769531,3002,-1356,32768,32768,-1356,3002
7,24000000000.000000,18,15,0.300000024899,1.504239081112,0.089996337891,-0.039916992188,1.000000000000,1.000000000000,-0.039916992188,0.089996337891,2949,-1308,32768,32768,-1308,2949
8,24000000000.000000,18,15,0.300004198986,1.506014994606,0.089996337891,-0.038848876953,1.000000000000,1.000000000000,-0.038848876953,0.089996337891,2949,-1273,32768,32768,-1273,2949
9,24000000000.000000,18,15,0.300030348803,1.507682914409,0.090026855469,-0.037841796875,1.000000000000,1.000000000000,-0.037841796875,0.090026855469,2950,-1240,32768,32768,-1240,2950
10,24000000000.000000,18,15,0.300012980347,1.509218418086,0.089996337891,-0.036926269531,1.000000000000,1.000000000000,-0.036926269531,0.089996337891,2949,-1210,32768,32768,-1210,2949
11,24000000000.000000,18,15,0.974728574477,1.510718398185,0.950103759766,-0.117034912109,1.000000000000,1.000000000000,-0.117034912109,0.950103759766,31133,-3835,32768,32768,-3835,31133
12,24000000000.000000,18,15,0.302066300010,1.512294021562,0.091247558594,-0.035308837891,1.000000000000,1.000000000000,-0.035308837891,0.091247558594,2990,-1157,32768,32768,-1157,2990
13,24000000000.000000,18,15,0.302718522890,1.513846110613,0.091644287109,-0.034454345703,1.000000000000,1.000000000000,-0.034454345703,0.091644287109,3003,-1129,32768,32768,-1129,3003
14,24000000000.000000,18,15,0.303073960913,1.515463913020,0.091857910156,-0.033508300781,1.000000000000,1.000000000000,-0.033508300781,0.091857910156,3010,-1098,32768,32768,-1098,3010
15,24000000000.000000,18,15,0.302540746995,1.517072280973,0.091522216797,-0.032501220703,1.000000000000,1.000000000000,-0.032501220703,0.091522216797,2999,-1065,32768,32768,-1065,2999
16,24000000000.000000,18,15,0.302186471943,1.518608295557,0.091308593750,-0.031524658203,1.000000000000,1.000000000000,-0.031524658203,0.091308593750,2992,-1033,32768,32768,-1033,2992
17,24000000000.000000,18,15,0.301777476110,1.520123908632,0.091064453125,-0.030578613281,1.000000000000,1.000000000000,-0.030578613281,0.091064453125,2984,-1002,32768,32768,-1002,2984
18,24000000000.000000,18,15,0.301310116163,1.521727752989,0.090789794922,-0.029571533203,1.000000000000,1.000000000000,-0.029571533203,0.090789794922,2975,-969,32768,32768,-969,2975
19,24000000000.000000,18,15,0.300872394930,1.523381533476,0.090515136719,-0.028533935547,1.000000000000,1.000000000000,-0.028533935547,0.090515136719,2966,-935,32768,32768,-935,2966
20,24000000000.000000,18,15,0.300339685929,1.524940847999,0.090209960938,-0.027526855469,1.000000000000,1.000000000000,-0.027526855469,0.090209960938,2956,-902,32768,32768,-902,2956
21,24000000000.000000,18,15,0.300031348706,1.526466160327,0.090026855469,-0.026580810547,1.000000000000,1.000000000000,-0.026580810547,0.090026855469,2950,-871,32768,32768,-871,2950
22,24000000000.000000,18,15,0.300000137835,1.528015850928,0.089996337891,-0.025665283203,1.000000000000,1.000000000000,-0.025665283203,0.089996337891,2949,-841,32768,32768,-841,2949
23,24000000000.000000,18,15,0.303596344932,1.529524661504,0.092163085938,-0.025054931641,1.000000000000,1.000000000000,-0.025054931641,0.092163085938,3020,-821,32768,32768,-821,3020
24,24000000000.000000,18,15,0.303500973666,1.531080425772,0.092102050781,-0.024108886719,1.000000000000,1.000000000000,-0.024108886719,0.092102050781,3018,-790,32768,32768,-790,3018
25,24000000000.000000,18,15,0.303746352316,1.532599561788,0.092254638672,-0.023193359375,1.000000000000,1.000000000000,-0.023193359375,0.092254638672,3023,-760,32768,32768,-760,3023
26,24000000000.000000,18,15,0.303604085563,1.534104756067,0.092163085938,-0.022277832031,1.000000000000,1.000000000000,-0.022277832031,0.092163085938,3020,-730,32768,32768,-730,3020
27,24000000000.000000,18,15,0.303478122277,1.535605775502,0.092102050781,-0.021362304688,1.000000000000,1.000000000000,-0.021362304688,0.092102050781,3018,-700,32768,32768,-700,3018
28,24000000000.000000,18,15,0.303478583304,1.537151230554,0.092102050781,-0.020416259766,1.000000000000,1.000000000000,-0.020416259766,0.092102050781,3018,-669,32768,32768,-669,3018
29,24000000000.000000,18,15,0.303353388916,1.538667006455,0.092010498047,-0.019500732422,1.000000000000,1.000000000000,-0.019500732422,0.092010498047,3015,-639,32768,32768,-639,3015
30,24000000000.000000,18,15,0.303148644685,1.540172714538,0.091888427734,-0.018554687500,1.000000000000,1.000000000000,-0.018554687500,0.091888427734,3011,-608,32768,32768,-608,3011
31,24000000000.000000,18,15,0.303026204193,1.541689813378,0.091827392578,-0.017639160156,1.000000000000,1.000000000000,-0.017639160156,0.091827392578,3009,-578,32768,32768,-578,3009
32,24000000000.000000,18,15,0.302754237275,1.543162958513,0.091674804688,-0.016723632812,1.000000000000,1.000000000000,-0.016723632812,0.091674804688,3004,-548,32768,32768,-548,3004
33,24000000000.000000,18,15,0.302492210872,1.544632190187,0.091491699219,-0.015838623047,1.000000000000,1.000000000000,-0.015838623047,0.091491699219,2998,-519,32768,32768,-519,2998
34,24000000000.000000,18,15,0.302738717789,1.546129262644,0.091644287109,-0.014923095703,1.000000000000,1.000000000000,-0.014923095703,0.091644287109,3003,-489,32768,32768,-489,3003
35,24000000000.000000,18,15,0.305207305388,1.547608334886,0.093139648438,-0.014160156250,1.000000000000,1.000000000000,-0.014160156250,0.093139648438,3052,-464,32768,32768,-464,3052
36,24000000000.000000,18,15,0.304688530072,1.549090224400,0.092834472656,-0.013214111328,1.000000000000,1.000000000000,-0.013214111328,0.092834472656,3042,-433,32768,32768,-433,3042
37,24000000000.000000,18,15,0.304394314117,1.550564131699,0.092651367188,-0.012329101562,1.000000000000,1.000000000000,-0.012329101562,0.092651367188,3036,-404,32768,32768,-404,3036
38,24000000000.000000,18,15,0.303983990640,1.552036963217,0.092407226562,-0.011413574219,1.000000000000,1.000000000000,-0.011413574219,0.092407226562,3028,-374,32768,32768,-374,3028
39,24000000000.000000,18,15,0.303747980191,1.553509425897,0.092254638672,-0.010498046875,1.000000000000,1.000000000000,-0.010498046875,0.092254638672,3023,-344,32768,32768,-344,3023
40,24000000000.000000,18,15,0.303585464519,1.555001003744,0.092163085938,-0.009582519531,1.000000000000,1.000000000000,-0.009582519531,0.092163085938,3020,-314,32768,32768,-314,3020
41,24000000000.000000,18,15,0.303306046018,1.556469728927,0.091979980469,-0.008697509766,1.000000000000,1.000000000000,-0.008697509766,0.091979980469,3014,-285,32768,32768,-285,3014
42,24000000000.000000,18,15,0.303124403185,1.557949835914,0.091888427734,-0.007781982422,1.000000000000,1.000000000000,-0.007781982422,0.091888427734,3011,-255,32768,32768,-255,3011
43,24000000000.000000,18,15,0.302600374648,1.559428726446,0.091552734375,-0.006866455078,1.000000000000,1.000000000000,-0.006866455078,0.091552734375,3000,-225,32768,32768,-225,3000
44,24000000000.000000,18,15,0.302555135330,1.560906260704,0.091552734375,-0.005981445312,1.000000000000,1.000000000000,-0.005981445312,0.091552734375,3000,-196,32768,32768,-196,3000
45,24000000000.000000,18,15,0.302331981994,1.562372852215,0.091400146484,-0.005096435547,1.000000000000,1.000000000000,-0.005096435547,0.091400146484,2995,-167,32768,32768,-167,2995
46,24000000000.000000,18,15,0.302164637452,1.563844519823,0.091308593750,-0.004211425781,1.000000000000,1.000000000000,-0.004211425781,0.091308593750,2992,-138,32768,32768,-138,2992
47,24000000000.000000,18,15,0.301967911011,1.565319336071,0.091186523438,-0.003295898438,1.000000000000,1.000000000000,-0.003295898438,0.091186523438,2988,-108,32768,32768,-108,2988
48,24000000000.000000,18,15,0.301869596875,1.566804066970,0.091125488281,-0.002410888672,1.000000000000,1.000000000000,-0.002410888672,0.091125488281,2986,-79,32768,32768,-79,2986
49,24000000000.000000,18,15,0.301894181394,1.568271140530,0.091125488281,-0.001525878906,1.000000000000,1.000000000000,-0.001525878906,0.091125488281,2986,-50,32768,32768,-50,2986
50,24000000000.000000,18,15,0.301778737150,1.569732006087,0.091064453125,-0.000640869141,1.000000000000,1.000000000000,-0.000640869141,0.091064453125,2984,-21,32768,32768,-21,2984
51,24000000000.000000,18,15,0.977415630364,1.571192377584,0.955352783203,0.000762939453,1.000000000000,1.000000000000,0.000762939453,0.955352783203,31305,25,32768,32768,25,31305
52,24000000000.000000,18,15,0.973758586940,1.629755052986,0.948211669922,0.114746093750,1.000000000000,1.000000000000,0.114746093750,0.948211669922,31071,3760,32768,32768,3760,31071
53,24000000000.000000,18,15,0.313659221990,1.633168834337,0.098388671875,0.039093017578,1.000000000000,1.000000000000,0.039093017578,0.098388671875,3224,1281,32768,32768,1281,3224
54,24000000000.000000,18,15,0.315076785263,1.636694642985,0.099273681641,0.041503906250,1.000000000000,1.000000000000,0.041503906250,0.099273681641,3253,1360,32768,32768,1360,3253
55,24000000000.000000,18,15,0.316462163763,1.640585947080,0.100158691406,0.044128417969,1.000000000000,1.000000000000,0.044128417969,0.100158691406,3282,1446,32768,32768,1446,3282
56,24000000000.000000,18,15,0.316686795089,1.644766126915,0.100280761719,0.046813964844,1.000000000000,1.000000000000,0.046813964844,0.100280761719,3286,1534,32768,32768,1534,3286
57,24000000000.000000,18,15,0.317267025141,1.649262098118,0.100646972656,0.049743652344,1.000000000000,1.000000000000,0.049743652344,0.100646972656,3298,1630,32768,32768,1630,3298
58,24000000000.000000,18,15,0.317806946351,1.654286456459,0.101013183594,0.053009033203,1.000000000000,1.000000000000,0.053009033203,0.101013183594,3310,1737,32768,32768,1737,3310
59,24000000000.000000,18,15,0.317889977756,1.659548640611,0.101043701172,0.056365966797,1.000000000000,1.000000000000,0.056365966797,0.101043701172,3311,1847,32768,32768,1847,3311
60,24000000000.000000,18,15,0.318186789220,1.665235423904,0.101257324219,0.059997558594,1.000000000000,1.000000000000,0.059997558594,0.101257324219,3318,1966,32768,32768,1966,3318
61,24000000000.000000,18,15,0.875567894262,1.671339084136,0.766632080078,0.175781250000,1.000000000000,1.000000000000,0.175781250000,0.766632080078,25121,5760,32768,32768,5760,25121
62,24000000000.000000,18,15,0.865486199569,1.682350072494,0.749053955078,0.192687988281,1.000000000000,1.000000000000,0.192687988281,0.749053955078,24545,6314,32768,32768,6314,24545
63,24000000000.000000,18,15,0.972025262527,1.689718008244,0.944824218750,0.230651855469,1.000000000000,1.000000000000,0.230651855469,0.944824218750,30960,7558,32768,32768,7558,30960
64,24000000000.000000,18,15,0.972737461311,1.754055898254,0.946228027344,0.354522705078,1.000000000000,1.000000000000,0.354522705078,0.946228027344,31006,11617,32768,32768,11617,31006
