tap_index,coeff_float
0,7.247039727512147138e-03
1,-1.602379754010380131e-01
2,-1.879075716681592040e-02
3,-3.030562426570249102e-01
4,3.417626255500371690e-01
5,-2.881988090941363101e-01
6,4.260767083059416316e-01
7,-4.826865554523662172e-01
8,3.086019564600093745e-01
9,-1.265990462767220270e-01
10,3.276646379020105304e-02
11,1.144736186598185324e-01
12,-3.144711912785824737e-01
13,3.773497681601412079e-01
14,-2.546172302948079835e-01
15,9.601175603135003733e-02
16,2.169326944786922548e-02
17,-1.615775517297505515e-01
18,3.102221261198748747e-01
19,-3.268671339562033706e-01
20,1.645448704490416469e-01
21,3.778293285515327976e-02
22,-1.546994407002334204e-01
23,2.178993264487158743e-01
24,-2.750110668717634099e-01
25,2.408305178331426599e-01
26,-2.887836150038090854e-02
27,-2.404643415067805878e-01
28,3.246071175880942961e-01
29,-1.631195458979063373e-01
30,-3.169598294341402500e-02
31,4.900118002147810931e-02
32,4.900118002147810931e-02
33,-3.169598294341402500e-02
34,-1.631195458979063373e-01
35,3.246071175880942961e-01
36,-2.404643415067805878e-01
37,-2.887836150038090854e-02
38,2.408305178331426599e-01
39,-2.750110668717634099e-01
40,2.178993264487158743e-01
41,-1.546994407002334204e-01
42,3.778293285515327976e-02
43,1.645448704490416469e-01
44,-3.268671339562033706e-01
45,3.102221261198748747e-01
46,-1.615775517297505515e-01
47,2.169326944786922548e-02
48,9.601175603135003733e-02
49,-2.546172302948079835e-01
50,3.773497681601412079e-01
51,-3.144711912785824737e-01
52,1.144736186598185324e-01
53,3.276646379020105304e-02
54,-1.265990462767220270e-01
55,3.086019564600093745e-01
56,-4.826865554523662172e-01
57,4.260767083059416316e-01
58,-2.881988090941363101e-01
59,3.417626255500371690e-01
60,-3.030562426570249102e-01
61,-1.879075716681592040e-02
62,-1.602379754010380131e-01
63,7.247039727512147138e-03
