freq_hz,stage,equalized_real,equalized_imag,residual_real,residual_imag,residual_abs_percent
5569000000.000000,after_h1,9.114262254740e-01,4.117208963789e-01,-8.857377452596e-02,4.117208963789e-01,42.114060603
5570000000.000000,after_h1,9.131469905232e-01,4.121727880044e-01,-8.685300947676e-02,4.121727880044e-01,42.122423058
5571000000.000000,after_h1,9.087067947963e-01,4.172410460707e-01,-9.129320520369e-02,4.172410460707e-01,42.711185870
5572000000.000000,after_h1,9.093611894957e-01,4.177339675495e-01,-9.063881050432e-02,4.177339675495e-01,42.745416317
5573000000.000000,after_h1,9.097748959953e-01,4.175963197177e-01,-9.022510400473e-02,4.175963197177e-01,42.723208638
5574000000.000000,after_h1,9.100889542927e-01,4.180049654019e-01,-8.991104570732e-02,4.180049654019e-01,42.756537189
5575000000.000000,after_h1,9.085786515126e-01,4.203697557185e-01,-9.142134848737e-02,4.203697557185e-01,43.019599543
5576000000.000000,after_h1,9.083891566373e-01,4.246059133572e-01,-9.161084336271e-02,4.246059133572e-01,43.437625197
5577000000.000000,after_h1,9.081176840798e-01,4.210706989168e-01,-9.188231592025e-02,4.210706989168e-01,43.097899423
5578000000.000000,after_h1,9.069305954372e-01,4.271555003848e-01,-9.306940456283e-02,4.271555003848e-01,43.717700714
5579000000.000000,after_h1,9.088436640494e-01,4.262356706296e-01,-9.115633595059e-02,4.262356706296e-01,43.587420720
5580000000.000000,after_h1,9.093099936250e-01,4.246456849379e-01,-9.069000637496e-02,4.246456849379e-01,43.422187300
5581000000.000000,after_h1,9.068207538648e-01,4.274098714982e-01,-9.317924613517e-02,4.274098714982e-01,43.744893435
5582000000.000000,after_h1,9.090831710820e-01,4.268446330965e-01,-9.091682891802e-02,4.268446330965e-01,43.641976420
5583000000.000000,after_h1,9.083455349146e-01,4.270065205310e-01,-9.165446508537e-02,4.270065205310e-01,43.673230880
5584000000.000000,after_h1,9.077274699236e-01,4.310192826060e-01,-9.227253007636e-02,4.310192826060e-01,44.078548273
5585000000.000000,after_h1,9.097196561132e-01,4.261721892805e-01,-9.028034388681e-02,4.261721892805e-01,43.562974578
5586000000.000000,after_h1,9.099136921024e-01,4.299889958062e-01,-9.008630789760e-02,4.299889958062e-01,43.932457180
5587000000.000000,after_h1,9.080183990019e-01,4.306834553364e-01,-9.198160099808e-02,4.306834553364e-01,44.039624615
5588000000.000000,after_h1,9.103683347325e-01,4.290268225466e-01,-8.963166526751e-02,4.290268225466e-01,43.828968717
5589000000.000000,after_h1,9.078602285283e-01,4.299181269380e-01,-9.213977147172e-02,4.299181269380e-01,43.968094496
5590000000.000000,after_h1,9.111040224615e-01,4.294733043506e-01,-8.889597753849e-02,4.294733043506e-01,43.857703311
5591000000.000000,after_h1,9.094057736187e-01,4.301618287002e-01,-9.059422638125e-02,4.301618287002e-01,43.959812639
5592000000.000000,after_h1,9.112429207077e-01,4.287869035860e-01,-8.875707929229e-02,4.287869035860e-01,43.787672673
5593000000.000000,after_h1,9.109752041977e-01,4.282832012057e-01,-8.902479580231e-02,4.282832012057e-01,43.743789811
5594000000.000000,after_h1,9.105633770288e-01,4.276582410078e-01,-8.943662297116e-02,4.276582410078e-01,43.691015167
5595000000.000000,after_h1,9.125485288760e-01,4.261592504633e-01,-8.745147112397e-02,4.261592504633e-01,43.503961493
5596000000.000000,after_h1,9.137239428768e-01,4.273458673169e-01,-8.627605712318e-02,4.273458673169e-01,43.596794417
5597000000.000000,after_h1,9.137826321195e-01,4.296510522599e-01,-8.621736788046e-02,4.296510522599e-01,43.821622657
5598000000.000000,after_h1,9.164097961699e-01,4.217435993558e-01,-8.359020383012e-02,4.217435993558e-01,42.994765469
5599000000.000000,after_h1,9.184344421786e-01,4.250498269250e-01,-8.156555782144e-02,4.250498269250e-01,43.280514737
5600000000.000000,after_h1,9.180380406432e-01,4.199242807316e-01,-8.196195935678e-02,4.199242807316e-01,42.784829593
5601000000.000000,after_h1,9.191257020659e-01,4.219117847617e-01,-8.087429793409e-02,4.219117847617e-01,42.959307046
5602000000.000000,after_h1,9.174753693756e-01,4.250895316551e-01,-8.252463062441e-02,4.250895316551e-01,43.302589366
5603000000.000000,after_h1,9.188802627030e-01,4.198322418219e-01,-8.111973729702e-02,4.198322418219e-01,42.759738429
5604000000.000000,after_h1,9.222406809967e-01,4.166809347610e-01,-7.775931900327e-02,4.166809347610e-01,42.387440721
5605000000.000000,after_h1,9.204432688133e-01,4.157876968462e-01,-7.955673118669e-02,4.157876968462e-01,42.333046468
5606000000.000000,after_h1,9.233107139118e-01,4.137537741747e-01,-7.668928608824e-02,4.137537741747e-01,42.080094135
5607000000.000000,after_h1,9.237253091577e-01,4.097566771374e-01,-7.627469084228e-02,4.097566771374e-01,41.679534897
5608000000.000000,after_h1,9.251699411224e-01,4.093096263140e-01,-7.483005887763e-02,4.093096263140e-01,41.609362877
5609000000.000000,after_h1,9.250986425906e-01,4.107878310135e-01,-7.490135740945e-02,4.107878310135e-01,41.756060093
5610000000.000000,after_h1,9.282987313325e-01,4.066910540138e-01,-7.170126866748e-02,4.066910540138e-01,41.296329782
5611000000.000000,after_h1,9.318706815546e-01,4.052897415667e-01,-6.812931844545e-02,4.052897415667e-01,41.097612905
5612000000.000000,after_h1,9.306912651368e-01,4.017479832271e-01,-6.930873486318e-02,4.017479832271e-01,40.768264956
5613000000.000000,after_h1,9.320159043637e-01,4.022473334290e-01,-6.798409563628e-02,4.022473334290e-01,40.795190220
5614000000.000000,after_h1,9.331183118547e-01,3.943427306970e-01,-6.688168814528e-02,3.943427306970e-01,39.997418600
5615000000.000000,after_h1,9.336401243899e-01,3.935699255881e-01,-6.635987561009e-02,3.935699255881e-01,39.912519266
5616000000.000000,after_h1,9.369063488189e-01,3.891844739777e-01,-6.309365118111e-02,3.891844739777e-01,39.426560033
5617000000.000000,after_h1,9.357401157623e-01,3.904916757362e-01,-6.425988423771e-02,3.904916757362e-01,39.574370689
5618000000.000000,after_h1,9.426432429077e-01,3.864344027350e-01,-5.735675709228e-02,3.864344027350e-01,39.066781951
5619000000.000000,after_h1,9.433429833770e-01,3.807762327929e-01,-5.665701662301e-02,3.807762327929e-01,38.496825453
5620000000.000000,after_h1,9.440924971975e-01,3.762430420002e-01,-5.590750280248e-02,3.762430420002e-01,38.037412573
5621000000.000000,after_h1,9.430931215810e-01,3.750903186864e-01,-5.690687841900e-02,3.750903186864e-01,37.938257733
5622000000.000000,after_h1,9.494648576935e-01,3.690827425607e-01,-5.053514230650e-02,3.690827425607e-01,37.252633660
5623000000.000000,after_h1,9.484536881168e-01,3.670283634319e-01,-5.154631188319e-02,3.670283634319e-01,37.063033043
5624000000.000000,after_h1,9.502720002653e-01,3.651458810912e-01,-4.972799973474e-02,3.651458810912e-01,36.851646969
5625000000.000000,after_h1,9.503692569031e-01,3.597135345993e-01,-4.963074309693e-02,3.597135345993e-01,36.312124371
5626000000.000000,after_h1,9.542411764423e-01,3.560341151568e-01,-4.575882355769e-02,3.560341151568e-01,35.896261795
5627000000.000000,after_h1,9.554953608444e-01,3.551300567909e-01,-4.450463915561e-02,3.551300567909e-01,35.790783750
5628000000.000000,after_h1,9.562382835811e-01,3.493620544738e-01,-4.376171641886e-02,3.493620544738e-01,35.209222219
5629000000.000000,after_h1,9.609396233453e-01,3.466695960900e-01,-3.906037665471e-02,3.466695960900e-01,34.886318504
5630000000.000000,after_h1,9.627885121262e-01,3.412009862437e-01,-3.721148787375e-02,3.412009862437e-01,34.322413645
5631000000.000000,after_h1,9.615167939129e-01,3.382327840416e-01,-3.848320608708e-02,3.382327840416e-01,34.041500165
5632000000.000000,after_h1,9.645325976645e-01,3.299842592425e-01,-3.546740233546e-02,3.299842592425e-01,33.188484144
5633000000.000000,after_h1,9.661015561541e-01,3.254566046925e-01,-3.389844384589e-02,3.254566046925e-01,32.721721537
5634000000.000000,after_h1,9.688423179056e-01,3.210936714224e-01,-3.115768209443e-02,3.210936714224e-01,32.260183970
5635000000.000000,after_h1,9.702203232127e-01,3.184849886443e-01,-2.977967678731e-02,3.184849886443e-01,31.987422081
5636000000.000000,after_h1,9.743726255689e-01,3.127162911177e-01,-2.562737443109e-02,3.127162911177e-01,31.376462683
5637000000.000000,after_h1,9.765911123085e-01,3.074062400436e-01,-2.340888769152e-02,3.074062400436e-01,30.829624137
5638000000.000000,after_h1,9.772340066929e-01,3.002488818937e-01,-2.276599330714e-02,3.002488818937e-01,30.111074629
5639000000.000000,after_h1,9.769195824488e-01,3.007482412583e-01,-2.308041755118e-02,3.007482412583e-01,30.163257499
5640000000.000000,after_h1,9.805192241613e-01,2.931340576646e-01,-1.948077583867e-02,2.931340576646e-01,29.378066034
5641000000.000000,after_h1,9.834782608471e-01,2.887267731260e-01,-1.652173915290e-02,2.887267731260e-01,28.919909644
5642000000.000000,after_h1,9.853255873065e-01,2.829615066308e-01,-1.467441269351e-02,2.829615066308e-01,28.334175940
5643000000.000000,after_h1,9.861555341860e-01,2.776163759844e-01,-1.384446581401e-02,2.776163759844e-01,27.796136683
5644000000.000000,after_h1,9.883349918363e-01,2.731893242168e-01,-1.166500816371e-02,2.731893242168e-01,27.343825497
5645000000.000000,after_h1,9.912886115299e-01,2.678190305158e-01,-8.711388470074e-03,2.678190305158e-01,26.796067136
5646000000.000000,after_h1,9.921476453746e-01,2.601119670557e-01,-7.852354625411e-03,2.601119670557e-01,26.023046493
5647000000.000000,after_h1,9.926767365448e-01,2.560147141560e-01,-7.323263455183e-03,2.560147141560e-01,25.611943318
5648000000.000000,after_h1,9.938172481163e-01,2.476109121808e-01,-6.182751883713e-03,2.476109121808e-01,24.768809065
5649000000.000000,after_h1,9.959507173398e-01,2.452334049807e-01,-4.049282660151e-03,2.452334049807e-01,24.526683349
5650000000.000000,after_h1,9.968183791416e-01,2.404453292464e-01,-3.181620858409e-03,2.404453292464e-01,24.046637825
5651000000.000000,after_h1,1.000806299687e+00,2.324611097931e-01,8.062996870810e-04,2.324611097931e-01,23.246250813
5652000000.000000,after_h1,1.000272238523e+00,2.295540345543e-01,2.722385226177e-04,2.295540345543e-01,22.955419598
5653000000.000000,after_h1,1.001366129584e+00,2.231369123652e-01,1.366129584101e-03,2.231369123652e-01,22.314109431
5654000000.000000,after_h1,1.005284909811e+00,2.184563916471e-01,5.284909810632e-03,2.184563916471e-01,21.852030872
5655000000.000000,after_h1,1.005594718922e+00,2.129984316382e-01,5.594718922468e-03,2.129984316382e-01,21.307189575
5656000000.000000,after_h1,1.009878792373e+00,2.040853112411e-01,9.878792373484e-03,2.040853112411e-01,20.432426386
5657000000.000000,after_h1,1.008607428700e+00,1.987994112161e-01,8.607428699517e-03,1.987994112161e-01,19.898566212
5658000000.000000,after_h1,1.009683828168e+00,1.949825248161e-01,9.683828167840e-03,1.949825248161e-01,19.522285090
5659000000.000000,after_h1,1.013576454007e+00,1.895419494594e-01,1.357645400667e-02,1.895419494594e-01,19.002755250
5660000000.000000,after_h1,1.015239421396e+00,1.816416441280e-01,1.523942139640e-02,1.816416441280e-01,18.227980373
5661000000.000000,after_h1,1.013924155723e+00,1.742313348057e-01,1.392415572333e-02,1.742313348057e-01,17.478684201
5662000000.000000,after_h1,1.013990353312e+00,1.687107534010e-01,1.399035331222e-02,1.687107534010e-01,16.928983519
5663000000.000000,after_h1,1.017825265098e+00,1.636436118650e-01,1.782526509812e-02,1.636436118650e-01,16.461157851
5664000000.000000,after_h1,1.018980186597e+00,1.554352989510e-01,1.898018659691e-02,1.554352989510e-01,15.658984528
5665000000.000000,after_h1,1.019383655698e+00,1.525122649519e-01,1.938365569758e-02,1.525122649519e-01,15.373912016
5666000000.000000,after_h1,1.021988657836e+00,1.437898063827e-01,2.198865783556e-02,1.437898063827e-01,14.546136770
5667000000.000000,after_h1,1.021714959876e+00,1.429991296974e-01,2.171495987632e-02,1.429991296974e-01,14.463848235
5668000000.000000,after_h1,1.023914282307e+00,1.337334093767e-01,2.391428230675e-02,1.337334093767e-01,13.585476687
5669000000.000000,after_h1,1.024703167302e+00,1.278374342305e-01,2.470316730241e-02,1.278374342305e-01,13.020236582
5670000000.000000,after_h1,1.022973768868e+00,1.209116959198e-01,2.297376886798e-02,1.209116959198e-01,12.307490510
5671000000.000000,after_h1,1.027236858031e+00,1.134567121701e-01,2.723685803068e-02,1.134567121701e-01,11.668021243
5672000000.000000,after_h1,1.027043934936e+00,1.101335820136e-01,2.704393493572e-02,1.101335820136e-01,11.340538040
5673000000.000000,after_h1,1.028361234496e+00,1.037291736896e-01,2.836123449583e-02,1.037291736896e-01,10.753651053
5674000000.000000,after_h1,1.029293413860e+00,9.942918792251e-02,2.929341386030e-02,9.942918792251e-02,10.365455854
5675000000.000000,after_h1,1.029726809556e+00,9.539950034537e-02,2.972680955554e-02,9.539950034537e-02,9.992371026
5676000000.000000,after_h1,1.030934214531e+00,8.166832124998e-02,3.093421453097e-02,8.166832124998e-02,8.733063795
5677000000.000000,after_h1,1.030995997335e+00,8.108831678365e-02,3.099599733486e-02,8.108831678365e-02,8.681052338
5678000000.000000,after_h1,1.030387984527e+00,7.598906422195e-02,3.038798452686e-02,7.598906422195e-02,8.183988933
5679000000.000000,after_h1,1.032692057968e+00,7.193783203294e-02,3.269205796779e-02,7.193783203294e-02,7.901786084
5680000000.000000,after_h1,1.032472965279e+00,6.436895387948e-02,3.247296527850e-02,6.436895387948e-02,7.209615591
5681000000.000000,after_h1,1.034578120839e+00,5.841360897240e-02,3.457812083930e-02,5.841360897240e-02,6.788074951
5682000000.000000,after_h1,1.033843241257e+00,4.933277094951e-02,3.384324125700e-02,4.933277094951e-02,5.982547341
5683000000.000000,after_h1,1.034254139299e+00,4.782164416480e-02,3.425413929858e-02,4.782164416480e-02,5.882393824
5684000000.000000,after_h1,1.033570744976e+00,4.508443050901e-02,3.357074497599e-02,4.508443050901e-02,5.621032639
