subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,2.550645781574e+02,1.093133906389e+02,2.414601810666e+02,1.245043201301e+02,2.470272559678e+02,1.272616332612e+02,2.470644913446e+02,1.272888457699e+02
1,19389,3550231933.593750,1.093133906389e+02,3.643779687963e+01,1.043758158788e+02,4.294294814040e+01,1.067792192388e+02,4.388655532240e+01,1.067955047967e+02,4.389645505438e+01
2,19390,3550415039.062500,1.821889843981e+02,-2.550645781574e+02,1.946350736626e+02,-2.376583928490e+02,1.990008976918e+02,-2.431688904277e+02,1.990394185101e+02,-2.432032159160e+02
3,19391,3550598144.531250,-3.643779687963e+01,1.093133906389e+02,-4.244146363427e+01,1.047100417793e+02,-4.337425725968e+01,1.071228338658e+02,-4.338400486884e+01,1.071389974575e+02
4,19392,3550781250.000000,2.550645781574e+02,-2.550645781574e+02,2.649583404336e+02,-2.345877331296e+02,2.709394179561e+02,-2.400583545583e+02,2.709890429591e+02,-2.400898996761e+02
5,19393,3550964355.468750,-1.821889843981e+02,-2.550645781574e+02,-1.639918727508e+02,-2.603298428418e+02,-1.678455375207e+02,-2.662334904540e+02,-1.678654713191e+02,-2.662802686891e+02
6,19394,3551147460.937500,-2.550645781574e+02,3.643779687963e+01,-2.519584186530e+02,2.126262812919e+01,-2.577254947588e+02,2.184332559743e+01,-2.577669362582e+02,2.184016989646e+01
7,19395,3551330566.406250,-1.093133906389e+02,-1.821889843981e+02,-9.672276182268e+01,-1.846242582192e+02,-9.900898097603e+01,-1.888217812501e+02,-9.901974737322e+01,-1.888541078162e+02
8,19396,3551513671.875000,-2.550645781574e+02,1.821889843981e+02,-2.600461843441e+02,1.638593854216e+02,-2.659506596654e+02,1.677144990459e+02,-2.659966809153e+02,1.677339724341e+02
9,19397,3551696777.343750,-1.821889843981e+02,1.821889843981e+02,-1.886530345653e+02,1.679079552015e+02,-1.929200953710e+02,1.718310628985e+02,-1.929545969557e+02,1.718529057131e+02
10,19398,3551879882.812500,-1.093133906389e+02,-2.550645781574e+02,-9.237521024024e+01,-2.557271862033e+02,-9.459068928440e+01,-2.615638797209e+02,-9.459863874414e+01,-2.616068712356e+02
11,19399,3552062988.281250,-1.821889843981e+02,-1.821889843981e+02,-1.676884528033e+02,-1.886247653530e+02,-1.716096746922e+02,-1.928948128134e+02,-1.716311800207e+02,-1.929289634849e+02
12,19400,3552246093.750000,-2.550645781574e+02,3.643779687963e+01,-2.515314945936e+02,2.071995876979e+01,-2.573031684631e+02,2.128923334329e+01,-2.573431615579e+02,2.128588751596e+01
13,19401,3552429199.218750,3.643779687963e+01,1.821889843981e+02,2.479607260188e+01,1.802973283019e+02,2.543284436846e+01,1.844324804996e+02,2.543198325348e+01,1.844612457954e+02
14,19402,3552612304.687500,-2.550645781574e+02,1.093133906389e+02,-2.559724056963e+02,9.145536456970e+01,-2.618247727185e+02,9.365328759542e+01,-2.618668562070e+02,9.366075435963e+01
15,19403,3552795410.156250,-2.550645781574e+02,1.821889843981e+02,-2.605394879718e+02,1.624362201773e+02,-2.664730636202e+02,1.662696385014e+02,-2.665174823465e+02,1.662878440263e+02
16,19404,3552978515.625000,-3.643779687963e+01,2.550645781574e+02,-5.154075122720e+01,2.470540855458e+02,-5.263540643464e+01,2.527590784352e+02,-5.264978321374e+01,2.527955855415e+02
17,19405,3553161621.093750,-1.821889843981e+02,2.550645781574e+02,-1.941967581064e+02,2.378120862623e+02,-1.985798976133e+02,2.433595201733e+02,-1.986157186604e+02,2.433906566686e+02
18,19406,3553344726.562500,3.643779687963e+01,1.093133906389e+02,2.863414481251e+01,1.091755088162e+02,2.933415864069e+01,1.116796477031e+02,2.933563211964e+01,1.116969330002e+02
19,19407,3553527832.031250,3.643779687963e+01,-1.093133906389e+02,4.267408058378e+01,-1.044918904816e+02,4.361872792125e+01,-1.069155789970e+02,4.362789294895e+01,-1.069301914034e+02
20,19408,3553710937.500000,1.821889843981e+02,-1.821889843981e+02,1.899631357315e+02,-1.661755112148e+02,1.942808436138e+02,-1.700768039026e+02,1.943136313817e+02,-1.700966916186e+02
21,19409,3553894042.968750,-1.093133906389e+02,1.821889843981e+02,-1.188606537968e+02,1.708502098115e+02,-1.215386331241e+02,1.748345818406e+02,-1.215607963428e+02,1.748568812863e+02
22,19410,3554077148.437500,-3.643779687963e+01,1.093133906389e+02,-4.286184161467e+01,1.044360864737e+02,-4.381208375387e+01,1.068616012102e+02,-4.382116095753e+01,1.068759204997e+02
23,19411,3554260253.906250,1.821889843981e+02,-3.643779687963e+01,1.805480378123e+02,-2.360663360125e+01,1.847067997705e+02,-2.421843992041e+01,1.847339565293e+02,-2.421717439562e+01
24,19412,3554443359.375000,-3.643779687963e+01,1.821889843981e+02,-4.760986036620e+01,1.758082883519e+02,-4.864413458608e+01,1.798857569994e+02,-4.865570120349e+01,1.799101928322e+02
25,19413,3554626464.843750,3.643779687963e+01,-3.643779687963e+01,3.803548737694e+01,-3.326879731497e+01,3.890186104042e+01,-3.405147354646e+01,3.890825659351e+01,-3.405530674183e+01
26,19414,3554809570.312500,-1.821889843981e+02,-2.550645781574e+02,-1.617096501249e+02,-2.615109170509e+02,-1.655439958488e+02,-2.674950355988e+02,-1.655604742568e+02,-2.675370178181e+02
27,19415,3554992675.781250,-3.643779687963e+01,1.821889843981e+02,-4.748676496810e+01,1.760154983267e+02,-4.851952097515e+01,1.801029072893e+02,-4.853094889977e+01,1.801269078965e+02
28,19416,3555175781.250000,1.821889843981e+02,1.821889843981e+02,1.665109895453e+02,1.900282999264e+02,1.704331092214e+02,1.943622896010e+02,1.704518602392e+02,1.943937450211e+02
29,19417,3555358886.718750,-2.550645781574e+02,3.643779687963e+01,-2.517576602011e+02,1.924229343195e+01,-2.575766367697e+02,1.978089155067e+01,-2.576128059697e+02,1.977701365451e+01
30,19418,3555541992.187500,3.643779687963e+01,1.821889843981e+02,2.395418008730e+01,1.803702680261e+02,2.457560340405e+01,1.845372672913e+02,2.457424429238e+01,1.845632879282e+02
31,19419,3555725097.656250,-2.550645781574e+02,2.550645781574e+02,-2.653361012588e+02,2.328523297961e+02,-2.713954369778e+02,2.383439127241e+02,-2.714386647415e+02,2.383695277059e+02
32,19420,3555908203.125000,-3.643779687963e+01,1.821889843981e+02,-4.711089609293e+01,1.754995355640e+02,-4.813749565621e+01,1.795836166493e+02,-4.814864858254e+01,1.796067779854e+02
33,19421,3556091308.593750,3.643779687963e+01,2.550645781574e+02,1.912795073569e+01,2.512341667615e+02,1.966447776953e+01,2.570511234508e+02,1.966052940197e+01,2.570863296363e+02
34,19422,3556274414.062500,1.093133906389e+02,2.550645781574e+02,8.967557754051e+01,2.562511077623e+02,9.185028505638e+01,2.621608019862e+02,9.185587127606e+01,2.621983267239e+02
35,19423,3556457519.531250,2.550645781574e+02,-1.821889843981e+02,2.616056659773e+02,-1.602614081983e+02,2.676160249585e+02,-1.640767337412e+02,2.676559068465e+02,-1.640917270813e+02
36,19424,3556640625.000000,1.821889843981e+02,-1.093133906389e+02,1.857252871216e+02,-9.374839173457e+01,1.900016073495e+02,-9.599331620807e+01,1.900292330763e+02,-9.600114692871e+01
37,19425,3556823730.468750,-3.643779687963e+01,-1.821889843981e+02,-2.216447403560e+01,-1.806546605435e+02,-2.274613567520e+01,-1.848416463888e+02,-2.274438010649e+01,-1.848665489155e+02
38,19426,3557006835.937500,1.821889843981e+02,1.093133906389e+02,1.697197625417e+02,1.206304235705e+02,1.737074676708e+02,1.233700560251e+02,1.737270033570e+02,1.233906434238e+02
