subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,2.550645781574e+02,1.093133906389e+02,2.414601810666e+02,1.245043201301e+02,2.470338991712e+02,1.272646954483e+02,2.470036783737e+02,1.272470494309e+02
1,19389,3550231933.593750,1.093133906389e+02,3.643779687963e+01,1.043758158788e+02,4.294294814040e+01,1.067821468129e+02,4.388761473231e+01,1.067690331585e+02,4.388139559931e+01
2,19390,3550415039.062500,1.821889843981e+02,-2.550645781574e+02,1.946350736626e+02,-2.376583928490e+02,1.990061078932e+02,-2.431758287494e+02,1.989795526252e+02,-2.431466763433e+02
3,19391,3550598144.531250,-3.643779687963e+01,1.093133906389e+02,-4.244146363427e+01,1.047100417793e+02,-4.337535862457e+01,1.071259087936e+02,-4.336922046601e+01,1.071127953843e+02
4,19392,3550781250.000000,2.550645781574e+02,-2.550645781574e+02,2.649583404336e+02,-2.345877331296e+02,2.709469682093e+02,-2.400656015649e+02,2.709115360820e+02,-2.400374215976e+02
5,19393,3550964355.468750,-1.821889843981e+02,-2.550645781574e+02,-1.639918727508e+02,-2.603298428418e+02,-1.678508023468e+02,-2.662411613806e+02,-1.678316460296e+02,-2.662068545945e+02
6,19394,3551147460.937500,-2.550645781574e+02,3.643779687963e+01,-2.519584186530e+02,2.126262812919e+01,-2.577332508197e+02,2.184428207785e+01,-2.577010306960e+02,2.184327613517e+01
7,19395,3551330566.406250,-1.093133906389e+02,-1.821889843981e+02,-9.672276182268e+01,-1.846242582192e+02,-9.901225257601e+01,-1.888274915189e+02,-9.900120658757e+01,-1.888033747698e+02
8,19396,3551513671.875000,-2.550645781574e+02,1.821889843981e+02,-2.600461843441e+02,1.638593854216e+02,-2.659588440459e+02,1.677200886452e+02,-2.659247457181e+02,1.677010554651e+02
9,19397,3551696777.343750,-1.821889843981e+02,1.821889843981e+02,-1.886530345653e+02,1.679079552015e+02,-1.929261010188e+02,1.718368107137e+02,-1.929010742385e+02,1.718168186406e+02
10,19398,3551879882.812500,-1.093133906389e+02,-2.550645781574e+02,-9.237521024024e+01,-2.557271862033e+02,-9.459409452464e+01,-2.615723534814e+02,-9.458414181110e+01,-2.615393974027e+02
11,19399,3552062988.281250,-1.821889843981e+02,-1.821889843981e+02,-1.676884528033e+02,-1.886247653530e+02,-1.716156408415e+02,-1.929010713521e+02,-1.715957495025e+02,-1.928761317764e+02
12,19400,3552246093.750000,-2.550645781574e+02,3.643779687963e+01,-2.515314945936e+02,2.071995876979e+01,-2.573119252545e+02,2.129025641159e+01,-2.572800927609e+02,2.128934405001e+01
13,19401,3552429199.218750,3.643779687963e+01,1.821889843981e+02,2.479607260188e+01,1.802973283019e+02,2.543394161743e+01,1.844388669448e+02,2.543204009854e+01,1.844160213586e+02
14,19402,3552612304.687500,-2.550645781574e+02,1.093133906389e+02,-2.559724056963e+02,9.145536456970e+01,-2.618339451286e+02,9.365690883261e+01,-2.618011861527e+02,9.364715352461e+01
15,19403,3552795410.156250,-2.550645781574e+02,1.821889843981e+02,-2.605394879718e+02,1.624362201773e+02,-2.664824925650e+02,1.662759484471e+02,-2.664487369342e+02,1.662573462160e+02
16,19404,3552978515.625000,-3.643779687963e+01,2.550645781574e+02,-5.154075122720e+01,2.470540855458e+02,-5.263705013131e+01,2.527684309270e+02,-5.262893229904e+01,2.527378636366e+02
17,19405,3553161621.093750,-1.821889843981e+02,2.550645781574e+02,-1.941967581064e+02,2.378120862623e+02,-1.985870480009e+02,2.433688554755e+02,-1.985611827744e+02,2.433404589656e+02
18,19406,3553344726.562500,3.643779687963e+01,1.093133906389e+02,2.863414481251e+01,1.091755088162e+02,2.933540431097e+01,1.116838663991e+02,2.933257065076e+01,1.116700579976e+02
19,19407,3553527832.031250,3.643779687963e+01,-1.093133906389e+02,4.267408058378e+01,-1.044918904816e+02,4.362029428914e+01,-1.069197706383e+02,4.361427596451e+01,-1.069070501326e+02
20,19408,3553710937.500000,1.821889843981e+02,-1.821889843981e+02,1.899631357315e+02,-1.661755112148e+02,1.942883006913e+02,-1.700837274090e+02,1.942635694833e+02,-1.700643576183e+02
21,19409,3553894042.968750,-1.093133906389e+02,1.821889843981e+02,-1.188606537968e+02,1.708502098115e+02,-1.215432990033e+02,1.748417236303e+02,-1.215273981680e+02,1.748213289426e+02
22,19410,3554077148.437500,-3.643779687963e+01,1.093133906389e+02,-4.286184161467e+01,1.044360864737e+02,-4.381374388887e+01,1.068660012710e+02,-4.380772978660e+01,1.068533554375e+02
23,19411,3554260253.906250,1.821889843981e+02,-3.643779687963e+01,1.805480378123e+02,-2.360663360125e+01,1.847144107711e+02,-2.421965436901e+01,1.846919270173e+02,-2.421795480648e+01
