section,fs_hz,total_bits,frac_bits,r_float,theta_rad_float,b0,b1,b2,a0,a1,a2,b0_int,b1_int,b2_int,a0_int,a1_int,a2_int
1,24000000000.000000,18,15,0.318909806584,1.387536755335,0.101715087891,-0.116241455078,1.000000000000,1.000000000000,-0.116241455078,0.101715087891,3333,-3809,32768,32768,-3809,3333
2,24000000000.000000,18,15,0.980000000000,1.444707628086,0.960388183594,-0.246490478516,1.000000000000,1.000000000000,-0.246490478516,0.960388183594,31470,-8077,32768,32768,-8077,31470
3,24000000000.000000,18,15,0.317708250761,1.447030922025,0.100952148438,-0.078430175781,1.000000000000,1.000000000000,-0.078430175781,0.100952148438,3308,-2570,32768,32768,-2570,3308
4,24000000000.000000,18,15,0.317633714871,1.449703293148,0.100891113281,-0.076751708984,1.000000000000,1.000000000000,-0.076751708984,0.100891113281,3306,-2515,32768,32768,-2515,3306
5,24000000000.000000,18,15,0.317563076709,1.452608569412,0.100860595703,-0.074890136719,1.000000000000,1.000000000000,-0.074890136719,0.100860595703,3305,-2454,32768,32768,-2454,3305
6,24000000000.000000,18,15,0.317497321208,1.455687126996,0.100799560547,-0.072937011719,1.000000000000,1.000000000000,-0.072937011719,0.100799560547,3303,-2390,32768,32768,-2390,3303
7,24000000000.000000,18,15,0.317384887461,1.459621490339,0.100738525391,-0.070434570312,1.000000000000,1.000000000000,-0.070434570312,0.100738525391,3301,-2308,32768,32768,-2308,3301
8,24000000000.000000,18,15,0.317309254088,1.463213727168,0.100677490234,-0.068145751953,1.000000000000,1.000000000000,-0.068145751953,0.100677490234,3299,-2233,32768,32768,-2233,3299
9,24000000000.000000,18,15,0.317284965057,1.466138723309,0.100677490234,-0.066284179688,1.000000000000,1.000000000000,-0.066284179688,0.100677490234,3299,-2172,32768,32768,-2172,3299
10,24000000000.000000,18,15,0.317284633050,1.470504820727,0.100677490234,-0.063537597656,1.000000000000,1.000000000000,-0.063537597656,0.100677490234,3299,-2082,32768,32768,-2082,3299
11,24000000000.000000,18,15,0.317242915205,1.474548594731,0.100646972656,-0.060974121094,1.000000000000,1.000000000000,-0.060974121094,0.100646972656,3298,-1998,32768,32768,-1998,3298
12,24000000000.000000,18,15,0.317237617794,1.479365667580,0.100646972656,-0.057922363281,1.000000000000,1.000000000000,-0.057922363281,0.100646972656,3298,-1898,32768,32768,-1898,3298
13,24000000000.000000,18,15,0.317431840537,1.484037767960,0.100769042969,-0.055023193359,1.000000000000,1.000000000000,-0.055023193359,0.100769042969,3302,-1803,32768,32768,-1803,3302
14,24000000000.000000,18,15,0.317771217297,1.487783774829,0.100982666016,-0.052703857422,1.000000000000,1.000000000000,-0.052703857422,0.100982666016,3309,-1727,32768,32768,-1727,3309
15,24000000000.000000,18,15,0.317641227003,1.491278804839,0.100891113281,-0.050476074219,1.000000000000,1.000000000000,-0.050476074219,0.100891113281,3306,-1654,32768,32768,-1654,3306
16,24000000000.000000,18,15,0.317548434301,1.493941344537,0.100830078125,-0.048767089844,1.000000000000,1.000000000000,-0.048767089844,0.100830078125,3304,-1598,32768,32768,-1598,3304
17,24000000000.000000,18,15,0.317468828902,1.496217753724,0.100799560547,-0.047302246094,1.000000000000,1.000000000000,-0.047302246094,0.100799560547,3303,-1550,32768,32768,-1550,3303
18,24000000000.000000,18,15,0.980000000000,1.498200244781,0.960388183594,-0.142150878906,1.000000000000,1.000000000000,-0.142150878906,0.960388183594,31470,-4658,32768,32768,-4658,31470
19,24000000000.000000,18,15,0.316611765410,1.499866534706,0.100250244141,-0.044891357422,1.000000000000,1.000000000000,-0.044891357422,0.100250244141,3285,-1471,32768,32768,-1471,3285
20,24000000000.000000,18,15,0.316501907633,1.501515599949,0.100158691406,-0.043823242188,1.000000000000,1.000000000000,-0.043823242188,0.100158691406,3282,-1436,32768,32768,-1436,3282
21,24000000000.000000,18,15,0.316301289227,1.503198704130,0.100036621094,-0.042724609375,1.000000000000,1.000000000000,-0.042724609375,0.100036621094,3278,-1400,32768,32768,-1400,3278
22,24000000000.000000,18,15,0.316180397082,1.504872727144,0.099975585938,-0.041656494141,1.000000000000,1.000000000000,-0.041656494141,0.099975585938,3276,-1365,32768,32768,-1365,3276
23,24000000000.000000,18,15,0.316087594240,1.506543850412,0.099914550781,-0.040588378906,1.000000000000,1.000000000000,-0.040588378906,0.099914550781,3274,-1330,32768,32768,-1330,3274
24,24000000000.000000,18,15,0.315985424961,1.508210672621,0.099853515625,-0.039520263672,1.000000000000,1.000000000000,-0.039520263672,0.099853515625,3272,-1295,32768,32768,-1295,3272
25,24000000000.000000,18,15,0.315924143294,1.509903325521,0.099822998047,-0.038452148438,1.000000000000,1.000000000000,-0.038452148438,0.099822998047,3271,-1260,32768,32768,-1260,3271
26,24000000000.000000,18,15,0.315843726215,1.511565668426,0.099761962891,-0.037384033203,1.000000000000,1.000000000000,-0.037384033203,0.099761962891,3269,-1225,32768,32768,-1225,3269
27,24000000000.000000,18,15,0.315800044455,1.513247976166,0.099731445312,-0.036315917969,1.000000000000,1.000000000000,-0.036315917969,0.099731445312,3268,-1190,32768,32768,-1190,3268
28,24000000000.000000,18,15,0.315730599723,1.514923430283,0.099700927734,-0.035278320312,1.000000000000,1.000000000000,-0.035278320312,0.099700927734,3267,-1156,32768,32768,-1156,3267
29,24000000000.000000,18,15,0.315689895592,1.516626281793,0.099670410156,-0.034179687500,1.000000000000,1.000000000000,-0.034179687500,0.099670410156,3266,-1120,32768,32768,-1120,3266
30,24000000000.000000,18,15,0.315630876424,1.518306076736,0.099609375000,-0.033111572266,1.000000000000,1.000000000000,-0.033111572266,0.099609375000,3264,-1085,32768,32768,-1085,3264
31,24000000000.000000,18,15,0.315585552287,1.519950287622,0.099609375000,-0.032073974609,1.000000000000,1.000000000000,-0.032073974609,0.099609375000,3264,-1051,32768,32768,-1051,3264
32,24000000000.000000,18,15,0.315527664986,1.521674626476,0.099548339844,-0.030975341797,1.000000000000,1.000000000000,-0.030975341797,0.099548339844,3262,-1015,32768,32768,-1015,3262
33,24000000000.000000,18,15,0.315468486591,1.523591629749,0.099517822266,-0.029785156250,1.000000000000,1.000000000000,-0.029785156250,0.099517822266,3261,-976,32768,32768,-976,3261
34,24000000000.000000,18,15,0.315429436580,1.525464166263,0.099487304688,-0.028594970703,1.000000000000,1.000000000000,-0.028594970703,0.099487304688,3260,-937,32768,32768,-937,3260
35,24000000000.000000,18,15,0.315399322964,1.527318037923,0.099487304688,-0.027404785156,1.000000000000,1.000000000000,-0.027404785156,0.099487304688,3260,-898,32768,32768,-898,3260
36,24000000000.000000,18,15,0.315345530480,1.529183529593,0.099456787109,-0.026245117188,1.000000000000,1.000000000000,-0.026245117188,0.099456787109,3259,-860,32768,32768,-860,3259
37,24000000000.000000,18,15,0.315312966362,1.531037644837,0.099426269531,-0.025054931641,1.000000000000,1.000000000000,-0.025054931641,0.099426269531,3258,-821,32768,32768,-821,3258
38,24000000000.000000,18,15,0.315257829819,1.532911080792,0.099395751953,-0.023895263672,1.000000000000,1.000000000000,-0.023895263672,0.099395751953,3257,-783,32768,32768,-783,3257
39,24000000000.000000,18,15,0.315213329395,1.534771401227,0.099365234375,-0.022705078125,1.000000000000,1.000000000000,-0.022705078125,0.099365234375,3256,-744,32768,32768,-744,3256
40,24000000000.000000,18,15,0.315176091514,1.536624306651,0.099334716797,-0.021545410156,1.000000000000,1.000000000000,-0.021545410156,0.099334716797,3255,-706,32768,32768,-706,3255
41,24000000000.000000,18,15,0.315136349346,1.538472024729,0.099304199219,-0.020355224609,1.000000000000,1.000000000000,-0.020355224609,0.099304199219,3254,-667,32768,32768,-667,3254
42,24000000000.000000,18,15,0.315100557031,1.540302772214,0.099273681641,-0.019226074219,1.000000000000,1.000000000000,-0.019226074219,0.099273681641,3253,-630,32768,32768,-630,3253
43,24000000000.000000,18,15,0.315053279617,1.542216845646,0.099273681641,-0.018005371094,1.000000000000,1.000000000000,-0.018005371094,0.099273681641,3253,-590,32768,32768,-590,3253
44,24000000000.000000,18,15,0.314981892180,1.544145467288,0.099212646484,-0.016784667969,1.000000000000,1.000000000000,-0.016784667969,0.099212646484,3251,-550,32768,32768,-550,3251
45,24000000000.000000,18,15,0.314925790817,1.546077516740,0.099182128906,-0.015563964844,1.000000000000,1.000000000000,-0.015563964844,0.099182128906,3250,-510,32768,32768,-510,3250
