freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
5511000000.000000,1.000000000000e+00,1.000000000000e+00,-6.846725012528e-14,-2.434592109650,-2.435626841496,-1.034731845290e-03,3.092824708,10.716302927,10.715438742,13.809127635,13.808263450
5512000000.000000,1.000000000000e+00,1.000000000000e+00,1.716502890465e-13,-2.501972151277,-2.503001323241,-1.029171963165e-03,2.790896993,10.730797137,10.729891908,13.521694130,13.520788901
5513000000.000000,1.000000000000e+00,1.000000000000e+00,-1.186122783861e-13,-2.569439283462,-2.570462639863,-1.023356401748e-03,2.390239939,10.744016510,10.743070984,13.134256449,13.133310923
5514000000.000000,1.000000000000e+00,1.000000000000e+00,-8.003917972392e-14,-2.636985444633,-2.638002734760,-1.017290126531e-03,2.176432881,10.755945926,10.754960935,12.932378807,12.931393816
5515000000.000000,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,-2.704602486282,-2.705613464919,-1.010978637299e-03,2.859837121,10.766572868,10.765549329,13.626409989,13.625386450
5516000000.000000,1.000000000000e+00,1.000000000000e+00,-4.435906346145e-14,-2.772282189538,-2.773286617491,-1.004427953677e-03,2.800002200,10.775887486,10.774826397,13.575889686,13.574828597
5517000000.000000,1.000000000000e+00,1.000000000000e+00,-1.417561375833e-13,-2.840016282130,-2.841013926728,-9.976445979580e-04,2.499003557,10.783882654,10.782785092,13.282886211,13.281788649
5518000000.000000,1.000000000000e+00,1.000000000000e+00,-1.166836234529e-13,-2.907796455636,-2.908787091211,-9.906355752500e-04,2.350314804,10.790554009,10.789421125,13.140868813,13.139735929
5519000000.000000,1.000000000000e+00,1.000000000000e+00,9.836140158843e-14,-2.975614382943,-2.976597791294,-9.834083511020e-04,2.467515299,10.795899974,10.794732991,13.263415273,13.262248290
5520000000.000000,1.000000000000e+00,1.000000000000e+00,8.871812692290e-14,-3.043461735830,-3.044437706657,-9.759708267190e-04,2.959398061,10.799921776,10.798721984,13.759319837,13.758120045
5521000000.000000,1.000000000000e+00,1.000000000000e+00,2.121520426417e-14,-3.111330202591,-3.112298533903,-9.683313119515e-04,2.837656984,10.802623441,10.801392192,13.640280425,13.639049176
5522000000.000000,1.000000000000e+00,1.000000000000e+00,-4.725204586111e-14,-3.179211505595,-3.180172004091,-9.604984962617e-04,2.512898157,10.804011778,10.802750483,13.316909935,13.315648640
5523000000.000000,1.000000000000e+00,1.000000000000e+00,7.714619732426e-14,-3.247097418711,-3.248049900129,-9.524814178641e-04,2.351263005,10.804096352,10.802806476,13.155359357,13.154069481
5524000000.000000,1.000000000000e+00,1.000000000000e+00,5.207368319388e-14,-3.314979784513,-3.315924073944,-9.442894312599e-04,2.485767834,10.802889443,10.801572496,13.288657277,13.287340330
5525000000.000000,1.000000000000e+00,1.000000000000e+00,1.832222186451e-13,-3.382850531158,-3.383786463331,-9.359321733999e-04,2.847087681,10.800405984,10.799063519,13.647493665,13.646151200
5526000000.000000,1.000000000000e+00,1.000000000000e+00,3.278713386281e-14,-3.450701688888,-3.451629108416,-9.274195287459e-04,2.462930670,10.796663496,10.795297105,13.259594166,13.258227775
5527000000.000000,1.000000000000e+00,1.000000000000e+00,2.892982399660e-14,-3.518525406051,-3.519444167644,-9.187615934758e-04,2.252559008,10.791682011,10.790293313,13.044241019,13.042852321
5528000000.000000,1.000000000000e+00,1.000000000000e+00,5.785964799320e-15,-3.586313964586,-3.587223933225,-9.099686390872e-04,3.124478632,10.785483972,10.784074613,13.909962604,13.908553245
5529000000.000000,1.000000000000e+00,1.000000000000e+00,1.735789439796e-14,-3.654059794893,-3.654960845969,-9.010510756391e-04,2.540885151,10.778094137,10.776665783,13.318979288,13.317550934
5530000000.000000,1.000000000000e+00,1.000000000000e+00,9.257543678912e-14,-3.721755490030,-3.722647509445,-8.920194149939e-04,2.097959437,10.769539467,10.768093795,12.867498904,12.866053232
5531000000.000000,1.000000000000e+00,1.000000000000e+00,1.581497045147e-13,-3.789393819177,-3.790276703412,-8.828842341111e-04,2.970599957,10.759849000,10.758387697,13.730448957,13.728987654
5532000000.000000,1.000000000000e+00,1.000000000000e+00,-3.664444372902e-14,-3.856967740322,-3.857841396461,-8.736561388885e-04,2.514397892,10.749053731,10.747578483,13.263451623,13.261976375
5533000000.000000,1.000000000000e+00,1.000000000000e+00,-1.436847925164e-13,-3.924470412113,-3.925334757842,-8.643457285635e-04,2.352115288,10.737186470,10.735698962,13.089301758,13.087814250
5534000000.000000,1.000000000000e+00,1.000000000000e+00,2.160093525079e-13,-3.991895204859,-3.992750168420,-8.549635610517e-04,2.355511902,10.724281707,10.722783613,13.079793609,13.078295515
5535000000.000000,1.000000000000e+00,1.000000000000e+00,-9.836140158844e-14,-4.059235710620,-4.060081230739,-8.455201193618e-04,2.533854068,10.710375467,10.708868446,13.244229535,13.242722514
