tap_index,coeff_float
0,-4.702146209994477744e-01
1,-1.047752239428591858e+00
2,-1.187940906586199441e+00
3,-2.548405284438469698e-01
4,9.667835825135923100e-01
5,2.226719683509860714e-01
6,-2.017182961797777951e-01
7,-9.693572525424489772e-01
8,8.631087301978138671e-01
9,2.013567152128724891e-01
10,-2.313953928790443704e-01
11,-4.499712241730419171e-01
12,1.572364370257878230e-01
13,7.806294021047162079e-01
14,-7.400427837192148361e-01
15,-1.451953142256132701e-01
16,3.608965511751358601e-01
17,1.839619066323779362e-01
18,-1.691777353802638439e-01
19,-5.670922705511779460e-01
20,7.185084403302309797e-01
21,8.721473246603136942e-02
22,-6.077150902545567224e-01
23,1.845421017487126891e-01
24,1.916604278654996940e-01
25,2.163431579826702311e-01
26,-5.387861890609393356e-01
27,-6.634964237284607380e-02
28,7.688907244765901261e-01
29,-4.278801377521147531e-01
30,-3.969058976142989525e-01
31,3.612414878914137484e-01
32,3.612414878914137484e-01
33,-3.969058976142989525e-01
34,-4.278801377521147531e-01
35,7.688907244765901261e-01
36,-6.634964237284607380e-02
37,-5.387861890609393356e-01
38,2.163431579826702311e-01
39,1.916604278654996940e-01
40,1.845421017487126891e-01
41,-6.077150902545567224e-01
42,8.721473246603136942e-02
43,7.185084403302309797e-01
44,-5.670922705511779460e-01
45,-1.691777353802638439e-01
46,1.839619066323779362e-01
47,3.608965511751358601e-01
48,-1.451953142256132701e-01
49,-7.400427837192148361e-01
50,7.806294021047162079e-01
51,1.572364370257878230e-01
52,-4.499712241730419171e-01
53,-2.313953928790443704e-01
54,2.013567152128724891e-01
55,8.631087301978138671e-01
56,-9.693572525424489772e-01
57,-2.017182961797777951e-01
58,2.226719683509860714e-01
59,9.667835825135923100e-01
60,-2.548405284438469698e-01
61,-1.187940906586199441e+00
62,-1.047752239428591858e+00
63,-4.702146209994477744e-01
