subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,15156,5550292968.750000,1.344342184910e+02,-2.240570308183e+02,1.660715780861e+02,-2.064928622435e+02,1.672226581692e+02,-2.081469169762e+02,1.672043957705e+02,-2.081251220421e+02
1,15157,5550659179.687500,2.240570308183e+02,-2.240570308183e+02,2.569523138143e+02,-1.934775334242e+02,2.587586572331e+02,-1.950497902335e+02,2.587307891209e+02,-1.950296752236e+02
2,15158,5551025390.625000,3.136798431456e+02,4.481140616365e+01,3.089508749266e+02,9.044767168764e+01,3.112436908246e+02,9.094221310323e+01,3.112110199541e+02,9.093192466546e+01
3,15159,5551391601.562500,2.240570308183e+02,2.240570308183e+02,1.926886847111e+02,2.576571519581e+02,1.941940032795e+02,2.593870645754e+02,1.941741481512e+02,2.593593557711e+02
4,15160,5551757812.500000,1.344342184910e+02,2.240570308183e+02,1.024711770009e+02,2.445654911340e+02,1.033120463696e+02,2.462110281316e+02,1.033017657707e+02,2.461850111989e+02
5,15161,5552124023.437500,4.481140616365e+01,-1.344342184910e+02,6.469567885857e+01,-1.283889022900e+02,6.506739800969e+01,-1.292947987219e+02,6.506032635371e+01,-1.292814542658e+02
6,15162,5552490234.375000,1.344342184910e+02,4.481140616365e+01,1.282134041319e+02,6.514014251791e+01,1.290980599807e+02,6.550468064772e+01,1.290847927361e+02,6.549759208494e+01
7,15163,5552856445.312500,-2.240570308183e+02,-3.136798431456e+02,-1.767453690692e+02,-3.491433281951e+02,-1.780735010697e+02,-3.513108586359e+02,-1.780558509820e+02,-3.512741234543e+02
8,15164,5553222656.250000,2.240570308183e+02,-4.481140616365e+01,2.317960980816e+02,-1.001796230820e+01,2.332551159422e+02,-1.020323741206e+01,2.332310634241e+02,-1.020269884293e+01
9,15165,5553588867.187500,-2.240570308183e+02,2.240570308183e+02,-2.601912169395e+02,1.893513053956e+02,-2.616943721209e+02,1.906546322153e+02,-2.616671061282e+02,1.906356481684e+02
10,15166,5553955078.125000,-4.481140616365e+01,2.240570308183e+02,-8.084322029172e+01,2.175548384979e+02,-8.121408855820e+01,2.189034230954e+02,-8.120531085539e+01,2.188812388372e+02
11,15167,5554321289.062500,2.240570308183e+02,1.344342184910e+02,2.032663837949e+02,1.708506741474e+02,2.045447465042e+02,1.717427045667e+02,2.045243162350e+02,1.717247842547e+02
12,15168,5554687500.000000,-2.240570308183e+02,-4.481140616365e+01,-2.177686029581e+02,-8.093406506140e+01,-2.190504818158e+02,-8.128012071942e+01,-2.190284715660e+02,-8.127140603482e+01
13,15169,5555053710.937500,3.136798431456e+02,1.344342184910e+02,2.934853044518e+02,1.853967079589e+02,2.952073371168e+02,1.862686034947e+02,2.951779704479e+02,1.862491668565e+02
