tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,3550048828.125000,4.345475146293e-02,4.389432897969e-02,4.341082329905e-02,4.342663516715e-02,0.087422879,-0.008784958,-0.005621804,2.317264130766,-2.923442304772,-0.947866797573,-0.947866797573,1.042478871642,1.975575507198,1.975575507198,3.018054378840,3.018054378840
1,3567993164.062500,4.345475146293e-02,4.373904781722e-02,4.354465225315e-02,4.356724378367e-02,0.056641081,0.017951126,0.022456309,4.804997241251,-0.299581326978,1.304866703351,1.304866703351,1.178606738950,1.604448030329,1.604448030329,2.783054769279,2.783054769279
2,3586120605.468750,4.345475146293e-02,4.352909687316e-02,4.357272986559e-02,4.360155747336e-02,0.014847726,0.023549987,0.029294649,2.643880855760,-2.371470910999,-1.141937372609,-1.141937372609,1.267833540420,1.229533538390,1.229533538390,2.497367078810,2.497367078810
3,3604064941.406250,4.345475146293e-02,4.336738990285e-02,4.352538875427e-02,4.355915565490e-02,-0.017479715,0.014107769,0.020843650,3.495091993387,-1.457456062949,-0.599050001428,-0.599050001428,1.330637250844,0.858406061521,0.858406061521,2.189043312365,2.189043312365
4,3622009277.343750,4.345475146293e-02,4.330398796874e-02,4.344443236812e-02,4.348141416546e-02,-0.030187538,-0.002062862,0.005327801,3.808979966006,-1.083676756683,-0.596398172031,-0.596398172031,1.390528584491,0.487278584652,0.487278584652,1.877807169142,1.877807169142
5,3639953613.281250,4.345475146293e-02,4.336888714008e-02,4.338738316378e-02,4.342552165457e-02,-0.017179844,-0.013476263,-0.005844524,1.217165662328,-3.586540770163,-3.470389662380,-3.470389662380,1.479478874689,0.116151107783,0.116151107783,1.595629982471,1.595629982471
6,3658081054.687500,4.345475146292e-02,4.352032403899e-02,4.335895411622e-02,4.339596496595e-02,0.013097000,-0.019169451,-0.011758409,0.213627176805,-4.455319087710,-4.714082471867,-4.714082471867,1.614239042665,-0.258763384156,-0.258763384156,1.355475658508,1.355475658508
7,3676025390.625000,4.345475146293e-02,4.366139585393e-02,4.332058849050e-02,4.335418744320e-02,0.041206913,-0.026858453,-0.020124388,2.107831305114,-2.377775506862,-3.007666367887,-3.007666367887,1.797578495204,-0.629890861026,-0.629890861026,1.167687634178,1.167687634178
8,3693969726.562500,4.345475146293e-02,4.387671874617e-02,4.340030102054e-02,4.342855617676e-02,0.083937434,-0.010890572,-0.005237585,5.116050848495,-5.428915409796,-0.146748440511,-0.146748440511,2.021404356069,-1.001018337895,-1.001018337895,1.020386018174,1.020386018174
9,3712097167.968750,4.345475146294e-02,4.403135487089e-02,4.349202727108e-02,4.351332909160e-02,0.114495576,0.007447627,0.011700819,3.827506873713,-6.466086641234,-1.558834163888,-1.558834163888,2.272777099412,-1.375932829834,-1.375932829834,0.896844269578,0.896844269578
