freq_hz,h1_db,h2_target_db,h2_float_db,h2_fixed_db,h2_float_phase_rad,h2_fixed_phase_rad,htotal_float_db,htotal_fixed_db
3500000000.000000,-0.164100602,0.164100602,0.157503047,0.162240157,-1.178097245096,-1.178097245096,-0.006597555,-0.001860445
3501000000.000000,-0.175570512,0.175570512,0.158423494,0.163130235,-1.194590606528,-1.194590606528,-0.017147018,-0.012440277
3502000000.000000,-0.154273784,0.154273784,0.159314552,0.163990757,-1.211083967959,-1.211083967959,0.005040768,0.009716973
3503000000.000000,-0.165442206,0.165442206,0.160177036,0.164822545,-1.227577329390,-1.227577329390,-0.005265170,-0.000619661
3504000000.000000,-0.158579868,0.158579868,0.161011757,0.165626419,-1.244070690822,-1.244070690822,0.002431889,0.007046551
3505000000.000000,-0.154807545,0.154807545,0.161819523,0.166403196,-1.260564052253,-1.260564052253,0.007011978,0.011595651
3506000000.000000,-0.169569100,0.169569100,0.162601139,0.167153688,-1.277057413684,-1.277057413684,-0.006967961,-0.002415412
3507000000.000000,-0.166967694,0.166967694,0.163357406,0.167878703,-1.293550775116,-1.293550775116,-0.003610288,0.000911009
3508000000.000000,-0.156279824,0.156279824,0.164089121,0.168579048,-1.310044136547,-1.310044136547,0.007809297,0.012299224
3509000000.000000,-0.165279751,0.165279751,0.164797076,0.169255524,-1.326537497978,-1.326537497978,-0.000482675,0.003975773
3510000000.000000,-0.150140734,0.150140734,0.165482060,0.169908925,-1.343030859410,-1.343030859410,0.015341326,0.019768191
3511000000.000000,-0.179439056,0.179439056,0.166144856,0.170540045,-1.359524220841,-1.359524220841,-0.013294200,-0.008899011
3512000000.000000,-0.184513000,0.184513000,0.166786241,0.171149669,-1.376017582272,-1.376017582272,-0.017726759,-0.013363331
3513000000.000000,-0.173532709,0.173532709,0.167406990,0.171738580,-1.392510943704,-1.392510943704,-0.006125719,-0.001794129
3514000000.000000,-0.175354634,0.175354634,0.168007871,0.172307554,-1.409004305135,-1.409004305135,-0.007346763,-0.003047080
