freq_hz,h1_db,h2_target_db,h2_float_db,h2_fixed_db,h2_float_phase_rad,h2_fixed_phase_rad,htotal_float_db,htotal_fixed_db
5500000000.000000,-0.277289155,0.277289155,0.263569212,0.262979036,-0.327249234749,-0.327249234749,-0.013719943,-0.014310119
5501000000.000000,-0.288613798,0.288613798,0.265304094,0.264698028,-0.337590310567,-0.337590310567,-0.023309704,-0.023915770
5502000000.000000,-0.270425438,0.270425438,0.266926197,0.266304223,-0.347931386385,-0.347931386385,-0.003499241,-0.004121215
5503000000.000000,-0.282910591,0.282910591,0.268437367,0.267799468,-0.358272462203,-0.358272462203,-0.014473224,-0.015111123
5504000000.000000,-0.264355900,0.264355900,0.269839428,0.269185588,-0.368613538021,-0.368613538021,0.005483528,0.004829688
5505000000.000000,-0.268307730,0.268307730,0.271134189,0.270464392,-0.378954613839,-0.378954613839,0.002826459,0.002156662
5506000000.000000,-0.270349037,0.270349037,0.272323441,0.271637673,-0.389295689657,-0.389295689657,0.001974404,0.001288636
5507000000.000000,-0.266387857,0.266387857,0.273408955,0.272707204,-0.399636765475,-0.399636765475,0.007021098,0.006319347
5508000000.000000,-0.270837720,0.270837720,0.274392488,0.273674741,-0.409977841293,-0.409977841293,0.003554768,0.002837021
5509000000.000000,-0.282109232,0.282109232,0.275275777,0.274542023,-0.420318917112,-0.420318917112,-0.006833455,-0.007567209
5510000000.000000,-0.279347177,0.279347177,0.276060543,0.275310773,-0.430659992930,-0.430659992930,-0.003286634,-0.004036404
5511000000.000000,-0.282183467,0.282183467,0.276748491,0.275982695,-0.441001068748,-0.441001068748,-0.005434976,-0.006200772
5512000000.000000,-0.274238040,0.274238040,0.277341308,0.276559478,-0.451342144566,-0.451342144566,0.003103268,0.002321438
5513000000.000000,-0.268435584,0.268435584,0.277840665,0.277042795,-0.461683220384,-0.461683220384,0.009405081,0.008607211
5514000000.000000,-0.264625948,0.264625948,0.278248216,0.277434300,-0.472024296202,-0.472024296202,0.013622268,0.012808352
5515000000.000000,-0.269087352,0.269087352,0.278565599,0.277735633,-0.482365372020,-0.482365372020,0.009478247,0.008648281
5516000000.000000,-0.275882906,0.275882906,0.278794436,0.277948418,-0.492706447838,-0.492706447838,0.002911530,0.002065512
5517000000.000000,-0.290128678,0.290128678,0.278936334,0.278074261,-0.503047523656,-0.503047523656,-0.011192344,-0.012054417
5518000000.000000,-0.275855476,0.275855476,0.278992883,0.278114755,-0.513388599474,-0.513388599474,0.003137407,0.002259279
5519000000.000000,-0.279627019,0.279627019,0.278965657,0.278071474,-0.523729675292,-0.523729675292,-0.000661362,-0.001555545
5520000000.000000,-0.283820076,0.283820076,0.278856216,0.277945979,-0.534070751110,-0.534070751110,-0.004963860,-0.005874097
5521000000.000000,-0.268122826,0.268122826,0.278666102,0.277739815,-0.544411826928,-0.544411826928,0.010543276,0.009616989
5522000000.000000,-0.265623792,0.265623792,0.278396845,0.277454511,-0.554752902746,-0.554752902746,0.012773053,0.011830719
5523000000.000000,-0.262693003,0.262693003,0.278049957,0.277091582,-0.565093978564,-0.565093978564,0.015356954,0.014398579
