tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,3.172251356086433494e-02,260,3.173828125000000000e-02,1.576768913566506392e-05,0
1,1.400346995065396283e-01,1147,1.400146484375000000e-01,-2.005106903962827758e-05,0
2,1.961880899460316519e-01,1607,1.961669921875000000e-01,-2.109775853165185566e-05,0
3,2.528472736219858699e-02,207,2.526855468750000000e-02,-1.617267469858699180e-05,0
4,-3.216176131077577022e-02,-263,-3.210449218750000000e-02,5.726912327577021733e-05,0
5,-1.207328699411217982e-01,-989,-1.207275390625000000e-01,5.330878621798151862e-06,0
6,-1.499065596371701725e-01,-1228,-1.499023437500000000e-01,4.215887170172516463e-06,0
7,1.293546758515716766e-01,1060,1.293945312500000000e-01,3.985539842832341861e-05,0
8,2.117566014559739418e-01,1735,2.117919921875000000e-01,3.539073152605820560e-05,0
9,-7.168736962983979222e-02,-587,-7.165527343750000000e-02,3.209619233979221775e-05,0
10,-1.495246715853315866e-01,-1225,-1.495361328125000000e-01,-1.146122716841335709e-05,0
11,-1.511547162486947052e-02,-124,-1.513671875000000000e-02,-2.124712513052948171e-05,0
12,1.939162824236348448e-02,159,1.940917968750000000e-02,1.755144513651551996e-05,0
13,9.367520167891990601e-02,767,9.362792968750000000e-02,-4.727199141990601206e-05,0
14,1.116931516556485537e-01,915,1.116943359375000000e-01,1.184281851446256084e-06,0
15,-1.371440704023149937e-01,-1123,-1.370849609375000000e-01,5.910946481499368410e-05,0
16,-1.937748450078171369e-01,-1587,-1.937255859375000000e-01,4.925907031713694373e-05,0
17,1.341924511896651628e-01,1099,1.341552734375000000e-01,-3.717775216516283621e-05,0
18,2.047724376167671945e-01,1677,2.047119140625000000e-01,-6.052355426719446818e-05,0
19,-8.894028634863619664e-02,-729,-8.898925781250000000e-02,-4.897146386380335503e-05,0
20,-1.495084677492423131e-01,-1225,-1.495361328125000000e-01,-2.766506325768691710e-05,0
21,1.714720552346830559e-02,140,1.708984375000000000e-02,-5.736177346830559354e-05,0
22,5.174839576981005856e-02,424,5.175781250000000000e-02,9.416730189941435736e-06,0
23,5.970599113786166645e-02,489,5.969238281250000000e-02,-1.360832536166645124e-05,0
24,5.652511073025453386e-02,463,5.651855468750000000e-02,-6.556042754533863981e-06,0
25,-1.207785826734663892e-01,-989,-1.207275390625000000e-01,5.104361096638920792e-05,0
26,-1.453233853640932827e-01,-1190,-1.452636718750000000e-01,5.971348909328266785e-05,0
27,1.512277399938204148e-01,1239,1.512451171875000000e-01,1.737719367958523442e-05,0
28,1.941709354726578740e-01,1591,1.942138671875000000e-01,4.293171484212598976e-05,0
29,-1.455295989863119865e-01,-1192,-1.455078125000000000e-01,2.178648631198654151e-05,0
30,-1.958650481907946439e-01,-1605,-1.959228515625000000e-01,-5.780337170535609914e-05,0
31,1.082574832477606191e-01,887,1.082763671875000000e-01,1.888393973938085058e-05,0
32,1.563984439394974224e-01,1281,1.563720703125000000e-01,-2.637362699742240579e-05,0
33,-5.236522153786909300e-02,-429,-5.236816406250000000e-02,-2.942524630906995231e-06,0
34,-9.174110656217107640e-02,-752,-9.179687500000000000e-02,-5.576843782892360046e-05,0
35,-4.480799607954435645e-03,-37,-4.516601562500000000e-03,-3.580195454556435453e-05,0
36,2.267502881730365516e-02,186,2.270507812500000000e-02,3.004930769634484022e-05,0
37,4.461257400216461777e-02,365,4.455566406250000000e-02,-5.690993966461777021e-05,0
38,3.092221393695776532e-02,253,3.088378906250000000e-02,-3.842487445776532340e-05,0
39,-5.502409838355504235e-02,-451,-5.505371093750000000e-02,-2.961255394495765358e-05,0
40,-5.502409838355504235e-02,-451,-5.505371093750000000e-02,-2.961255394495765358e-05,0
41,3.092221393695776532e-02,253,3.088378906250000000e-02,-3.842487445776532340e-05,0
42,4.461257400216461777e-02,365,4.455566406250000000e-02,-5.690993966461777021e-05,0
43,2.267502881730365516e-02,186,2.270507812500000000e-02,3.004930769634484022e-05,0
44,-4.480799607954435645e-03,-37,-4.516601562500000000e-03,-3.580195454556435453e-05,0
45,-9.174110656217107640e-02,-752,-9.179687500000000000e-02,-5.576843782892360046e-05,0
46,-5.236522153786909300e-02,-429,-5.236816406250000000e-02,-2.942524630906995231e-06,0
47,1.563984439394974224e-01,1281,1.563720703125000000e-01,-2.637362699742240579e-05,0
48,1.082574832477606191e-01,887,1.082763671875000000e-01,1.888393973938085058e-05,0
49,-1.958650481907946439e-01,-1605,-1.959228515625000000e-01,-5.780337170535609914e-05,0
50,-1.455295989863119865e-01,-1192,-1.455078125000000000e-01,2.178648631198654151e-05,0
51,1.941709354726578740e-01,1591,1.942138671875000000e-01,4.293171484212598976e-05,0
52,1.512277399938204148e-01,1239,1.512451171875000000e-01,1.737719367958523442e-05,0
53,-1.453233853640932827e-01,-1190,-1.452636718750000000e-01,5.971348909328266785e-05,0
54,-1.207785826734663892e-01,-989,-1.207275390625000000e-01,5.104361096638920792e-05,0
55,5.652511073025453386e-02,463,5.651855468750000000e-02,-6.556042754533863981e-06,0
56,5.970599113786166645e-02,489,5.969238281250000000e-02,-1.360832536166645124e-05,0
57,5.174839576981005856e-02,424,5.175781250000000000e-02,9.416730189941435736e-06,0
58,1.714720552346830559e-02,140,1.708984375000000000e-02,-5.736177346830559354e-05,0
59,-1.495084677492423131e-01,-1225,-1.495361328125000000e-01,-2.766506325768691710e-05,0
60,-8.894028634863619664e-02,-729,-8.898925781250000000e-02,-4.897146386380335503e-05,0
61,2.047724376167671945e-01,1677,2.047119140625000000e-01,-6.052355426719446818e-05,0
62,1.341924511896651628e-01,1099,1.341552734375000000e-01,-3.717775216516283621e-05,0
63,-1.937748450078171369e-01,-1587,-1.937255859375000000e-01,4.925907031713694373e-05,0
64,-1.371440704023149937e-01,-1123,-1.370849609375000000e-01,5.910946481499368410e-05,0
65,1.116931516556485537e-01,915,1.116943359375000000e-01,1.184281851446256084e-06,0
