tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
0,6.128058168551366036e-02,251,6.127929687500000000e-02,-1.284810513660361586e-06,0
1,-1.313620916440062236e-01,-538,-1.313476562500000000e-01,1.443539400622362301e-05,0
2,-6.577934082939887288e-03,-27,-6.591796875000000000e-03,-1.386279206011271220e-05,0
3,-2.681416044048008929e-01,-1098,-2.680664062500000000e-01,7.519815480089286908e-05,0
4,2.831936682352396151e-01,1160,2.832031250000000000e-01,9.456764760384928081e-06,0
5,-1.349928269766369759e-01,-553,-1.350097656250000000e-01,-1.693864836302405585e-05,0
6,1.858027665042326360e-01,761,1.857910156250000000e-01,-1.175087923263595791e-05,0
7,-2.602930861294566744e-01,-1066,-2.602539062500000000e-01,3.917987945667444905e-05,0
8,1.094773972522206512e-01,448,1.093750000000000000e-01,-1.023972522206512137e-04,0
9,9.149499419169186687e-02,375,9.155273437500000000e-02,5.774018330813313060e-05,0
10,-1.132997289138107933e-01,-464,-1.132812500000000000e-01,1.847891381079325157e-05,0
11,6.212832499430914063e-02,254,6.201171875000000000e-02,-1.166062443091406275e-04,0
12,-1.099802846741920609e-01,-450,-1.098632812500000000e-01,1.170034241920608897e-04,0
13,1.651098527715315345e-01,676,1.650390625000000000e-01,-7.079027153153449881e-05,0
14,-6.866656290507808236e-02,-281,-6.860351562500000000e-02,6.304728007808235724e-05,0
15,-9.917559508801193635e-02,-406,-9.912109375000000000e-02,5.450133801193635108e-05,0
16,1.475080486416233960e-01,604,1.474609375000000000e-01,-4.711114162339602451e-05,0
17,-7.586712937646941657e-02,-311,-7.592773437500000000e-02,-6.060499853058343156e-05,0
18,3.300759221162916091e-02,135,3.295898437500000000e-02,-4.860783662916090542e-05,0
19,-4.950327809997071699e-02,-203,-4.956054687500000000e-02,-5.726877502928301444e-05,0
20,1.461628079571032288e-02,60,1.464843750000000000e-02,3.215670428967712380e-05,0
21,9.570590136002644910e-02,392,9.570312500000000000e-02,-2.776360026449098406e-06,0
22,-1.521269894506004083e-01,-623,-1.520996093750000000e-01,2.738007560040833788e-05,0
23,7.477936085151466739e-02,306,7.470703125000000000e-02,-7.232960151466738541e-05,0
24,4.057657438328956395e-02,166,4.052734375000000000e-02,-4.923063328956395202e-05,0
25,-7.233585315946346184e-02,-296,-7.226562500000000000e-02,7.022815946346183669e-05,0
26,4.283729705128771353e-02,175,4.272460937500000000e-02,-1.126876762877135341e-04,0
27,-4.489036230701221736e-02,-184,-4.492187500000000000e-02,-3.151269298778264227e-05,0
28,7.163248675663090592e-02,293,7.153320312500000000e-02,-9.928363163090592192e-05,0
29,-3.507630358940975329e-02,-144,-3.515625000000000000e-02,-7.994641059024670815e-05,0
30,-6.909873811088762530e-02,-283,-6.909179687500000000e-02,6.941235887625296641e-06,0
31,1.294173465434347303e-01,530,1.293945312500000000e-01,-2.281529343473032156e-05,0
32,-7.518810381766259654e-02,-308,-7.519531250000000000e-02,-7.208682337403460316e-06,0
33,-2.345370884340675088e-02,-96,-2.343750000000000000e-02,1.620884340675088353e-05,0
34,6.150270194851802097e-02,252,6.152343750000000000e-02,2.073555148197903097e-05,0
35,-4.058876499540117061e-02,-166,-4.052734375000000000e-02,6.142124540117060993e-05,0
36,3.580857443322072592e-02,147,3.588867187500000000e-02,8.009744177927408115e-05,0
37,-5.806266148531118165e-02,-238,-5.810546875000000000e-02,-4.280726468881834723e-05,0
38,3.537034916242359078e-02,145,3.540039062500000000e-02,3.004146257640921691e-05,0
39,5.938699446096883106e-02,243,5.932617187500000000e-02,-6.082258596883105550e-05,0
40,-1.360461071101155828e-01,-557,-1.359863281250000000e-01,5.977898511558277228e-05,0
41,9.105154448905483644e-02,373,9.106445312500000000e-02,1.290863594516356017e-05,0
42,4.947353142336844561e-02,203,4.956054687500000000e-02,8.701545163155438578e-05,0
43,-1.439461074470918811e-01,-590,-1.440429687500000000e-01,-9.686130290811889587e-05,0
44,9.440700539517260514e-02,387,9.448242187500000000e-02,7.541647982739485556e-05,0
45,4.331880514422960932e-02,177,4.321289062500000000e-02,-1.059145192296093163e-04,0
46,-1.228612721552598541e-01,-503,-1.228027343750000000e-01,5.853778025985412192e-05,0
47,6.448904393509238830e-02,264,6.445312500000000000e-02,-3.591893509238830440e-05,0
48,6.448904393509238830e-02,264,6.445312500000000000e-02,-3.591893509238830440e-05,0
49,-1.228612721552598541e-01,-503,-1.228027343750000000e-01,5.853778025985412192e-05,0
50,4.331880514422960932e-02,177,4.321289062500000000e-02,-1.059145192296093163e-04,0
51,9.440700539517260514e-02,387,9.448242187500000000e-02,7.541647982739485556e-05,0
52,-1.439461074470918811e-01,-590,-1.440429687500000000e-01,-9.686130290811889587e-05,0
53,4.947353142336844561e-02,203,4.956054687500000000e-02,8.701545163155438578e-05,0
54,9.105154448905483644e-02,373,9.106445312500000000e-02,1.290863594516356017e-05,0
55,-1.360461071101155828e-01,-557,-1.359863281250000000e-01,5.977898511558277228e-05,0
56,5.938699446096883106e-02,243,5.932617187500000000e-02,-6.082258596883105550e-05,0
57,3.537034916242359078e-02,145,3.540039062500000000e-02,3.004146257640921691e-05,0
58,-5.806266148531118165e-02,-238,-5.810546875000000000e-02,-4.280726468881834723e-05,0
59,3.580857443322072592e-02,147,3.588867187500000000e-02,8.009744177927408115e-05,0
60,-4.058876499540117061e-02,-166,-4.052734375000000000e-02,6.142124540117060993e-05,0
61,6.150270194851802097e-02,252,6.152343750000000000e-02,2.073555148197903097e-05,0
