criterion,combo_folder,tap_num,regularization,fixed_format,fixed_saturation_count,fixed_dense_ripple_db,behavior_fixed_ripple_db,qam_fixed_magnitude_only_evm_percent,max_abs_coeff
best_fixed_dense,tap096_reg1em04_q2_14,96,0.0001,Q2.14,0,0.063701016,0.044651432,0.103985580,0.294284638
best_fixed_dense_unsaturated,tap096_reg1em04_q2_14,96,0.0001,Q2.14,0,0.063701016,0.044651432,0.103985580,0.294284638
best_behavior_fixed,tap096_reg1em04_q2_14,96,0.0001,Q2.14,0,0.063701016,0.044651432,0.103985580,0.294284638
best_behavior_fixed_unsaturated,tap096_reg1em04_q2_14,96,0.0001,Q2.14,0,0.063701016,0.044651432,0.103985580,0.294284638
best_qam_fixed,tap096_reg1em04_q2_14,96,0.0001,Q2.14,0,0.063701016,0.044651432,0.103985580,0.294284638
best_qam_fixed_unsaturated,tap096_reg1em04_q2_14,96,0.0001,Q2.14,0,0.063701016,0.044651432,0.103985580,0.294284638
lowest_tap_dense_pass,tap064_reg1em04_q3_13,64,0.0001,Q3.13,0,0.092782830,0.073246275,0.157280717,0.482686555
lowest_tap_behavior_pass,tap064_reg1em04_q3_13,64,0.0001,Q3.13,0,0.092782830,0.073246275,0.157280717,0.482686555
