tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,5550292968.750000,3.970356521320e-02,3.863086028552e-02,3.973098622331e-02,3.972463370592e-02,-0.237902532,0.005996783,0.004607900,1.589659299712,-1.354410135294,-2.201742773003,-2.201742773003,-2.944069435006,-0.847332637708,-0.847332637708,2.491783234465,2.491783234465
1,5568237304.687500,3.970356521320e-02,3.879812998441e-02,3.971680233115e-02,3.970923598151e-02,-0.200374252,0.002895382,0.001240497,2.212215165690,-1.045422864808,-2.078319240951,-2.078319240951,-3.257638030498,-1.032896376143,-1.032896376143,1.992650900539,1.992650900539
2,5586181640.625000,3.970356521319e-02,3.900034623776e-02,3.970376545527e-02,3.969509820563e-02,-0.155220874,0.000043807,-0.001852512,4.098328171774,0.505319822425,-0.713140292153,-0.713140292153,-3.593008349350,-1.218460114577,-1.218460114577,1.471716843252,1.471716843252
3,5604125976.562500,3.970356521320e-02,3.921786591821e-02,3.969263532804e-02,3.968302480152e-02,-0.106910979,-0.002391444,-0.004494758,5.899250494109,1.936989034992,0.532965181980,0.532965181980,-3.962261459117,-1.404023853012,-1.404023853012,0.916899995051,0.916899995051
4,5622070312.500000,3.970356521320e-02,3.948180342904e-02,3.973064829308e-02,3.972028383316e-02,-0.048650488,0.005922905,0.003656738,4.467501066253,0.099642012857,-1.489945578589,-1.489945578589,-4.367859053395,-1.589587591447,-1.589587591447,0.325738662338,0.325738662338
5,5640380859.375000,3.970356521320e-02,3.969278374281e-02,3.972512214169e-02,3.971425010067e-02,-0.002358966,0.004714697,0.002337202,3.951313311654,-0.857643672875,-2.636582017826,-2.636582017826,-4.808956984529,-1.778938344951,-1.778938344951,-0.304710022301,-0.304710022301
6,5658325195.312500,3.970356521320e-02,3.989623956941e-02,3.973864459976e-02,3.972755206772e-02,0.042049135,0.007670877,0.005245984,4.819436705148,-0.441179477712,-2.405681561098,-2.405681561098,-5.260616182860,-1.964502083386,-1.964502083386,-0.941932959066,-0.941932959066
7,5676269531.250000,3.970356521320e-02,4.008682268863e-02,3.976577620271e-02,3.975476736073e-02,0.083442576,0.013599154,0.011194201,6.637961796771,0.915510184674,-1.234555637146,-1.234555637146,-5.722451612097,-2.150065821820,-2.150065821820,-1.589332126738,-1.589332126738
8,5694213867.187500,3.970356521320e-02,4.021547912665e-02,3.975979516196e-02,3.974920710057e-02,0.111274818,0.012292639,0.009979273,9.350530193881,3.189680190629,0.854050630374,0.854050630374,-6.160850003252,-2.335629560255,-2.335629560255,-2.213294256327,-2.213294256327
9,5712158203.125000,3.970356521320e-02,4.036884338261e-02,3.980625717615e-02,3.979641479542e-02,0.144336004,0.022436764,0.020288850,8.370205110774,1.794297290912,-0.726896007777,-0.726896007777,-6.575907819862,-2.521193298689,-2.521193298689,-2.813915811372,-2.813915811372
